feature,min,max,mean,median,std,scale,n_valid,n_missing,missing_pct
actionability,0.0,5.0,3.3221556886227543,4.0,1.9771901069794136,0.0-5.0,835,0,0.0
ambiguity,0.0,0.048689138576779,0.003870670096572632,0.0,0.006613860684140857,0.000-0.049,835,0,0.0
automated_readability_index,7.9,241.6,29.760098522167493,24.0,19.598665220161884,7.9-241.6,812,23,2.754491017964072
behavior_verb_count,0.0,0.0,0.0,0.0,0.0,constant (0),835,0,0.0
behavior_verb_density,0.0,0.0,0.0,0.0,0.0,constant (0),835,0,0.0
causal_density,0.0,2.5,0.282804698333922,0.217391304347826,0.3040084165527406,0.0-2.5,835,0,0.0
causal_reasoning_quality,0.0,5.0,3.304191616766467,4.0,2.0008197748404193,0.0-5.0,835,0,0.0
clarity,0.0,5.0,3.4706586826347303,4.0,2.007190652085249,0.0-5.0,835,0,0.0
coleman_liau_index,8.12,241.57,29.7323275862069,24.5,19.472745976946616,8.1-241.6,812,23,2.754491017964072
confidence,1.0,5.0,4.049101796407186,5.0,1.6974331115782268,1.0-5.0,835,0,0.0
contradiction_present,0.0,1.0,0.0011976047904191617,0.0,0.03460642701029914,0-1 (binary),835,0,0.0
description_chars,40.0,14626.0,1979.4682634730539,1573.0,1545.124480992185,40-14626,835,0,0.0
description_length,20.0,11140.0,1423.3988023952095,1256.0,1372.45567264661,20-11140,835,0,0.0
expected_observed_alignment,0.0,5.0,3.5497005988023953,5.0,2.0650939977647402,0.0-5.0,835,0,0.0
fine_grained_confidence,1.0,5.0,3.9839901477832513,5.0,1.7032614945358249,1.0-5.0,812,23,2.754491017964072
fine_grained_description_length,20.0,11140.0,1420.6182266009853,1256.5,1386.722835146573,20-11140,812,23,2.754491017964072
flesch_reading_ease,-633.38,82.34,5.432229064039408,20.310000000000002,60.37838151980528,-633.4-82.3,812,23,2.754491017964072
gunning_fog,4.36,28.76,11.445960591133003,11.09,3.180812959919408,4.4-28.8,812,23,2.754491017964072
has_EB,0.0,1.0,0.46107784431137727,0.0,0.49878152483880894,0-1 (binary),835,0,0.0
has_OB,0.0,1.0,0.9820359281437125,1.0,0.1329004014035783,0-1 (binary),835,0,0.0
has_S2R,0.0,0.0,0.0,0.0,0.0,constant (0),835,0,0.0
has_code,0.0,1.0,0.2778443113772455,0.0,0.44820467842890976,0-1 (binary),835,0,0.0
has_enumeration,0.0,1.0,0.025149700598802394,0.0,0.15667351490501522,0-1 (binary),835,0,0.0
has_os_info,0.0,1.0,0.12335329341317365,0.0,0.32903938882543055,0-1 (binary),835,0,0.0
has_patch,0.0,1.0,0.032335329341317366,0.0,0.17699512284391594,0-1 (binary),835,0,0.0
has_stacktrace,0.0,1.0,0.47065868263473054,0.0,0.49943749860963293,0-1 (binary),835,0,0.0
has_version_info,0.0,1.0,0.6167664670658682,1.0,0.4864658304033012,0-1 (binary),835,0,0.0
hidden_s2r_present,0.0,1.0,0.1497005988023952,0.0,0.35699153465451916,0-1 (binary),835,0,0.0
missing_EB,0.0,1.0,0.5389221556886228,1.0,0.49878152483880894,0-1 (binary),835,0,0.0
missing_OB,0.0,1.0,0.017964071856287425,0.0,0.1329004014035783,0-1 (binary),835,0,0.0
missing_S2R,1.0,1.0,1.0,1.0,0.0,0-1 (binary),835,0,0.0
modal_density,0.0,4.0,0.15176957664953813,0.0,0.32490851465352644,0.0-4.0,835,0,0.0
n_sentences,1.0,110.0,10.050299401197606,7.0,10.641863816915786,1.0-110.0,835,0,0.0
n_tokens,7.0,1515.0,252.32814371257484,195.0,191.24865507472987,7-1515,835,0,0.0
n_words,7.0,1181.0,144.68263473053892,114.0,121.91277741732499,7-1181,835,0,0.0
num_EB,0.0,10.0,0.6946107784431138,0.0,1.0325202273019947,0.0-10.0,835,0,0.0
num_OB,0.0,60.0,5.368862275449102,4.0,4.745108603442837,0.0-60.0,835,0,0.0
num_S2R,0.0,0.0,0.0,0.0,0.0,constant (0),835,0,0.0
num_browser_mentions,0.0,3.0,0.1568862275449102,0.0,0.4015078059208411,0.0-3.0,835,0,0.0
num_causal_markers,0.0,29.0,2.5065868263473052,2.0,3.3102402291444633,0.0-29.0,835,0,0.0
num_caused_by,0.0,3.0,0.04311377245508982,0.0,0.2692201727746215,0.0-3.0,835,0,0.0
num_env_mentions,0.0,4.0,0.0658682634730539,0.0,0.3006333153503444,0.0-4.0,835,0,0.0
num_exception_types,0.0,5.0,0.4311377245508982,0.0,0.8214673797961528,0.0-5.0,835,0,0.0
num_modal_verbs,0.0,23.0,1.162874251497006,0.0,2.0249786397299596,0.0-23.0,835,0,0.0
num_negative_modals,0.0,12.0,0.2898203592814371,0.0,1.125177030064817,0.0-12.0,835,0,0.0
num_os_mentions,0.0,3.0,0.13652694610778443,0.0,0.38315227943608193,0.0-3.0,835,0,0.0
num_temporal_markers,0.0,12.0,0.5353293413173653,0.0,1.1555868796798336,0.0-12.0,835,0,0.0
num_versions,0.0,182.0,2.376047904191617,1.0,7.608048319399422,0.0-182.0,835,0,0.0
redundancy,0.0,0.6878558397293091,0.27210196979388507,0.2693820297718048,0.10440169065501197,0.000-0.688,835,0,0.0
repair_difficulty,0.0,5.0,2.905389221556886,3.0,1.3840153537457847,0.0-5.0,835,0,0.0
smog_index,0.0,22.9,12.233004926108375,12.1,2.608360708032208,0.0-22.9,812,23,2.754491017964072
specificity,0.0,5.0,3.258682634730539,4.0,1.9625158054009872,0.0-5.0,835,0,0.0
stacktrace_depth,0.0,70.0,1.044311377245509,0.0,5.171792206493661,0.0-70.0,835,0,0.0
summary_chars,4.0,173.0,44.468263473053895,12.0,40.31393456513945,4.0-173.0,835,0,0.0
technical_depth,0.0,5.0,2.864670658682635,3.0,1.8118011046257774,0.0-5.0,835,0,0.0
temporal_density,0.0,1.4,0.06161164945660973,0.0,0.14481993935801799,0.0-1.4,835,0,0.0
