id,has_features
Csv-13,True
Math-19,True
Closure-65,True
Compress-16,True
Cli-18,True
Jsoup-5,True
Compress-41,True
Closure-32,True
Time-19,True
JacksonDatabind-93,True
Math-2,True
Lang-4,True
Math-58,True
Closure-24,True
Closure-9,True
Mockito-10,True
JacksonDatabind-85,True
JacksonDatabind-1,True
Closure-73,True
Math-74,True
Lang-36,True
JacksonCore-6,True
Time-23,True
Chart-2,True
Jsoup-70,True
Collections-21,True
JacksonDatabind-46,True
Closure-176,True
Math-23,True
Gson-13,True
JacksonDatabind-102,True
Lang-61,True
Compress-3,True
Jsoup-27,True
Cli-22,True
Closure-121,True
JacksonDatabind-11,True
Cli-4,True
Math-35,True
Codec-9,True
JacksonCore-26,True
Cli-34,True
Jsoup-31,True
Closure-49,True
Closure-137,True
Mockito-5,True
Math-62,True
Collections-2,True
Lang-20,True
Jsoup-66,True
Closure-160,True
JxPath-9,True
JacksonDatabind-50,True
Jsoup-89,True
JxPath-13,True
JacksonDatabind-27,True
Closure-69,True
Closure-117,True
Closure-86,True
Cli-14,True
Jsoup-11,True
Lang-57,True
Gson-1,True
Math-15,True
Closure-140,True
JacksonDatabind-70,True
Collections-17,True
Jsoup-46,True
Time-15,True
Jsoup-9,True
Math-42,True
Closure-5,True
Closure-28,True
JacksonDatabind-66,True
Closure-156,True
Jsoup-50,True
Codec-10,True
Lang-16,True
Math-54,True
Lang-8,True
Closure-101,True
JacksonDatabind-31,True
Math-102,True
Closure-90,True
JacksonCore-10,True
Lang-41,True
Time-6,True
Jsoup-93,True
Mockito-30,True
Math-78,True
Math-97,True
Cli-8,True
Compress-20,True
Closure-53,True
Cli-38,True
Closure-45,True
Compress-36,True
Math-39,True
Codec-5,True
JacksonXml-6,True
Mockito-26,True
Jsoup-85,True
Closure-12,True
JxPath-5,True
Chart-17,True
Mockito-9,True
Math-81,True
Chart-16,True
Mockito-8,True
Csv-1,True
Math-80,True
Mockito-27,True
Jsoup-84,True
Closure-13,True
JxPath-4,True
Math-38,True
Codec-4,True
Cli-39,True
Closure-44,True
Compress-37,True
Cli-9,True
Compress-21,True
Closure-52,True
Math-79,True
Math-96,True
Jsoup-92,True
Mockito-31,True
Lang-40,True
Time-7,True
Closure-100,True
JacksonDatabind-30,True
Math-103,True
Closure-91,True
JacksonCore-11,True
Codec-11,True
Lang-17,True
Math-55,True
Lang-9,True
Closure-4,True
JacksonDatabind-67,True
Closure-29,True
Closure-157,True
JacksonDatabind-88,True
Jsoup-51,True
Jsoup-8,True
Math-43,True
Closure-141,True
JacksonDatabind-71,True
Collections-16,True
Jsoup-47,True
Time-14,True
Lang-56,True
Math-14,True
Closure-68,True
JacksonDatabind-26,True
Closure-116,True
Closure-87,True
Cli-15,True
Jsoup-10,True
Jsoup-67,True
JxPath-8,True
Closure-161,True
JacksonDatabind-51,True
Jsoup-88,True
JxPath-12,True
Mockito-4,True
Math-63,True
Collections-3,True
Lang-21,True
Cli-35,True
Jsoup-30,True
Closure-48,True
Closure-136,True
Math-34,True
Codec-8,True
Jsoup-26,True
Cli-23,True
Closure-120,True
JacksonDatabind-10,True
Cli-5,True
Gson-12,True
Math-22,True
JacksonDatabind-103,True
Lang-60,True
Compress-2,True
Time-22,True
Jsoup-71,True
Collections-20,True
JacksonDatabind-47,True
Math-75,True
Lang-37,True
JacksonCore-7,True
Closure-72,True
Closure-25,True
Closure-8,True
Mockito-11,True
JacksonDatabind-84,True
Math-3,True
Lang-5,True
Math-59,True
Compress-40,True
Closure-33,True
Time-18,True
JacksonDatabind-92,True
Jsoup-4,True
Closure-64,True
Compress-17,True
Cli-19,True
Csv-12,True
Math-18,True
JacksonDatabind-21,True
Closure-111,True
Jsoup-17,True
Cli-12,True
Closure-80,True
Gson-7,True
Lang-51,True
Math-13,True
Closure-146,True
JacksonDatabind-76,True
Closure-38,True
JacksonDatabind-99,True
Time-13,True
Collections-11,True
Jsoup-40,True
Math-44,True
JacksonDatabind-60,True
Closure-150,True
Closure-3,True
Jsoup-56,True
Lang-10,True
Codec-16,True
Math-8,True
Math-52,True
Math-104,True
Closure-107,True
Closure-79,True
JacksonDatabind-37,True
Closure-96,True
JacksonCore-16,True
Lang-47,True
Mockito-36,True
Math-91,True
Cli-28,True
Closure-55,True
Compress-26,True
Math-29,True
JacksonDatabind-108,True
Compress-9,True
Compress-30,True
Closure-43,True
Codec-3,True
Closure-14,True
JxPath-3,True
Mockito-20,True
Jsoup-83,True
JxPath-19,True
Collections-8,True
Chart-11,True
Math-68,True
Math-87,True
Csv-6,True
Csv-15,True
Compress-10,True
Jsoup-3,True
Math-48,True
Closure-34,True
Compress-47,True
JacksonDatabind-95,True
Math-4,True
Mockito-16,True
Closure-22,True
JacksonDatabind-83,True
JacksonDatabind-7,True
Closure-75,True
Math-72,True
Lang-30,True
Jsoup-76,True
Collections-27,True
Time-25,True
JacksonDatabind-40,True
Closure-170,True
Math-25,True
Gson-15,True
Compress-5,True
JacksonDatabind-104,True
Cli-24,True
Jsoup-21,True
Cli-2,True
Closure-127,True
Closure-59,True
JacksonDatabind-17,True
Math-33,True
JacksonDatabind-112,True
Jsoup-37,True
Cli-32,True
JacksonCore-20,True
Closure-131,True
Math-64,True
Collections-4,True
Mockito-3,True
Lang-26,True
Jsoup-60,True
JxPath-15,True
Closure-166,True
JacksonDatabind-56,True
Closure-18,True
Jsoup-61,True
JxPath-14,True
Closure-167,True
Closure-19,True
JacksonDatabind-57,True
Math-65,True
Collections-5,True
Mockito-2,True
Lang-27,True
Jsoup-36,True
Cli-33,True
JacksonCore-21,True
Closure-130,True
Math-32,True
Cli-25,True
Jsoup-20,True
Cli-3,True
Closure-126,True
JacksonDatabind-16,True
Closure-58,True
Gson-14,True
Math-24,True
Compress-4,True
JacksonDatabind-105,True
Jsoup-77,True
Collections-26,True
Chart-5,True
Time-24,True
JacksonDatabind-41,True
Closure-171,True
Math-73,True
Lang-31,True
JacksonCore-1,True
Closure-74,True
JacksonDatabind-6,True
Mockito-17,True
Closure-23,True
JacksonDatabind-82,True
Math-5,True
Lang-3,True
Closure-35,True
Compress-46,True
JacksonDatabind-94,True
Jsoup-2,True
Math-49,True
Compress-11,True
Closure-62,True
Csv-14,True
Collections-9,True
Math-69,True
Math-86,True
Csv-7,True
JacksonXml-1,True
Closure-15,True
JxPath-2,True
Mockito-21,True
Jsoup-82,True
JxPath-18,True
Codec-2,True
Compress-31,True
Closure-42,True
Math-28,True
Gson-18,True
JacksonDatabind-109,True
Compress-8,True
Cli-29,True
Closure-54,True
Compress-27,True
Math-90,True
Chart-9,True
Mockito-37,True
Lang-46,True
Time-1,True
Math-105,True
Closure-106,True
JacksonDatabind-36,True
Closure-78,True
Closure-97,True
JacksonCore-17,True
Lang-11,True
Codec-17,True
Math-9,True
Math-53,True
JacksonDatabind-61,True
Closure-151,True
Closure-2,True
JxPath-22,True
Jsoup-57,True
Math-45,True
Closure-147,True
Closure-39,True
JacksonDatabind-77,True
JacksonDatabind-98,True
Time-12,True
Collections-10,True
Jsoup-41,True
Gson-6,True
Lang-50,True
Math-12,True
JacksonDatabind-20,True
Closure-110,True
Jsoup-16,True
Cli-13,True
Closure-81,True
Csv-4,True
Lang-28,True
Math-85,True
Mockito-22,True
Jsoup-81,True
JacksonDatabind-58,True
Closure-16,True
Closure-168,True
JxPath-1,True
JacksonXml-2,True
Codec-1,True
Closure-41,True
Compress-32,True
Jsoup-39,True
Compress-24,True
Closure-57,True
JacksonDatabind-19,True
Closure-129,True
Math-93,True
Mockito-34,True
Jsoup-78,True
Time-2,True
JacksonDatabind-9,True
Lang-45,True
Closure-94,True
JacksonCore-14,True
Closure-105,True
JacksonDatabind-35,True
Math-106,True
Math-50,True
Lang-12,True
Codec-14,True
Jsoup-54,True
Closure-1,True
Mockito-18,True
JxPath-21,True
JacksonDatabind-62,True
Closure-152,True
Math-46,True
Collections-13,True
Jsoup-42,True
Time-11,True
Closure-144,True
JacksonDatabind-74,True
Math-11,True
Lang-53,True
Gson-5,True
Closure-82,True
Jsoup-15,True
Cli-10,True
