feature,target,spearman_rho,p_value,significant
repair_difficulty,num_tools_fixed,-0.2266,0.0,True
txt_description_line_count,num_tools_fixed,0.1863,0.0,True
txt_title_digit_density,num_tools_fixed,0.1852,0.0,True
actionability,num_tools_fixed,0.1838,0.0,True
fg_cat_Other (Logic),num_tools_fixed,-0.169,0.0,True
ambiguity_type_count,num_tools_fixed,-0.168,0.0,True
txt_title_avg_sentence_len,num_tools_fixed,0.1673,0.0,True
expected_observed_alignment,num_tools_fixed,0.166,0.0,True
txt_title_word_count,num_tools_fixed,0.1611,0.0,True
clarity,num_tools_fixed,0.15,1e-05,True
reasoning_composite,num_tools_fixed,0.1429,3e-05,True
num_versions,num_tools_fixed,0.1414,4e-05,True
technical_completeness,num_tools_fixed,0.1407,5e-05,True
description_length,num_tools_fixed,0.1322,0.00013,True
txt_description_uniq_word_ratio,num_tools_fixed,-0.1148,0.00089,True
fg_cat_Null pointer dereference,num_tools_fixed,0.106,0.00215,True
flesch,num_tools_fixed,0.0969,0.00508,True
fg_cat_Exception handling,num_tools_fixed,0.0935,0.00685,True
num_exception_types,num_tools_fixed,0.0934,0.0069,True
embedding_cluster_distance,num_tools_fixed,0.0908,0.00867,True
has_code,num_tools_fixed,0.0878,0.01116,True
txt_description_avg_sentence_len,num_tools_fixed,0.0801,0.02055,True
ari,num_tools_fixed,-0.0784,0.02354,True
coleman_liau,num_tools_fixed,-0.0757,0.02869,True
stacktrace_depth,num_tools_fixed,0.0737,0.03327,True
embedding_cluster_size,num_tools_fixed,-0.0726,0.03586,True
kincaid,num_tools_fixed,-0.0677,0.05048,False
txt_reasoning_avg_sentence_len,num_tools_fixed,-0.0652,0.05985,False
num_OB,num_tools_fixed,-0.0651,0.06007,False
fg_cat_Processing,num_tools_fixed,0.0642,0.06359,False
cat___other__,num_tools_fixed,-0.063,0.06867,False
cat_Functional Issue,num_tools_fixed,0.063,0.06867,False
fg_cat___missing__,num_tools_fixed,-0.063,0.06867,False
concept_network_concept_breadth,num_tools_fixed,0.0601,0.08251,False
txt_likely_impacted_code_concepts_digit_density,num_tools_fixed,0.059,0.08846,False
hidden_s2r_present,num_tools_fixed,-0.0589,0.08922,False
fg_cat___other__,num_tools_fixed,0.0584,0.0915,False
smog,num_tools_fixed,-0.0562,0.10485,False
txt_root_cause_guess_word_count,num_tools_fixed,0.053,0.12588,False
has_enumeration,num_tools_fixed,0.0455,0.18895,False
num_temporal_markers,num_tools_fixed,-0.0445,0.19853,False
has_patch,num_tools_fixed,0.0426,0.2188,False
txt_reasoning_word_count,num_tools_fixed,-0.0399,0.24976,False
contradiction_present,num_tools_fixed,-0.0378,0.27502,False
ambiguity,num_tools_fixed,-0.034,0.32645,False
missing_EB,num_tools_fixed,-0.0279,0.42141,False
has_EB,num_tools_fixed,0.0279,0.42141,False
has_stacktrace,num_tools_fixed,0.0274,0.42869,False
semantic_entropy,num_tools_fixed,-0.0249,0.47243,False
embedding_pos_neg_ratio,num_tools_fixed,0.0238,0.49248,False
txt_reasoning_digit_density,num_tools_fixed,-0.0211,0.54268,False
semantic_coherence,num_tools_fixed,-0.0207,0.55054,False
fg_cat_Missing case,num_tools_fixed,-0.0192,0.57954,False
num_EB,num_tools_fixed,0.019,0.58397,False
lix,num_tools_fixed,-0.0147,0.67057,False
fog,num_tools_fixed,-0.012,0.72899,False
exception_user_frames,num_tools_fixed,0.0081,0.81524,False
has_OB,num_tools_fixed,-0.0061,0.86075,False
missing_OB,num_tools_fixed,0.0061,0.86075,False
fg_cat_Dependency,num_tools_fixed,-0.0055,0.87427,False
txt_root_cause_guess_digit_density,num_tools_fixed,-0.0037,0.91447,False
num_causal_markers,num_tools_fixed,-0.003,0.93171,False
num_env_mentions,num_tools_fixed,-0.0026,0.94035,False
