tier1_pct_ir_only,tier2_pct_ir_plus_brain,tier3_pct_ir_plus_brain_plus_flexfl,hr@1_mean,hr@5_mean,hr@10_mean,hr@1_std,hr@5_std,hr@10_std,mrr_mean,mrr_std,map_mean,map_std,tier1_frac_mean,tier2_frac_mean,tier3_frac_mean,random_hr@1_mean,random_hr@5_mean,random_hr@10_mean,random_mrr_mean,random_map_mean,lift_hr@5_vs_random,lift_mrr_vs_random,energy_kwh_mean,co2_kg_mean,energy_saved_pct_vs_full_cascade,co2_saved_pct_vs_full_cascade,random_energy_kwh_mean,random_co2_kg_mean,energy_lift_vs_random_kwh
100,0,0,0.4599,0.6958,0.7892,0.0238,0.0024,0.0149,0.5504,0.0159,0.791,0.0225,1.0,0.0,0.0,0.4599,0.6958,0.7892,0.5504,0.791,0.0,0.0,0.001929,0.000896,97.44,97.45,0.001929,0.000896,0.0
70,20,10,0.4946,0.7425,0.8275,0.0229,0.0189,0.0235,0.59,0.0092,0.7953,0.0298,0.703,0.1964,0.1006,0.4934,0.7174,0.8072,0.5789,0.8069,0.0251,0.011,0.016234,0.007542,78.49,78.49,0.00955,0.004437,-0.006684
60,25,15,0.5066,0.7581,0.8419,0.0232,0.0123,0.0159,0.6031,0.0121,0.796,0.027,0.5988,0.2467,0.1545,0.503,0.7413,0.8228,0.5943,0.8015,0.0168,0.0089,0.023926,0.011116,68.3,68.3,0.014569,0.006768,-0.009358
50,30,20,0.5186,0.7796,0.8587,0.0285,0.0219,0.0226,0.6176,0.0162,0.7929,0.0309,0.503,0.2958,0.2012,0.5126,0.7413,0.8323,0.5989,0.808,0.0383,0.0187,0.030961,0.014384,58.98,58.98,0.017054,0.007923,-0.013907
50,40,10,0.503,0.7533,0.8383,0.0233,0.0198,0.0214,0.5989,0.0101,0.7958,0.03,0.503,0.3964,0.1006,0.5006,0.7329,0.8204,0.589,0.8038,0.0204,0.0099,0.016492,0.007662,78.15,78.15,0.00904,0.0042,-0.007452
40,40,20,0.5246,0.7808,0.8611,0.0325,0.0223,0.0238,0.6223,0.0192,0.7977,0.0345,0.4012,0.3976,0.2012,0.5234,0.7485,0.8323,0.6095,0.8144,0.0323,0.0128,0.031093,0.014445,58.81,58.81,0.017032,0.007913,-0.014061
35,40,25,0.5353,0.794,0.8695,0.0314,0.0163,0.0167,0.6342,0.0217,0.7989,0.0296,0.3521,0.4,0.2479,0.5329,0.7557,0.8371,0.6179,0.8175,0.0383,0.0162,0.038473,0.017874,49.03,49.03,0.021185,0.009842,-0.017288
35,35,30,0.5449,0.8036,0.8754,0.0276,0.0187,0.0191,0.6439,0.0198,0.8016,0.0274,0.3521,0.3509,0.297,0.5329,0.7653,0.8419,0.6232,0.8144,0.0383,0.0208,0.041185,0.019134,45.44,45.44,0.0234,0.010871,-0.017785
30,40,30,0.5485,0.806,0.8766,0.0256,0.018,0.0195,0.647,0.0187,0.803,0.0261,0.3006,0.4024,0.297,0.5234,0.7521,0.8359,0.6097,0.8108,0.0539,0.0372,0.041252,0.019165,45.35,45.35,0.018647,0.008663,-0.022605
20,50,30,0.5581,0.8084,0.8766,0.0282,0.0182,0.0195,0.6538,0.0215,0.8089,0.0263,0.1976,0.5054,0.297,0.5569,0.7749,0.8503,0.6393,0.825,0.0335,0.0144,0.041385,0.019227,45.17,45.17,0.024857,0.011548,-0.016527
10,60,30,0.5617,0.8096,0.8778,0.0266,0.0183,0.0203,0.6569,0.0204,0.8116,0.0247,0.1006,0.6024,0.297,0.5629,0.782,0.8527,0.6484,0.8294,0.0275,0.0085,0.04151,0.019285,45.01,45.01,0.0247,0.011475,-0.01681
0,70,30,0.5701,0.8132,0.8802,0.0235,0.0191,0.02,0.6631,0.0191,0.8156,0.0214,0.0024,0.7006,0.297,0.5593,0.7784,0.8563,0.6425,0.8255,0.0347,0.0206,0.041637,0.019344,44.84,44.84,0.029531,0.013719,-0.012106
0,100,0,0.5174,0.7461,0.8383,0.0223,0.0216,0.0227,0.6051,0.0221,0.8111,0.0204,0.0024,0.9976,0.0,0.5174,0.7461,0.8383,0.6051,0.8111,0.0,0.0,0.003216,0.001494,95.74,95.74,0.003216,0.001494,0.0
0,0,100,0.6551,0.8539,0.8982,0.0318,0.0223,0.0178,0.731,0.0243,0.856,0.0137,0.0024,0.0,0.9976,0.6563,0.8539,0.8982,0.7316,0.8567,0.0,-0.0006,0.075468,0.035061,0.02,0.02,0.074256,0.034498,-0.001212
