,,auc,auc,spearman,spearman,f1_opt,f1_opt
,,mean,std,mean,std,mean,std
thresh,task,,,,,,
1,all_vs_notall_top1,0.801,0.058,0.241,0.053,0.308,0.066
1,any_vs_none_top1,0.711,0.037,0.353,0.061,0.804,0.016
1,tool_BRaIn,0.697,0.047,0.298,0.071,0.522,0.033
1,tool_FlexFL,0.679,0.032,0.31,0.056,0.736,0.025
1,tool_boostnsift,0.754,0.03,0.393,0.047,0.588,0.038
1,tool_buglocator,0.722,0.026,0.337,0.04,0.545,0.02
1,tool_locus,0.72,0.047,0.317,0.068,0.509,0.051
5,all_vs_notall_top5,0.793,0.025,0.439,0.038,0.605,0.055
5,any_vs_none_top5,0.669,0.049,0.224,0.065,0.902,0.003
5,tool_BRaIn,0.701,0.02,0.348,0.035,0.737,0.027
5,tool_FlexFL,0.64,0.039,0.223,0.062,0.824,0.002
5,tool_boostnsift,0.737,0.013,0.411,0.022,0.741,0.012
5,tool_buglocator,0.739,0.034,0.413,0.059,0.739,0.025
5,tool_locus,0.739,0.032,0.413,0.056,0.722,0.03
