thresh,task,fold,auc,spearman,f1_opt
1,tool_FlexFL,1,0.679,0.309,0.713
1,tool_FlexFL,2,0.729,0.397,0.776
1,tool_FlexFL,3,0.657,0.272,0.743
1,tool_FlexFL,4,0.646,0.252,0.724
1,tool_FlexFL,5,0.684,0.318,0.725
1,tool_BRaIn,1,0.7,0.301,0.522
1,tool_BRaIn,2,0.694,0.294,0.527
1,tool_BRaIn,3,0.676,0.267,0.519
1,tool_BRaIn,4,0.771,0.411,0.567
1,tool_BRaIn,5,0.643,0.217,0.473
1,tool_boostnsift,1,0.763,0.407,0.577
1,tool_boostnsift,2,0.757,0.398,0.58
1,tool_boostnsift,3,0.703,0.313,0.534
1,tool_boostnsift,4,0.782,0.436,0.634
1,tool_boostnsift,5,0.766,0.412,0.613
1,tool_buglocator,1,0.684,0.278,0.519
1,tool_buglocator,2,0.755,0.386,0.571
1,tool_buglocator,3,0.714,0.324,0.531
1,tool_buglocator,4,0.725,0.343,0.556
1,tool_buglocator,5,0.733,0.356,0.548
1,tool_locus,1,0.733,0.336,0.516
1,tool_locus,2,0.643,0.206,0.433
1,tool_locus,3,0.732,0.334,0.531
1,tool_locus,4,0.719,0.316,0.496
1,tool_locus,5,0.772,0.392,0.571
5,tool_FlexFL,1,0.661,0.255,0.824
5,tool_FlexFL,2,0.598,0.156,0.826
5,tool_FlexFL,3,0.67,0.271,0.823
5,tool_FlexFL,4,0.675,0.279,0.826
5,tool_FlexFL,5,0.598,0.156,0.82
5,tool_BRaIn,1,0.71,0.364,0.745
5,tool_BRaIn,2,0.718,0.377,0.776
5,tool_BRaIn,3,0.694,0.335,0.72
5,tool_BRaIn,4,0.715,0.371,0.738
5,tool_BRaIn,5,0.669,0.292,0.706
5,tool_boostnsift,1,0.726,0.391,0.731
5,tool_boostnsift,2,0.747,0.428,0.742
5,tool_boostnsift,3,0.754,0.44,0.732
5,tool_boostnsift,4,0.727,0.393,0.761
5,tool_boostnsift,5,0.732,0.402,0.738
5,tool_buglocator,1,0.731,0.401,0.732
5,tool_buglocator,2,0.739,0.413,0.742
5,tool_buglocator,3,0.736,0.409,0.738
5,tool_buglocator,4,0.696,0.338,0.705
5,tool_buglocator,5,0.791,0.504,0.776
5,tool_locus,1,0.793,0.507,0.768
5,tool_locus,2,0.71,0.363,0.693
5,tool_locus,3,0.737,0.409,0.716
5,tool_locus,4,0.718,0.376,0.734
5,tool_locus,5,0.736,0.408,0.7
1,any_vs_none_top1,1,0.725,0.375,0.812
1,any_vs_none_top1,2,0.747,0.412,0.819
1,any_vs_none_top1,3,0.709,0.348,0.81
1,any_vs_none_top1,4,0.726,0.377,0.8
1,any_vs_none_top1,5,0.65,0.251,0.779
1,all_vs_notall_top1,1,0.788,0.225,0.308
1,all_vs_notall_top1,2,0.748,0.194,0.222
1,all_vs_notall_top1,3,0.745,0.191,0.267
1,all_vs_notall_top1,4,0.868,0.303,0.385
1,all_vs_notall_top1,5,0.854,0.291,0.356
5,any_vs_none_top5,1,0.734,0.311,0.903
5,any_vs_none_top5,2,0.667,0.221,0.901
5,any_vs_none_top5,3,0.687,0.249,0.907
5,any_vs_none_top5,4,0.657,0.209,0.901
5,any_vs_none_top5,5,0.598,0.132,0.9
5,all_vs_notall_top5,1,0.786,0.426,0.551
5,all_vs_notall_top5,2,0.798,0.445,0.641
5,all_vs_notall_top5,3,0.831,0.498,0.679
5,all_vs_notall_top5,4,0.763,0.395,0.554
5,all_vs_notall_top5,5,0.787,0.431,0.602
