pct_ir_routed,llm_fraction_mean,coverage_mean,coverage_std,vs_always_flexfl
0,1.0,0.697,0.0129,0.0
5,0.9461,0.6934,0.0139,-0.0036
10,0.8982,0.6982,0.0097,0.0012
15,0.8503,0.7006,0.0107,0.0036
20,0.7964,0.7042,0.0129,0.0072
25,0.7485,0.7054,0.0116,0.0084
30,0.7006,0.7114,0.0149,0.0144
35,0.6467,0.7102,0.0123,0.0132
40,0.5988,0.7102,0.0123,0.0132
45,0.5509,0.709,0.0163,0.012
50,0.497,0.7138,0.0116,0.0168
55,0.4491,0.7102,0.0134,0.0132
60,0.4012,0.7054,0.0139,0.0084
65,0.3533,0.7054,0.0167,0.0084
70,0.2994,0.7006,0.01,0.0036
75,0.2515,0.7006,0.0126,0.0036
80,0.2012,0.6946,0.0054,-0.0024
85,0.1449,0.6814,0.0045,-0.0156
90,0.0994,0.6719,0.007,-0.0251
95,0.0539,0.6695,0.007,-0.0275
100,0.0,0.6527,0.0,-0.0443
