triage_pct,triage_threshold,margin,coverage,triaged,flexfl_used,buglocator_used,boostnsift_used,brain_used,locus_used
10,-6.618,0.0,0.503,84,62,292,154,222,21
10,-6.618,0.1,0.508,84,75,334,139,191,12
10,-6.618,0.2,0.508,84,88,366,127,165,5
10,-6.618,0.3,0.516,84,109,388,108,141,5
10,-6.618,0.4,0.52,84,132,388,93,135,3
10,-6.618,0.5,0.527,84,172,376,81,118,4
10,-6.618,0.6,0.535,84,217,346,79,106,3
10,-6.618,0.7,0.552,84,274,302,68,105,2
10,-6.618,0.8,0.559,84,317,261,58,111,4
10,-6.618,0.9,0.582,84,397,206,42,104,2
10,-6.618,1.0,0.587,84,463,160,32,95,1
10,-6.618,1.1,0.601,84,524,119,24,83,1
10,-6.618,1.2,0.616,84,587,90,16,58,0
10,-6.618,1.3,0.624,84,640,62,7,42,0
10,-6.618,1.4,0.629,84,680,40,6,25,0
15,-6.023,0.0,0.481,126,32,292,142,222,21
15,-6.023,0.1,0.485,126,44,334,128,191,12
15,-6.023,0.2,0.486,126,53,366,120,165,5
15,-6.023,0.3,0.495,126,74,388,101,141,5
15,-6.023,0.4,0.497,126,95,388,88,135,3
15,-6.023,0.5,0.503,126,132,376,79,118,4
15,-6.023,0.6,0.511,126,175,346,79,106,3
15,-6.023,0.7,0.528,126,232,302,68,105,2
15,-6.023,0.8,0.535,126,275,261,58,111,4
15,-6.023,0.9,0.558,126,355,206,42,104,2
15,-6.023,1.0,0.563,126,421,160,32,95,1
15,-6.023,1.1,0.577,126,482,119,24,83,1
15,-6.023,1.2,0.592,126,545,90,16,58,0
15,-6.023,1.3,0.6,126,598,62,7,42,0
15,-6.023,1.4,0.605,126,638,40,6,25,0
20,-5.329,0.0,0.466,167,9,292,124,222,21
20,-5.329,0.1,0.467,167,16,334,115,191,12
20,-5.329,0.2,0.467,167,24,366,108,165,5
20,-5.329,0.3,0.475,167,45,388,89,141,5
20,-5.329,0.4,0.477,167,65,388,77,135,3
20,-5.329,0.5,0.481,167,98,376,72,118,4
20,-5.329,0.6,0.487,167,137,346,76,106,3
20,-5.329,0.7,0.504,167,193,302,66,105,2
20,-5.329,0.8,0.511,167,236,261,56,111,4
20,-5.329,0.9,0.533,167,314,206,42,104,2
20,-5.329,1.0,0.538,167,380,160,32,95,1
20,-5.329,1.1,0.552,167,441,119,24,83,1
20,-5.329,1.2,0.566,167,504,90,16,58,0
20,-5.329,1.3,0.575,167,557,62,7,42,0
20,-5.329,1.4,0.58,167,597,40,6,25,0
25,-1.077,0.0,0.456,209,1,291,101,215,18
25,-1.077,0.1,0.456,209,4,333,95,184,10
25,-1.077,0.2,0.455,209,7,365,91,158,5
25,-1.077,0.3,0.463,209,22,387,77,135,5
25,-1.077,0.4,0.463,209,37,388,69,129,3
25,-1.077,0.5,0.466,209,66,376,68,112,4
25,-1.077,0.6,0.472,209,103,346,74,100,3
25,-1.077,0.7,0.489,209,159,302,64,99,2
25,-1.077,0.8,0.496,209,202,261,54,105,4
25,-1.077,0.9,0.517,209,278,206,41,99,2
25,-1.077,1.0,0.522,209,344,160,31,90,1
25,-1.077,1.1,0.535,209,404,119,24,78,1
25,-1.077,1.2,0.55,209,466,90,16,54,0
25,-1.077,1.3,0.558,209,519,62,7,38,0
25,-1.077,1.4,0.563,209,559,40,6,21,0
30,0.344,0.0,0.437,251,0,275,98,199,12
30,0.344,0.1,0.437,251,2,316,92,169,5
30,0.344,0.2,0.435,251,4,345,89,144,2
30,0.344,0.3,0.441,251,16,366,77,123,2
30,0.344,0.4,0.438,251,27,370,69,118,0
30,0.344,0.5,0.44,251,52,361,68,102,1
30,0.344,0.6,0.443,251,84,334,73,91,2
30,0.344,0.7,0.455,251,133,295,64,90,2
30,0.344,0.8,0.461,251,172,255,54,100,3
30,0.344,0.9,0.483,251,247,201,41,94,1
30,0.344,1.0,0.487,251,313,156,31,84,0
30,0.344,1.1,0.501,251,372,117,24,71,0
30,0.344,1.2,0.515,251,431,89,16,48,0
30,0.344,1.3,0.523,251,484,61,7,32,0
30,0.344,1.4,0.528,251,522,40,6,16,0
35,0.75,0.0,0.419,292,0,250,96,193,4
35,0.75,0.1,0.419,292,2,285,90,164,2
35,0.75,0.2,0.417,292,3,310,89,139,2
35,0.75,0.3,0.422,292,10,336,77,119,1
35,0.75,0.4,0.419,292,18,343,69,113,0
35,0.75,0.5,0.42,292,40,336,68,99,0
35,0.75,0.6,0.422,292,70,312,72,88,1
35,0.75,0.7,0.432,292,113,277,64,87,2
35,0.75,0.8,0.438,292,150,240,54,97,2
35,0.75,0.9,0.457,292,219,192,41,91,0
35,0.75,1.0,0.461,292,282,150,30,81,0
35,0.75,1.1,0.472,292,337,114,24,68,0
35,0.75,1.2,0.485,292,394,87,16,46,0
35,0.75,1.3,0.493,292,445,59,7,32,0
35,0.75,1.4,0.499,292,482,39,6,16,0
40,1.075,0.0,0.395,334,0,215,94,189,3
40,1.075,0.1,0.396,334,2,247,89,161,2
40,1.075,0.2,0.395,334,3,272,86,138,2
40,1.075,0.3,0.4,334,7,300,76,117,1
40,1.075,0.4,0.398,334,15,307,68,111,0
40,1.075,0.5,0.4,334,36,300,67,98,0
40,1.075,0.6,0.401,334,65,278,70,87,1
40,1.075,0.7,0.408,334,104,244,64,87,2
40,1.075,0.8,0.414,334,137,211,54,97,2
40,1.075,0.9,0.429,334,195,174,41,91,0
40,1.075,1.0,0.431,334,253,138,30,80,0
40,1.075,1.1,0.44,334,304,105,24,68,0
40,1.075,1.2,0.45,334,357,82,16,46,0
40,1.075,1.3,0.457,334,406,57,7,31,0
40,1.075,1.4,0.463,334,442,37,6,16,0
45,1.379,0.0,0.369,376,0,180,92,184,3
45,1.379,0.1,0.369,376,2,209,89,157,2
45,1.379,0.2,0.368,376,3,233,86,135,2
45,1.379,0.3,0.372,376,7,261,76,114,1
45,1.379,0.4,0.37,376,14,269,68,108,0
45,1.379,0.5,0.371,376,33,264,67,95,0
