analysis,outcome,feature,n,raw_cliffs_delta,raw_coef,raw_p,corr_with_scale,adj_coef,adj_p,attenuation_pct,strat_low,strat_mid,strat_high,verdict
all_vs_none,any_vs_none_top1,txt_description_line_count,827,0.4388,1.0443,0.0,-0.3159,0.9059,0.0,13.3,0.078,0.562,0.439,survives
all_vs_none,any_vs_none_top1,txt_description_avg_sentence_len,827,0.3334,0.5359,0.0,-0.3236,0.4322,0.0,19.3,0.104,0.412,0.325,survives
all_vs_none,any_vs_none_top1,txt_title_avg_sentence_len,827,0.3496,0.6816,0.0,-0.2322,0.6027,0.0,11.6,0.101,0.507,0.314,survives
all_vs_none,any_vs_none_top1,embedding_cluster_distance,827,0.2675,0.4838,0.0,-0.2769,0.4044,0.0,16.4,0.121,0.362,0.187,survives
all_vs_none,any_vs_none_top1,txt_title_digit_density,827,0.3432,1.005,0.0,-0.186,0.9172,0.0,8.7,0.142,0.442,0.33,survives
all_vs_none,any_vs_none_top1,embedding_cluster_size,827,-0.2832,-0.5532,0.0,0.3885,-0.4404,0.0,20.4,-0.117,-0.237,-0.338,survives
all_vs_none,any_vs_none_top1,ari,826,-0.3204,-0.4581,0.0,0.2699,-0.3554,0.0001,22.4,-0.081,-0.318,-0.359,survives
all_vs_none,any_vs_none_top1,description_length,827,0.3647,0.5999,0.0,-0.2737,0.4783,0.0,20.3,0.019,0.492,0.357,survives
all_vs_none,any_vs_none_top1,z_ambiguity,827,-0.2775,-0.4921,0.0,0.0969,-0.4662,0.0,5.3,-0.171,-0.377,-0.245,survives
all_vs_none,any_vs_none_top1,flesch,826,0.2725,0.312,0.0001,-0.2839,0.2186,0.007,29.9,0.054,0.301,0.27,survives
all_vs_none,any_vs_none_top1,z_clarity,827,0.239,0.4756,0.0,-0.0957,0.4465,0.0,6.1,0.134,0.189,0.324,survives
all_vs_none,any_vs_none_top1,z_actionability,827,0.2948,0.5306,0.0,-0.1314,0.4871,0.0,8.2,0.173,0.394,0.247,survives
all_vs_none,any_vs_none_top1,kincaid,826,-0.2599,-0.3131,0.0002,0.2563,-0.2228,0.0069,28.8,-0.038,-0.301,-0.256,survives
all_vs_none,any_vs_none_top1,code_vocab_overlap_count,827,0.2121,0.3251,0.0001,0.0894,0.3832,0.0,-17.9,0.394,0.189,0.175,survives
all_vs_none,any_vs_none_top1,z_specificity,827,-0.2422,-0.4294,0.0,0.1121,-0.3913,0.0,8.9,-0.227,-0.169,-0.279,survives
