fold,bug_id,triaged,selected_tool,score,success,score_FlexFL,adj_score_FlexFL,score_BRaIn,adj_score_BRaIn,score_boostnsift,adj_score_boostnsift,score_buglocator,adj_score_buglocator,score_locus,adj_score_locus
1,99,0,locus,0.2944,1,1.4931,0.0848,1.4247,-0.0625,1.6958,0.1841,1.4467,-0.0686,1.7568,0.2944
1,42,0,boostnsift,0.3477,0,1.3055,-0.0241,1.52,0.1114,1.6781,0.3477,1.3448,-0.0918,1.5754,0.1308
1,56,0,boostnsift,0.668,0,1.7674,-0.4173,1.7919,-0.4718,2.5332,0.668,2.0336,-0.2581,2.1102,-0.1895
1,43,0,buglocator,0.5063,0,1.5554,-0.411,2.05,0.0047,0.4933,-1.5766,2.3149,0.5063,0.0617,-2.0197
1,12,0,buglocator,0.4831,0,1.4832,-0.769,2.0156,-0.3156,2.3591,0.0034,2.6007,0.4831,1.9816,-0.3856
1,4,0,buglocator,0.505,1,1.4682,-0.9298,2.0903,-0.3866,2.4829,-0.0185,2.7464,0.505,2.0931,-0.4198
1,16,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,28,0,boostnsift,0.4287,0,-2.1507,0.1049,-2.0909,0.0858,-1.9072,0.4287,-2.4167,-0.268,-2.6653,-0.5246
1,17,0,boostnsift,0.6616,1,1.7993,-0.2215,1.8016,-0.2982,2.3693,0.6616,1.918,-0.2098,1.9527,-0.1831
1,10,0,locus,0.2889,1,1.4312,-0.0277,1.5132,-0.0246,1.4714,-0.0909,1.752,0.1861,1.8073,0.2889
1,145,0,BRaIn,0.3888,0,-3.6383,0.2292,-3.5189,0.3888,-3.7476,0.0164,-4.6233,-0.8629,-5.2119,-1.4594
1,151,0,boostnsift,0.3377,0,-2.3729,0.2558,-2.4758,0.0739,-2.2802,0.3377,-2.7981,-0.2764,-3.7823,-1.2686
1,9,1,,0.0,0,,,,,,,,,,
1,24,0,boostnsift,0.4988,1,1.1679,-0.1954,1.458,0.0157,1.7118,0.4988,0.9278,-0.5425,1.1867,-0.2916
1,26,0,locus,0.9457,0,0.6323,-0.5707,0.6712,-0.6109,0.3548,-0.9517,0.8394,-0.4707,1.5516,0.9457
1,8,0,boostnsift,0.5892,0,0.6039,-0.3431,0.5745,-0.4515,1.2955,0.5892,0.9428,-0.1112,0.9513,-0.1107
1,54,0,boostnsift,0.7247,1,0.8792,-0.4189,1.1668,-0.2102,1.6466,0.7247,1.0082,-0.3968,1.0396,-0.3735
1,27,0,locus,1.129,0,0.2337,-0.7052,-0.1187,-1.1366,-0.5752,-1.6176,0.3919,-0.654,1.2874,1.129
1,83,0,BRaIn,0.3351,0,1.0141,0.2039,1.1587,0.3351,0.8767,-0.037,1.0899,0.1727,1.0931,0.1679
1,10,0,locus,0.5495,1,1.5718,-0.6499,1.4155,-0.8852,2.1588,-0.1664,2.2543,-0.0745,2.5703,0.5495
