target,feature,corr,pval,n,pval_adj,reject
Adv(FLEXFL),summary_chars,0.011605692141920011,0.7417018228595902,809,1.0,False
Adv(FLEXFL),description_chars,-0.010169885412410208,0.7727179787949298,809,1.0,False
Adv(FLEXFL),n_tokens,-0.014630829149635932,0.677759540528863,809,1.0,False
Adv(FLEXFL),n_words,-0.022912398614552448,0.5151927659275664,809,1.0,False
Adv(FLEXFL),n_sentences,-0.029317630691202714,0.404975116498939,809,1.0,False
Adv(FLEXFL),flesch_reading_ease,-0.033019511245304126,0.41407319542374654,614,1.0,False
Adv(FLEXFL),smog_index,0.0419375829536859,0.2994976483237785,614,1.0,False
Adv(FLEXFL),gunning_fog,0.004321893227273536,0.9148884908283433,614,1.0,False
Adv(FLEXFL),coleman_liau_index,0.026654218826968303,0.5097437301313249,614,1.0,False
Adv(FLEXFL),automated_readability_index,0.026037513641812126,0.5195892949884289,614,1.0,False
Adv(FLEXFL),num_steps,0.034056598647456776,0.33331804181543545,809,1.0,False
Adv(FLEXFL),avg_step_length,0.03431099829529564,0.3297174344175078,809,1.0,False
Adv(FLEXFL),steps_with_objects,0.009543736511390215,0.7863616260545385,809,1.0,False
Adv(FLEXFL),steps_with_specific_actions,,,809,,False
Adv(FLEXFL),potential_ambiguous_steps,,,809,,False
Adv(FLEXFL),potential_vague_steps,0.04197304538577403,0.23305905371974722,809,1.0,False
Adv(FLEXFL),num_causal_markers,0.016912303516868087,0.630995637071426,809,1.0,False
Adv(FLEXFL),num_temporal_markers,-0.03409580589903694,0.33276148300329844,809,1.0,False
Adv(FLEXFL),causal_density,0.030792947057679345,0.38174005637663744,809,1.0,False
Adv(FLEXFL),temporal_density,-0.031722803750829615,0.36752398843865963,809,1.0,False
Adv(FLEXFL),num_os_mentions,-0.04155562671037132,0.2377433699152069,809,1.0,False
Adv(FLEXFL),num_browser_mentions,-0.024702380269627466,0.48291078756679506,809,1.0,False
Adv(FLEXFL),num_env_mentions,0.02737732753972006,0.4367853913726186,809,1.0,False
Adv(FLEXFL),num_versions,0.0475000959342908,0.17710755249870522,809,1.0,False
Adv(FLEXFL),num_exception_types,-0.013256428702867314,0.706556252965889,809,1.0,False
Adv(FLEXFL),stacktrace_depth,0.022473033743464887,0.5232842106194004,809,1.0,False
Adv(FLEXFL),num_caused_by,-0.0032046713510354716,0.9274850237844394,809,1.0,False
Adv(FLEXFL),behavior_verb_count,,,809,,False
Adv(FLEXFL),behavior_verb_density,,,809,,False
Adv(FLEXFL),num_modal_verbs,-0.04287826771972,0.2231259680568809,809,1.0,False
Adv(FLEXFL),num_negative_modals,-0.04203083408333008,0.23241572791820111,809,1.0,False
Adv(FLEXFL),modal_density,-0.04777664155480201,0.17459648973481,809,1.0,False
Adv(FLEXFL),redundancy,0.020832308884817893,0.5540650038052684,809,1.0,False
Adv(FLEXFL),ambiguity,-0.04884928173312159,0.1651075458356926,809,1.0,False
Adv(FLEXFL),completeness_score,-0.21384973069207538,0.5530162221426644,10,1.0,False
Adv(FLEXFL),specificity_score,,,10,,False
Adv(FLEXFL),actionability,-0.007605171507483601,0.8290017930227974,809,1.0,False
Adv(FLEXFL),clarity,-0.031005619416639728,0.3784592768565831,809,1.0,False
Adv(FLEXFL),specificity,0.00393733147002064,0.9109689055159018,809,1.0,False
Adv(FLEXFL),expected_observed_alignment,-0.0066755836753233915,0.849636963578905,809,1.0,False
Adv(FLEXFL),technical_depth,-0.02262158387921013,0.5205412110548382,809,1.0,False
Adv(FLEXFL),causal_reasoning_quality,-0.03391373554927932,0.335351096419214,809,1.0,False
Adv(FLEXFL),repair_difficulty,0.0028814191050515582,0.9347823476189665,809,1.0,False
Adv(FLEXFL),description_length,-0.010169885412410208,0.7727179787949298,809,1.0,False
Adv(FLEXFL),confidence,-0.029508747500276423,0.40191845894671174,809,1.0,False
Adv(FLEXFL),fine_grained_description_length,-0.015291203701306592,0.6684215844067718,787,1.0,False
Adv(FLEXFL),fine_grained_confidence,-4.74346978205929e-06,0.9998939934460942,787,1.0,False
Adv(FLEXFL),has_OB,0.033385558601835515,0.342936512477345,809,1.0,False
Adv(FLEXFL),has_EB,-0.042356094946181984,0.2288182617365636,809,1.0,False
Adv(FLEXFL),has_S2R,,,809,,False
Adv(FLEXFL),missing_OB,-0.033385558601835515,0.342936512477345,809,1.0,False
Adv(FLEXFL),missing_EB,0.042356094946181984,0.2288182617365636,809,1.0,False
Adv(FLEXFL),missing_S2R,,,809,,False
Adv(FLEXFL),num_OB,-0.03589636096337556,0.3078482344449217,809,1.0,False
Adv(FLEXFL),num_EB,-0.04641251089348426,0.18724363238986208,809,1.0,False
Adv(FLEXFL),num_S2R,,,809,,False
Adv(BNS),summary_chars,0.07811463254411756,0.026298926591113547,809,1.0,False
