tool,feature,corr,pval,n,missingness_pct,pval_adj,reject,practically_significant
FlexFL,summary_chars,0.27334748686927657,8.944502170931205e-16,835,0.0,3.103742253313128e-13,True,True
FlexFL,description_chars,0.0044789605413646585,0.8971737207621555,835,0.0,1.0,False,False
FlexFL,n_tokens,0.028200518258393932,0.41574026619567594,835,0.0,1.0,False,False
FlexFL,n_words,0.04649113913998804,0.17955117058216793,835,0.0,1.0,False,False
FlexFL,n_sentences,-0.016351697742776818,0.6370493017515928,835,0.0,1.0,False,False
FlexFL,flesch_reading_ease,0.2014470757453752,4.288187956826274e-09,835,0.0,1.2650154472637508e-06,True,True
FlexFL,smog_index,0.0014844187850521372,0.9658369891050629,835,0.0,1.0,False,False
FlexFL,gunning_fog,0.031455263897893854,0.3639808095455156,835,0.0,1.0,False,False
FlexFL,coleman_liau_index,-0.21694442287218452,2.3716855295178835e-10,835,0.0,7.162490299144008e-08,True,True
FlexFL,automated_readability_index,-0.2258804617654104,4.0328152991771845e-11,835,0.0,1.24613992744575e-08,True,True
FlexFL,has_stacktrace,-0.00437796469461095,0.8994799193812082,835,0.0,1.0,False,False
FlexFL,has_code,0.08340271715929905,0.015925160494770708,835,0.0,1.0,False,False
FlexFL,has_patch,0.03192340492627967,0.35688163958772423,835,0.0,1.0,False,False
FlexFL,has_enumeration,0.05025825546925907,0.1467736091135185,835,0.0,1.0,False,False
FlexFL,num_causal_markers,0.09167111948703993,0.008035443550894516,835,0.0,1.0,False,False
FlexFL,num_temporal_markers,0.005926232618490982,0.8642304039045313,835,0.0,1.0,False,False
FlexFL,causal_density,0.13732042320135673,6.862871485220123e-05,835,0.0,0.017637579717015718,True,False
FlexFL,temporal_density,0.015147929869007452,0.6620464488166841,835,0.0,1.0,False,False
FlexFL,num_os_mentions,0.022220927234229755,0.5213788897379119,835,0.0,1.0,False,False
FlexFL,num_browser_mentions,-0.056794059863558885,0.10100363974447447,835,0.0,1.0,False,False
FlexFL,num_env_mentions,-0.006258881715359308,0.8566895819303021,835,0.0,1.0,False,False
FlexFL,num_versions,0.20584561608708482,1.928849219941364e-09,835,0.0,5.747970675425264e-07,True,True
FlexFL,has_os_info,0.021434696368021124,0.5362273183101962,835,0.0,1.0,False,False
FlexFL,has_version_info,0.2288023403905157,2.2225627840756265e-11,835,0.0,6.889944630634442e-09,True,True
FlexFL,num_exception_types,0.047696181053580845,0.168522949317609,835,0.0,1.0,False,False
FlexFL,stacktrace_depth,0.04688171956087318,0.17591952228486793,835,0.0,1.0,False,False
FlexFL,num_caused_by,-0.04764440142077474,0.16898614152726374,835,0.0,1.0,False,False
FlexFL,num_modal_verbs,-0.0420148585623016,0.2252087542840753,835,0.0,1.0,False,False
FlexFL,num_negative_modals,-0.03885978165645553,0.26201212888078035,835,0.0,1.0,False,False
FlexFL,modal_density,-0.031056965644302555,0.3700897368667828,835,0.0,1.0,False,False
FlexFL,redundancy,-0.004118651716320006,0.9054050602135728,835,0.0,1.0,False,False
