tool,feature,corr,pval,n,analysis,pval_adj,reject,practically_significant
FlexFL,summary_chars,-0.22575546232132923,4.136174795658412e-11,835,rank_quality_among_found,1.2863503614497661e-08,True,True
FlexFL,description_chars,-0.04262115565762859,0.21858079969815886,835,rank_quality_among_found,1.0,False,False
FlexFL,n_tokens,-0.06439480986785193,0.06289696203580565,835,rank_quality_among_found,1.0,False,False
FlexFL,n_words,-0.07881492310658698,0.022750602235410654,835,rank_quality_among_found,1.0,False,False
FlexFL,n_sentences,-0.016610722359237735,0.6317226989811449,835,rank_quality_among_found,1.0,False,False
FlexFL,flesch_reading_ease,-0.1831735909226132,9.805967262568947e-08,835,rank_quality_among_found,2.7358648662567363e-05,True,False
FlexFL,smog_index,-0.013592470765491112,0.6949084147256243,835,rank_quality_among_found,1.0,False,False
FlexFL,gunning_fog,-0.007472767509510922,0.8292875822726172,835,rank_quality_among_found,1.0,False,False
FlexFL,coleman_liau_index,0.19986523180254545,5.690660731501487e-09,835,rank_quality_among_found,1.6616729335984342e-06,True,False
FlexFL,automated_readability_index,0.21788687591109496,1.9744888153658547e-10,835,rank_quality_among_found,6.041935775019516e-08,True,True
FlexFL,has_stacktrace,0.00624660816182294,0.85696758360173,835,rank_quality_among_found,1.0,False,False
FlexFL,has_code,-0.094872896108092,0.006077589257694524,835,rank_quality_among_found,1.0,False,False
FlexFL,has_patch,-0.055334906226628226,0.1100859981109498,835,rank_quality_among_found,1.0,False,False
FlexFL,has_enumeration,-0.041952793678199665,0.22589523761177716,835,rank_quality_among_found,1.0,False,False
FlexFL,num_causal_markers,-0.10451053179331485,0.0024967541860518526,835,rank_quality_among_found,0.5517826751174595,False,False
FlexFL,num_temporal_markers,-0.021457955203574488,0.5357850311494844,835,rank_quality_among_found,1.0,False,False
FlexFL,causal_density,-0.1170165439129538,0.0007042146212355022,835,rank_quality_among_found,0.1633777921266365,False,False
FlexFL,temporal_density,-0.02882381539188933,0.40550567198938736,835,rank_quality_among_found,1.0,False,False
FlexFL,num_os_mentions,-0.02775131076879166,0.42320980584767187,835,rank_quality_among_found,1.0,False,False
FlexFL,num_browser_mentions,0.03190426661566637,0.35717014620052623,835,rank_quality_among_found,1.0,False,False
FlexFL,num_env_mentions,0.030429806418777065,0.37983683538265955,835,rank_quality_among_found,1.0,False,False
FlexFL,num_versions,-0.1805071463888429,1.5096288716837378e-07,835,rank_quality_among_found,4.151479397130279e-05,True,False
FlexFL,has_os_info,-0.028679542701862664,0.40786117936552135,835,rank_quality_among_found,1.0,False,False
FlexFL,has_version_info,-0.19092624024920807,2.697217887088152e-08,835,rank_quality_among_found,7.767987514813878e-06,True,False
FlexFL,num_exception_types,0.004985426303278859,0.8856222425910628,835,rank_quality_among_found,1.0,False,False
FlexFL,stacktrace_depth,0.0005316828508659735,0.9877603817903372,835,rank_quality_among_found,1.0,False,False
FlexFL,num_caused_by,0.07885311678617574,0.022684659442299387,835,rank_quality_among_found,1.0,False,False
FlexFL,num_modal_verbs,0.06289690205792735,0.06928326902606045,835,rank_quality_among_found,1.0,False,False
FlexFL,num_negative_modals,-0.016193855943340493,0.6403043995826867,835,rank_quality_among_found,1.0,False,False
FlexFL,modal_density,0.06610023453232983,0.05622550751289674,835,rank_quality_among_found,1.0,False,False
FlexFL,redundancy,0.027122180657029735,0.4338018927773122,835,rank_quality_among_found,1.0,False,False
FlexFL,ambiguity,-0.04005208467554041,0.24764440499284737,835,rank_quality_among_found,1.0,False,False
FlexFL,actionability,-0.21697347625337507,2.3583518440373103e-10,835,rank_quality_among_found,7.169389605873423e-08,True,True
FlexFL,clarity,-0.18890361332412023,3.796983475573962e-08,835,rank_quality_among_found,1.089734257489727e-05,True,False
FlexFL,specificity,-0.1984635506068594,7.298289850177393e-09,835,rank_quality_among_found,2.116504056551444e-06,True,False
FlexFL,expected_observed_alignment,-0.21127071932989097,7.024497936409571e-10,835,rank_quality_among_found,2.1073493809228715e-07,True,True
FlexFL,technical_depth,-0.18157448168427873,1.2711501055719605e-07,835,rank_quality_among_found,3.5210857924343306e-05,True,False
FlexFL,hidden_s2r_present,0.10867127823640492,0.0016618978552849744,835,rank_quality_among_found,0.3722651195838343,False,False
FlexFL,causal_reasoning_quality,-0.21206370192066426,6.04638288349126e-10,835,rank_quality_among_found,1.819961247930869e-07,True,True
FlexFL,contradiction_present,-0.03428805087539118,0.3223663342508529,835,rank_quality_among_found,1.0,False,False
FlexFL,repair_difficulty,0.24012180987407616,2.04504178403238e-12,835,rank_quality_among_found,6.482782455382644e-10,True,True
FlexFL,description_length,-0.1868625982867164,5.341744989452315e-08,835,rank_quality_among_found,1.5170555770044575e-05,True,False
FlexFL,confidence,-0.20501345188530926,2.246665928880386e-09,835,rank_quality_among_found,6.650131149485943e-07,True,True
FlexFL,fine_grained_description_length,-0.18697053907205255,5.246673185145868e-08,835,rank_quality_among_found,1.4953018577665724e-05,True,False
FlexFL,fine_grained_confidence,-0.2060158697940548,1.869441028743058e-09,835,rank_quality_among_found,5.552239855366882e-07,True,True
FlexFL,has_OB,-0.08167974233890454,0.01824257270584473,835,rank_quality_among_found,1.0,False,False
FlexFL,has_EB,0.0017909109747016837,0.9587889830579275,835,rank_quality_among_found,1.0,False,False
FlexFL,missing_OB,0.08167974233890454,0.01824257270584473,835,rank_quality_among_found,1.0,False,False
FlexFL,missing_EB,-0.0017909109747016837,0.9587889830579275,835,rank_quality_among_found,1.0,False,False
FlexFL,num_OB,0.014022126848613817,0.6857705140468725,835,rank_quality_among_found,1.0,False,False
FlexFL,num_EB,0.001146165833191118,0.9736184281970262,835,rank_quality_among_found,1.0,False,False
FlexFL,fg_cat_is_missing,-0.007017802631401256,0.8395354693414012,835,rank_quality_among_found,1.0,False,False
FlexFL,txt_title_char_len,-0.2253624720507522,4.478270067464547e-11,835,rank_quality_among_found,1.3882637209140095e-08,True,True
FlexFL,txt_title_word_count,-0.2286274247530742,2.3037961913895938e-11,835,rank_quality_among_found,7.210882079049429e-09,True,True
FlexFL,txt_title_avg_word_len,-0.09589125175870798,0.005551643452280352,835,rank_quality_among_found,1.0,False,False
FlexFL,txt_title_avg_words_per_line,-0.2286274247530742,2.3037961913895938e-11,835,rank_quality_among_found,7.210882079049429e-09,True,True
FlexFL,txt_title_avg_sentence_len,-0.19865372907921036,7.056766746502516e-09,835,rank_quality_among_found,2.0535191232322322e-06,True,False
FlexFL,txt_title_hedge_count,-0.016770328773405247,0.6284499942098227,835,rank_quality_among_found,1.0,False,False
FlexFL,txt_title_hedge_density,-0.01703013519785557,0.6231382834850445,835,rank_quality_among_found,1.0,False,False
FlexFL,txt_title_has_code_like,-0.03309698324928664,0.3394707214426619,835,rank_quality_among_found,1.0,False,False
FlexFL,txt_title_question_density,0.03358318102396145,0.332419686458547,835,rank_quality_among_found,1.0,False,False
