tool,feature,corr,pval,n,missingness_pct,pval_adj,reject,practically_significant
FlexFL,summary_chars,0.27334748686927657,8.944502170931205e-16,835,0.0,1.4311203473489927e-13,True,True
FlexFL,description_chars,0.0044789605413646585,0.8971737207621555,835,0.0,1.0,False,False
FlexFL,n_tokens,0.028200518258393932,0.41574026619567594,835,0.0,1.0,False,False
FlexFL,n_words,0.04649113913998804,0.17955117058216793,835,0.0,1.0,False,False
FlexFL,n_sentences,-0.016351697742776818,0.6370493017515928,835,0.0,1.0,False,False
FlexFL,flesch_reading_ease,0.19383480132148925,2.5794373824184732e-08,812,0.02754491017964067,3.559623587737493e-06,True,False
FlexFL,smog_index,0.004549319266033459,0.8970121803961237,812,0.02754491017964067,1.0,False,False
FlexFL,gunning_fog,0.035016045008736424,0.31897220753407124,812,0.02754491017964067,1.0,False,False
FlexFL,coleman_liau_index,-0.20951487829932525,1.6591363317794654e-09,812,0.02754491017964067,2.339382227809046e-07,True,True
FlexFL,automated_readability_index,-0.2179151498453325,3.482225637631681e-10,812,0.02754491017964067,5.0144049181896204e-08,True,True
FlexFL,has_stacktrace,-0.00437796469461095,0.8994799193812082,835,0.0,1.0,False,False
FlexFL,has_code,0.08340271715929905,0.015925160494770708,835,0.0,1.0,False,False
FlexFL,has_patch,0.03192340492627967,0.35688163958772423,835,0.0,1.0,False,False
FlexFL,has_enumeration,0.05025825546925907,0.1467736091135185,835,0.0,1.0,False,False
FlexFL,num_causal_markers,0.09167111948703993,0.008035443550894516,835,0.0,0.8999696777001858,False,False
FlexFL,num_temporal_markers,0.005926232618490982,0.8642304039045313,835,0.0,1.0,False,False
FlexFL,causal_density,0.13732042320135673,6.862871485220123e-05,835,0.0,0.008990361645638361,True,False
FlexFL,temporal_density,0.015147929869007452,0.6620464488166841,835,0.0,1.0,False,False
FlexFL,num_os_mentions,0.022220927234229755,0.5213788897379119,835,0.0,1.0,False,False
FlexFL,num_browser_mentions,-0.056794059863558885,0.10100363974447447,835,0.0,1.0,False,False
FlexFL,num_env_mentions,-0.006258881715359308,0.8566895819303021,835,0.0,1.0,False,False
FlexFL,num_versions,0.20584561608708482,1.928849219941364e-09,835,0.0,2.7003889079179094e-07,True,True
FlexFL,has_os_info,0.021434696368021124,0.5362273183101962,835,0.0,1.0,False,False
FlexFL,has_version_info,0.2288023403905157,2.2225627840756265e-11,835,0.0,3.244941664750415e-09,True,True
FlexFL,num_exception_types,0.047696181053580845,0.168522949317609,835,0.0,1.0,False,False
FlexFL,stacktrace_depth,0.04688171956087318,0.17591952228486793,835,0.0,1.0,False,False
FlexFL,num_caused_by,-0.04764440142077474,0.16898614152726374,835,0.0,1.0,False,False
FlexFL,num_modal_verbs,-0.0420148585623016,0.2252087542840753,835,0.0,1.0,False,False
FlexFL,num_negative_modals,-0.03885978165645553,0.26201212888078035,835,0.0,1.0,False,False
FlexFL,modal_density,-0.031056965644302555,0.3700897368667828,835,0.0,1.0,False,False
FlexFL,redundancy,-0.004118651716320006,0.9054050602135728,835,0.0,1.0,False,False
FlexFL,ambiguity,-0.024229152792233883,0.48443436458362144,835,0.0,1.0,False,False
FlexFL,actionability,0.2648240790387916,7.234361050476909e-15,835,0.0,1.1285603238743978e-12,True,True
FlexFL,clarity,0.24076243041545922,1.7801061995194103e-12,835,0.0,2.6345571752887273e-10,True,True
FlexFL,specificity,0.2387212825194681,2.765850411418833e-12,835,0.0,4.065800104785685e-10,True,True
FlexFL,expected_observed_alignment,0.2585004944393922,3.252038898141913e-14,835,0.0,5.008139903138546e-12,True,True
FlexFL,technical_depth,0.21493294516390093,3.4973402918434527e-10,835,0.0,5.0144049181896204e-08,True,True
FlexFL,hidden_s2r_present,-0.11406413430119867,0.0009603796430570983,835,0.0,0.12004745538213728,False,False
FlexFL,causal_reasoning_quality,0.26187315657642574,1.4662197647151415e-14,835,0.0,2.2726406353084692e-12,True,True
FlexFL,contradiction_present,0.03428805087539118,0.3223663342508529,835,0.0,1.0,False,False
FlexFL,repair_difficulty,-0.28950440957982404,1.3827641501801927e-17,835,0.0,2.253905564793714e-15,True,True
FlexFL,description_length,0.20567728296230742,1.989390579901669e-09,835,0.0,2.76525290606332e-07,True,True
FlexFL,confidence,0.2684643109280421,2.9897152085204776e-15,835,0.0,4.723750029462355e-13,True,True
FlexFL,fine_grained_confidence,0.29133410651409525,2.38257772705399e-17,812,0.02754491017964067,3.859775917827463e-15,True,True
FlexFL,has_OB,0.09255432360829444,0.007445697904957003,835,0.0,0.8488095611650983,False,False
FlexFL,has_EB,0.010344515629993304,0.765337518033341,835,0.0,1.0,False,False
FlexFL,missing_OB,-0.09255432360829444,0.007445697904957003,835,0.0,0.8488095611650983,False,False
FlexFL,missing_EB,-0.010344515629993304,0.765337518033341,835,0.0,1.0,False,False
FlexFL,num_OB,-0.04761078590817825,0.16928735744237197,835,0.0,1.0,False,False
FlexFL,num_EB,0.00892801406410162,0.7967111326192218,835,0.0,1.0,False,False
boostnsift,summary_chars,0.3831701496433369,1.360492941336813e-30,835,0.0,2.571331659126577e-28,True,True
boostnsift,description_chars,-0.035193784131868466,0.3097419258146336,835,0.0,1.0,False,False
boostnsift,n_tokens,0.020830153543945795,0.5477871861341825,835,0.0,1.0,False,False
boostnsift,n_words,0.08181990150511133,0.018043616144339348,835,0.0,1.0,False,False
boostnsift,n_sentences,-0.03661678620806908,0.2905748265791297,835,0.0,1.0,False,False
boostnsift,flesch_reading_ease,0.354239338734484,2.0429374647986128e-25,812,0.02754491017964067,3.677287436637503e-23,True,True
boostnsift,smog_index,-0.011700924757223152,0.7391925679431885,812,0.02754491017964067,1.0,False,False
boostnsift,gunning_fog,0.048189486485517345,0.17010370432867108,812,0.02754491017964067,1.0,False,False
boostnsift,coleman_liau_index,-0.38589500292946005,3.141509066933249e-30,812,0.02754491017964067,5.874621955165176e-28,True,True
boostnsift,automated_readability_index,-0.39551168533789793,8.447497932821557e-32,812,0.02754491017964067,1.6050246072360958e-29,True,True
boostnsift,has_stacktrace,-0.022005192922007543,0.5254320332631097,835,0.0,1.0,False,False
boostnsift,has_code,0.10196885796663174,0.003179720785957503,835,0.0,0.37838677352894284,False,False
boostnsift,has_patch,0.03661405145731108,0.29061088122252055,835,0.0,1.0,False,False
boostnsift,has_enumeration,0.09331575732956347,0.006968693240862983,835,0.0,0.8013997226992431,False,False
boostnsift,num_causal_markers,0.08043661005099528,0.020092747380701714,835,0.0,1.0,False,False
boostnsift,num_temporal_markers,0.050026966608533154,0.14864436027736294,835,0.0,1.0,False,False
boostnsift,causal_density,0.12458446423785476,0.00030771903050056835,835,0.0,0.03938803590407275,True,False
boostnsift,temporal_density,0.057877489296168615,0.0946535660555924,835,0.0,1.0,False,False
boostnsift,num_os_mentions,0.05610107581393991,0.10523986080704402,835,0.0,1.0,False,False
boostnsift,num_browser_mentions,-0.10964161654512544,0.0015083672865218267,835,0.0,0.18703754352870652,False,False
boostnsift,num_env_mentions,-0.06191619744491905,0.07374555000704722,835,0.0,1.0,False,False
boostnsift,num_versions,0.2074595502855587,1.4323021492191206e-09,835,0.0,2.0338690518911513e-07,True,True
boostnsift,has_os_info,0.05575478470665842,0.1074088544956794,835,0.0,1.0,False,False
boostnsift,has_version_info,0.2737957938118775,7.99664641973565e-16,835,0.0,1.2874600735774398e-13,True,True
boostnsift,num_exception_types,0.008240497793364393,0.8120612190246047,835,0.0,1.0,False,False
boostnsift,stacktrace_depth,-0.036028009155316426,0.2984065363160221,835,0.0,1.0,False,False
boostnsift,num_caused_by,-0.07383364751790226,0.03290502203047785,835,0.0,1.0,False,False
boostnsift,num_modal_verbs,-0.024556803773338364,0.4785440238931715,835,0.0,1.0,False,False
boostnsift,num_negative_modals,0.01778252103852123,0.6078666468191342,835,0.0,1.0,False,False
boostnsift,modal_density,0.0035258992348702824,0.9189683186360149,835,0.0,1.0,False,False
boostnsift,redundancy,-0.04073226388087625,0.23969911995007567,835,0.0,1.0,False,False
boostnsift,ambiguity,0.021780473892481417,0.5296710213708181,835,0.0,1.0,False,False
boostnsift,actionability,0.35886312177380514,8.82639292294597e-27,835,0.0,1.6064035119761665e-24,True,True
boostnsift,clarity,0.3521002039921029,8.90091673964358e-26,835,0.0,1.611065929875488e-23,True,True
boostnsift,specificity,0.3083045592971652,7.611815810768337e-20,835,0.0,1.286396872019849e-17,True,True
boostnsift,expected_observed_alignment,0.3352884135181115,2.1919166494656592e-23,835,0.0,3.813934970070247e-21,True,True
boostnsift,technical_depth,0.2904745090562905,1.0671318826432601e-17,835,0.0,1.7500962875349466e-15,True,True
boostnsift,hidden_s2r_present,-0.10110257227275446,0.003448800827316383,835,0.0,0.40350969679601684,False,False
boostnsift,causal_reasoning_quality,0.39519892575992427,1.3319365216751844e-32,835,0.0,2.5439987563996022e-30,True,True
boostnsift,contradiction_present,0.006900697928268796,0.842177675966125,835,0.0,1.0,False,False
boostnsift,repair_difficulty,-0.4128492367300499,1.052762717927694e-35,835,0.0,2.06341492713828e-33,True,True
boostnsift,description_length,0.2925242149020745,6.152066366628913e-18,835,0.0,1.0150909504937706e-15,True,True
boostnsift,confidence,0.39544069088306677,1.2112725165821215e-32,835,0.0,2.3256432318376733e-30,True,True
boostnsift,fine_grained_confidence,0.38265562354693367,1.0339687117590419e-29,812,0.02754491017964067,1.923181803871818e-27,True,True
boostnsift,has_OB,0.0559497371992065,0.10618346305697979,835,0.0,1.0,False,False
boostnsift,has_EB,0.031332617914790875,0.36585515923447487,835,0.0,1.0,False,False
boostnsift,missing_OB,-0.0559497371992065,0.10618346305697979,835,0.0,1.0,False,False
boostnsift,missing_EB,-0.031332617914790875,0.36585515923447487,835,0.0,1.0,False,False
boostnsift,num_OB,-0.02543955893144607,0.4628704819740891,835,0.0,1.0,False,False
boostnsift,num_EB,0.023951804124614784,0.4894508934180213,835,0.0,1.0,False,False
buglocator,summary_chars,0.3812504146625476,2.7970400769590422e-30,835,0.0,5.258435344682999e-28,True,True
buglocator,description_chars,0.04555747839308824,0.18845734903827402,835,0.0,1.0,False,False
buglocator,n_tokens,0.10252983393154051,0.0030158139496255314,835,0.0,0.3618976739550638,False,False
