tool,feature,corr,pval,n,n_found,n_not_found,analysis,pval_adj,reject,practically_significant
FlexFL,summary_chars,0.2546628330057356,7.93892560511938e-14,835,390,445,found_vs_notfound,1.2702280968191009e-11,True,True
FlexFL,description_chars,-0.03998990078371327,0.2483798603761698,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,n_tokens,-0.0025240259489078716,0.9419445527638551,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,n_words,0.009649238358189394,0.7806924896917308,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,n_sentences,-0.03602539198698019,0.2984416601855844,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,flesch_reading_ease,0.14025056791987422,6.066575710210664e-05,812,387,425,found_vs_notfound,0.008614537508499142,True,False
FlexFL,smog_index,0.051483152702355234,0.1427147300827713,812,387,425,found_vs_notfound,1.0,False,False
FlexFL,gunning_fog,-0.010833650701793684,0.7578959126127577,812,387,425,found_vs_notfound,1.0,False,False
FlexFL,coleman_liau_index,-0.15481849016935706,9.353748344159296e-06,812,387,425,found_vs_notfound,0.001356293509903098,True,False
FlexFL,automated_readability_index,-0.16956852437684272,1.1753383295348228e-06,812,387,425,found_vs_notfound,0.00017277473444161895,True,False
FlexFL,has_stacktrace,-0.0026781397408344194,0.9384065960526221,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_code,0.08917509765310547,0.009934122385559,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_patch,0.04599245202956877,0.18426848285988376,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_enumeration,0.04892862987022133,0.15777698140221905,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_causal_markers,0.05763405468707729,0.09605179975278333,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_temporal_markers,-0.007853408519413284,0.8207359522764179,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,causal_density,0.10251523140031624,0.003019981131249986,835,390,445,found_vs_notfound,0.38353760366874823,False,False
FlexFL,temporal_density,0.015181821750783819,0.6613373209449743,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_os_mentions,0.029804409453302295,0.3897118430384508,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_browser_mentions,-0.03700307029603546,0.2855122697617779,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_env_mentions,-0.02148031604967259,0.5353599930365264,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_versions,0.08345256529585617,0.015862147276767543,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_os_info,0.0284116789868403,0.4122560522492,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_version_info,0.21952073576112602,1.4341396209633973e-10,835,390,445,found_vs_notfound,2.16555082765473e-08,True,True
FlexFL,num_exception_types,0.002503670356531866,0.9424119386781964,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,stacktrace_depth,-0.017314082447685956,0.6173553262558064,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_caused_by,-0.06079475263238323,0.07913281325687184,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_modal_verbs,-0.05755152349745831,0.09652956866042028,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_negative_modals,0.004205391887141242,0.9034224993185561,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,modal_density,-0.08368063699899017,0.015576624378870994,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,redundancy,0.006703780380953301,0.8466246686127656,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,ambiguity,-0.00012774990240547318,0.9970590217200281,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,actionability,0.26890396812379563,2.684607427376362e-15,835,390,445,found_vs_notfound,4.510140477992288e-13,True,True
FlexFL,clarity,0.2518221901839542,1.5224564552753184e-13,835,390,445,found_vs_notfound,2.405481199335003e-11,True,True
FlexFL,specificity,0.2534800122790709,1.0421623116110814e-13,835,390,445,found_vs_notfound,1.6570380754616194e-11,True,True
FlexFL,expected_observed_alignment,0.25892020923105663,2.946960711168123e-14,835,390,445,found_vs_notfound,4.833015566315722e-12,True,True
FlexFL,technical_depth,0.23169958170694974,1.2211521302133102e-11,835,390,445,found_vs_notfound,1.892785801830631e-09,True,True
FlexFL,hidden_s2r_present,-0.1102274111542535,0.001422108856102998,835,390,445,found_vs_notfound,0.18771836900559574,False,False
FlexFL,causal_reasoning_quality,0.2561318939802494,5.6512418068582996e-14,835,390,445,found_vs_notfound,9.105298750072298e-12,True,True
FlexFL,contradiction_present,0.03698832599919321,0.2857044060457818,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,repair_difficulty,-0.2847871114477686,4.805735916581995e-17,835,390,445,found_vs_notfound,8.217808417355212e-15,True,True
FlexFL,description_length,0.1257661557287877,0.0002692531590526285,835,390,445,found_vs_notfound,0.03715693594926273,True,False
FlexFL,confidence,0.24458249441957813,7.718089697790307e-13,835,390,445,found_vs_notfound,1.204021992855288e-10,True,True
FlexFL,fine_grained_confidence,0.2596450962151337,5.6205547839952455e-14,812,381,431,found_vs_notfound,9.105298750072298e-12,True,True
FlexFL,has_OB,0.09047142212159824,0.008903303407708323,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,has_EB,0.0008650522267799471,0.9800873279606207,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,missing_OB,-0.09047142212159823,0.008903303407708323,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,missing_EB,-0.0008650522267798916,0.9800873279606207,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_OB,-0.0874957438574212,0.011426624873472346,835,390,445,found_vs_notfound,1.0,False,False
FlexFL,num_EB,0.00023680004757940104,0.9945485675600688,835,390,445,found_vs_notfound,1.0,False,False
boostnsift,summary_chars,0.31306017488851146,1.9203579702866127e-20,835,306,529,found_vs_notfound,3.4182371871101705e-18,True,True
boostnsift,description_chars,-0.10732456760855351,0.0018988159202021682,835,306,529,found_vs_notfound,0.24684606962628186,False,False
boostnsift,n_tokens,-0.03900402217031652,0.2602440312047829,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,n_words,-0.011360276845532646,0.7430707973549264,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,n_sentences,-0.11880982240911668,0.0005812391778491175,835,306,529,found_vs_notfound,0.07904852818747998,False,False
boostnsift,flesch_reading_ease,0.26254951922962355,2.876244011971412e-14,812,306,506,found_vs_notfound,4.76287815946334e-12,True,True
boostnsift,smog_index,-0.005848972224220586,0.8678305896475346,812,306,506,found_vs_notfound,1.0,False,False
boostnsift,gunning_fog,0.012971987976719692,0.7120600090773723,812,306,506,found_vs_notfound,1.0,False,False
boostnsift,coleman_liau_index,-0.28043353969238977,3.8636662631863146e-16,812,306,506,found_vs_notfound,6.529595984784872e-14,True,True
boostnsift,automated_readability_index,-0.28187913947326093,2.6889493775834703e-16,812,306,506,found_vs_notfound,4.5712139418918994e-14,True,True
boostnsift,has_stacktrace,-0.039943782116426144,0.248926294774302,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_code,0.07756955281256084,0.024993803865933018,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_patch,0.015531935890987112,0.6540296442289203,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,has_enumeration,0.06832311738134052,0.04842281522120982,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_causal_markers,0.01050647316391079,0.7617736735606027,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,num_temporal_markers,0.0542105492159948,0.11751437395078328,835,306,529,found_vs_notfound,1.0,False,False
boostnsift,causal_density,0.12035023054607431,0.0004918620490262635,835,306,529,found_vs_notfound,0.0673851007165981,False,False
boostnsift,temporal_density,0.07051211123771667,0.04164729294447272,835,306,529,found_vs_notfound,1.0,False,False
