tool,feature,corr,pval,n,n_found,n_not_found,analysis,pval_adj,reject,practically_significant
FlexFL,summary_chars,0.0926948251687953,0.040466042754756064,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,description_chars,0.01810478425595875,0.6896239476107139,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,n_tokens,0.020615106773225308,0.6492886713967768,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,n_words,0.0331156787114885,0.4650084319698677,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,n_sentences,-0.01510672929417549,0.7389649162576168,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,flesch_reading_ease,0.0384899692491534,0.397186993126504,486,387,99,found_vs_notfound,1.0,False,False
FlexFL,smog_index,0.09674052698128939,0.03299075666960106,486,387,99,found_vs_notfound,1.0,False,False
FlexFL,gunning_fog,-0.03630681049729548,0.42452199163006554,486,387,99,found_vs_notfound,1.0,False,False
FlexFL,coleman_liau_index,-0.034221649229795086,0.4516254058734049,486,387,99,found_vs_notfound,1.0,False,False
FlexFL,automated_readability_index,-0.02709817563867098,0.5512009751133602,486,387,99,found_vs_notfound,1.0,False,False
FlexFL,has_stacktrace,-0.045056331576845465,0.32007620771413,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,has_code,-0.019662459350500348,0.6644831389554987,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,has_patch,0.0222958847536872,0.622835343120633,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,has_enumeration,-0.03664518524844644,0.418776730319592,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_causal_markers,0.08633238769699592,0.0564202866903297,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_temporal_markers,-0.05226728250007012,0.2486498078832378,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,causal_density,0.09228779840116146,0.041357887354971846,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,temporal_density,-0.020734929948366426,0.6473876170828464,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_os_mentions,-0.01275013946871581,0.7785277979083937,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_browser_mentions,0.010275358838105347,0.82069823213443,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_env_mentions,0.0269429974683348,0.5522560481302047,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_versions,0.011004247299038282,0.8082182143907524,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,has_os_info,-0.009503039659873959,0.8339713629515867,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,has_version_info,0.10124120511339062,0.025168471051152216,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_exception_types,-0.07354247057947269,0.10431007675611285,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,stacktrace_depth,-0.03293437802631754,0.46745723929600685,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_caused_by,-0.0615544853271836,0.17415265056930254,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_modal_verbs,-0.01633060150031384,0.7186796051906195,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,num_negative_modals,0.00427318630881874,0.9249081556226891,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,modal_density,-0.05914652980005265,0.1916465726935782,489,390,99,found_vs_notfound,1.0,False,False
FlexFL,redundancy,0.013081575509477274,0.7729262228361646,489,390,99,found_vs_notfound,1.0,False,False
