target,feature,corr,pval,n,missingness_pct,n_positive,n_negative,pval_adj,reject,practically_significant
UniqSucc(FFL),summary_chars,-0.18976030326896803,3.286456218877657e-08,835,0.0,88,747,1.3178689437699405e-05,True,False
UniqSucc(FFL),description_chars,-0.0563683012928666,0.10358993127309028,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),n_tokens,-0.08678466113638236,0.012116288957327278,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),n_words,-0.08912299857955022,0.009977683840088618,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),n_sentences,-0.041229586506009434,0.23400451034269834,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),flesch_reading_ease,-0.07716906006629777,0.025754688938092997,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),smog_index,-0.02150341062468399,0.5349211862419582,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),gunning_fog,-0.012281192505016005,0.7230664266488639,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),coleman_liau_index,0.10434917218805888,0.002535767566473618,835,0.0,88,747,0.9610559076935012,False,False
UniqSucc(FFL),automated_readability_index,0.12221955959617668,0.0004005994362237955,835,0.0,88,747,0.15342958407371368,False,False
UniqSucc(FFL),has_stacktrace,0.020176215581902808,0.5604284712601146,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_code,-0.07357906870308889,0.03351451868235081,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_patch,-0.0627418379722531,0.06997372027488287,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_enumeration,-0.005310024385444513,0.8782313852935173,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_causal_markers,-0.0478417724065053,0.16722566646932843,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_temporal_markers,-0.04427157181976324,0.20125021019471595,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),causal_density,-0.013229822117211888,0.7026558555731064,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),temporal_density,-0.014879612616573324,0.667671152709047,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_os_mentions,0.010039232715979863,0.7720686548061719,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_browser_mentions,0.03104567613102502,0.37026381211778464,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_env_mentions,0.0026429193772958028,0.9392150378094104,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_versions,-0.046726857918431064,0.17735284150661768,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_os_info,0.01357944756328414,0.6951860917175237,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_version_info,-0.1385911763906539,5.864736546037632e-05,835,0.0,88,747,0.02275517779862601,True,False
UniqSucc(FFL),num_exception_types,-0.01871878583536565,0.589099159022998,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),stacktrace_depth,-0.05500997772174726,0.11219364188718411,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_caused_by,0.002986021622524534,0.9313423209190829,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_modal_verbs,-0.03147765271463694,0.363639298240787,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_negative_modals,-0.06071273208147888,0.07953905188057787,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),modal_density,0.02171018951834345,0.5310003843932003,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),redundancy,0.014668717476309712,0.6721052599383992,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),ambiguity,-0.05583224538613046,0.10692063648104871,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),actionability,-0.23360240533163396,8.204342548160141e-12,835,0.0,88,747,3.380189129841978e-09,True,True
UniqSucc(FFL),clarity,-0.2282992556636959,2.4641037524439193e-11,835,0.0,88,747,1.0127466422544508e-08,True,True
UniqSucc(FFL),specificity,-0.22424158888787485,5.61295963877626e-11,835,0.0,88,747,2.2957004922594903e-08,True,True
UniqSucc(FFL),expected_observed_alignment,-0.21236515004345993,5.710495395496294e-10,835,0.0,88,747,2.307040139780503e-07,True,True
UniqSucc(FFL),technical_depth,-0.22421326921678084,5.644991153224756e-11,835,0.0,88,747,2.3031563905157004e-08,True,True
UniqSucc(FFL),hidden_s2r_present,0.041829728393058235,0.22726083647036285,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),causal_reasoning_quality,-0.22580958347633515,4.091109344086807e-11,835,0.0,88,747,1.6773548310755907e-08,True,True
UniqSucc(FFL),contradiction_present,-0.011884967811461923,0.7316511045691498,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),repair_difficulty,0.21240323320303783,5.669376687097765e-10,835,0.0,88,747,2.2960975582745946e-07,True,True
UniqSucc(FFL),description_length,-0.17342529228836484,4.604324985101914e-07,835,0.0,88,747,0.00018048953941599504,True,False
UniqSucc(FFL),confidence,-0.22145561667467625,9.788722395432006e-11,835,0.0,88,747,3.9742212925453945e-08,True,True
UniqSucc(FFL),fine_grained_description_length,-0.17660554858717714,2.8059395903616456e-07,835,0.0,88,747,0.00011027342590121267,True,False
UniqSucc(FFL),fine_grained_confidence,-0.1926203050600352,2.0196692234476004e-08,835,0.0,88,747,8.139266970493829e-06,True,False
UniqSucc(FFL),has_OB,0.01705640681518992,0.622602245300558,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),has_EB,-0.012322178456752457,0.7221803781548047,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),missing_OB,-0.017056406815189905,0.622602245300558,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),missing_EB,0.012322178456752483,0.7221803781548047,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_OB,-0.020939618988758714,0.5456849385740173,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),num_EB,-0.004255017839304098,0.9022885022447975,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),fg_cat_is_missing,-0.0339342523409913,0.32738745145053627,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_title_char_len,-0.19029117925347047,3.004154249761657e-08,835,0.0,88,747,1.2076700084041861e-05,True,False
UniqSucc(FFL),txt_title_word_count,-0.18407087930856159,8.46862192215642e-08,835,0.0,88,747,3.378980146940411e-05,True,False
UniqSucc(FFL),txt_title_avg_word_len,-0.1242847507979657,0.00031826107026803414,835,0.0,88,747,0.12253051205319314,False,False
UniqSucc(FFL),txt_title_avg_words_per_line,-0.18407087930856159,8.46862192215642e-08,835,0.0,88,747,3.378980146940411e-05,True,False
UniqSucc(FFL),txt_title_avg_sentence_len,-0.16083066211629762,2.9988460867074755e-06,835,0.0,88,747,0.0011725488199026228,True,False
UniqSucc(FFL),txt_title_hedge_count,-0.04482016741930322,0.19571722054119794,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_title_hedge_density,-0.04407869090897179,0.20322236629360735,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_title_has_code_like,-0.02919976761059244,0.3994058251119614,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_title_question_density,-0.020122937965466596,0.5614645641232174,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_title_digit_density,-0.13409488771821423,0.00010165120806352986,835,0.0,88,747,0.03933901752058606,True,False
UniqSucc(FFL),txt_title_uniq_word_ratio,0.03294681311394009,0.34166776245283037,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_char_len,-0.14090821128117664,4.3880067589144615e-05,835,0.0,88,747,0.017069346292177254,True,False
UniqSucc(FFL),txt_reasoning_word_count,-0.09948563144075993,0.004007022970168777,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_avg_word_len,-0.11435002683335294,0.0009322466695372646,835,0.0,88,747,0.3551859810936978,False,False
UniqSucc(FFL),txt_reasoning_avg_words_per_line,-0.09948563144075993,0.004007022970168777,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_avg_sentence_len,-0.03593179421829639,0.2996996064510377,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_hedge_count,0.13023771593139474,0.0001607516720775661,835,0.0,88,747,0.06205014542194051,False,False
UniqSucc(FFL),txt_reasoning_hedge_density,0.12249113113246328,0.00038873828098648074,835,0.0,88,747,0.14927549989880862,False,False
UniqSucc(FFL),txt_reasoning_has_code_like,-0.037191946009533745,0.28305869984900517,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_exclaim_density,-0.011884967811461922,0.7316511045691498,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_digit_density,-0.05695045791426186,0.10006658897124437,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_reasoning_uniq_word_ratio,0.022357436336062395,0.5188225252659915,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_char_len,-0.0773766175977975,0.025357895995267117,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_word_count,-0.05376797320722672,0.12054390329186038,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_line_count,0.03393425234099131,0.32738745145053627,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_avg_word_len,-0.09093652557308377,0.00855739158619663,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_avg_words_per_line,-0.10075438872837753,0.0035626605546570105,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_avg_sentence_len,-0.06561258974113927,0.05807019231612914,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_hedge_count,0.104074248122043,0.0026035224871860667,835,0.0,88,747,0.9841315001563332,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_hedge_density,0.10953409660812838,0.0015247127976928726,835,0.0,88,747,0.5793908631232916,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_has_code_like,-0.05752167960016899,0.0967027999490616,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_exclaim_density,-0.011884967811461925,0.7316511045691498,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_digit_density,0.03394279258443766,0.3272656543627511,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_uniq_word_ratio,0.04160417775907703,0.22977889759578643,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_fine_grained_reasoning_is_missing,-0.0339342523409913,0.32738745145053627,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_char_len,-0.18891520159853686,3.789591115104409e-08,835,0.0,88,747,1.5158364460417637e-05,True,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_word_count,-0.18090653486305103,1.4157279718620987e-07,835,0.0,88,747,5.620440048292532e-05,True,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_avg_word_len,-0.05333472248270164,0.12356837087427217,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_avg_words_per_line,-0.18090653486305103,1.4157279718620987e-07,835,0.0,88,747,5.620440048292532e-05,True,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_avg_sentence_len,-0.18026022012963094,1.5706620565110881e-07,835,0.0,88,747,6.204115123218798e-05,True,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_has_code_like,-0.026218143801541686,0.449287008659287,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_digit_density,-0.03621415590391432,0.29591540951200374,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),txt_likely_impacted_code_concepts_uniq_word_ratio,0.018660771481905952,0.5902542714556145,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept_num_concepts,-0.17966590792063653,1.7274825731537693e-07,835,0.0,88,747,6.80628133822585e-05,True,False
UniqSucc(FFL),concept_is_missing,0.2226609004167907,7.702385970635103e-11,835,0.0,88,747,3.134871090048487e-08,True,True
UniqSucc(FFL),concept__deserialization,0.025322111819519558,0.46493916482799835,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept__html_parsing,0.006628773052952879,0.8483198517500422,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept__json_parsing,-0.01267344853301801,0.714601861475322,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept__reflection,-0.003388235309124403,0.922121837765926,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept__serialization,-0.04189381939820581,0.22654891676053068,835,0.0,88,747,1.0,False,False
UniqSucc(FFL),concept__string_manipulation,-0.007608291124369566,0.8262404846456387,835,0.0,88,747,1.0,False,False
UniqSucc(BNS),summary_chars,-0.06924757527797756,0.045456285263721904,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),description_chars,-0.03568215179273232,0.30307202146929146,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),n_tokens,-0.03423397286047468,0.32313054657563595,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),n_words,-0.023377845186562406,0.4999203978736884,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),n_sentences,-0.025075712879884526,0.46929580368994694,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),flesch_reading_ease,-0.013930572163739273,0.6877139067430418,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),smog_index,0.0596901710732715,0.08474713684061262,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),gunning_fog,0.03186252799645882,0.3577998568198684,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),coleman_liau_index,0.007421845770912814,0.8304331663798594,835,0.0,24,811,1.0,False,False
UniqSucc(BNS),automated_readability_index,0.004133279676840309,0.9050706773015615,835,0.0,24,811,1.0,False,False
