tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta
boostnsift,winner,mrr,summary_chars,114,721,12.0,12.0,29884.5,4.0144647148065556e-07,-0.2728301335863932,2.16781094599554e-05,True,0.2728301335863932
boostnsift,winner,mrr,repair_difficulty,114,721,3.0,3.0,50921.0,2.0946171209463133e-05,0.2390442124729299,0.001089200902892083,True,0.2390442124729299
boostnsift,winner,mrr,causal_reasoning_quality,114,721,3.0,4.0,31382.5,1.9394704664473224e-05,-0.23637978441248753,0.0010279193472170808,True,0.23637978441248753
boostnsift,winner,mrr,specificity,114,721,3.0,4.0,31723.0,4.304046496640241e-05,-0.22809450811494755,0.002065942318387316,True,0.22809450811494755
boostnsift,winner,mrr,clarity,114,721,4.0,4.0,31783.5,3.0128070115885784e-05,-0.2266223811957077,0.0015064035057942892,True,0.2266223811957077
boostnsift,winner,mrr,actionability,114,721,3.0,4.0,31935.0,5.7373776412861616e-05,-0.22293598072852033,0.002696567491404496,True,0.22293598072852033
boostnsift,winner,mrr,expected_observed_alignment,114,721,4.0,5.0,32249.5,3.6508521337883464e-05,-0.21528335401610824,0.0017889175455562897,True,0.21528335401610824
boostnsift,winner,mrr,fine_grained_confidence,106,706,5.0,5.0,29971.0,2.7951852093798502e-05,-0.19902186113635148,0.0014255444567837236,True,0.19902186113635148
boostnsift,winner,mrr,num_versions,114,721,0.0,1.0,34501.5,0.0038948329248510998,-0.16048616687349443,0.1791623145431506,False,0.16048616687349443
boostnsift,winner,mrr,flesch_reading_ease,76,562,16.23,28.67,17960.5,0.02437549266037965,-0.15899513017418992,1.0,False,0.15899513017418992
boostnsift,winner,mrr,coleman_liau_index,76,562,24.645,21.905,24480.5,0.03831553401621947,0.14630548791908596,1.0,False,0.14630548791908596
boostnsift,winner,mrr,automated_readability_index,76,562,23.3,21.05,24442.0,0.040759090608295606,0.1445027158643941,1.0,False,0.1445027158643941
boostnsift,winner,mrr,causal_density,114,721,0.0,0.1666666666666666,35198.0,0.010745296956069513,-0.14353845779497287,0.47279306606705856,False,0.14353845779497287
boostnsift,winner,mrr,technical_depth,114,721,3.0,4.0,35497.5,0.015968540115785648,-0.13625082122782683,0.6866472249787828,False,0.13625082122782683
boostnsift,winner,mrr,n_sentences,114,721,4.0,5.0,36264.5,0.04167333711616363,-0.11758765846655474,1.0,False,0.11758765846655474
boostnsift,winner,mrr,confidence,114,721,5.0,5.0,36370.0,0.007919964315770746,-0.11502056111151665,0.35639839420968356,False,0.11502056111151665
boostnsift,winner,mrr,n_tokens,114,721,122.0,168.0,36502.0,0.05375593392903402,-0.11180864783317516,1.0,False,0.11180864783317516
boostnsift,winner,mrr,description_chars,114,721,861.0,1291.0,36659.5,0.06197168255082515,-0.10797625130788135,1.0,False,0.10797625130788135
boostnsift,winner,mrr,description_length,114,721,861.0,1291.0,36659.5,0.06197168255082515,-0.10797625130788135,1.0,False,0.10797625130788135
boostnsift,winner,mrr,num_causal_markers,114,721,0.0,1.0,37092.0,0.08170622392744747,-0.09745236878604277,1.0,False,0.09745236878604277
boostnsift,winner,mrr,redundancy,114,721,0.2787712067365646,0.2928004264831543,37145.5,0.0971842058984231,-0.09615057060126043,1.0,False,0.09615057060126043
boostnsift,winner,mrr,fine_grained_description_length,106,706,827.5,1287.5,33924.0,0.11812431908795686,-0.09337751884119942,1.0,False,0.09337751884119942
boostnsift,winner,mrr,n_words,114,721,80.5,98.0,37389.0,0.11960272593084649,-0.09022556390977443,1.0,False,0.09022556390977443
boostnsift,winner,mrr,gunning_fog,76,562,12.254999999999999,11.665,23176.5,0.22750605383522537,0.0852453643004308,1.0,False,0.0852453643004308
boostnsift,winner,mrr,num_negative_modals,114,721,0.0,0.0,43372.0,0.08160035010979558,0.05535683869868847,1.0,False,0.05535683869868847
boostnsift,winner,mrr,smog_index,76,562,12.649999999999999,12.3,22530.0,0.4364034459707723,0.05497284135605919,1.0,False,0.05497284135605919
boostnsift,winner,mrr,modal_density,114,721,0.0,0.0,38988.0,0.3065904900480183,-0.05131761442441054,1.0,False,0.05131761442441054
boostnsift,winner,mrr,num_OB,114,721,5.0,4.0,42439.0,0.5726141012271633,0.03265445166313843,1.0,False,0.03265445166313843
boostnsift,winner,mrr,has_OB,114,721,1.0,1.0,39864.5,0.025224068645755708,-0.02999002360269606,1.0,False,0.02999002360269606
boostnsift,winner,mrr,missing_OB,114,721,0.0,0.0,42329.5,0.025224068645755708,0.02999002360269606,1.0,False,0.02999002360269606
boostnsift,winner,mrr,num_modal_verbs,114,721,0.0,0.0,39989.0,0.5897909927719465,-0.026960605396987615,1.0,False,0.026960605396987615
boostnsift,winner,mrr,stacktrace_depth,114,721,0.0,0.0,40236.0,0.46012844855616186,-0.020950434338272865,1.0,False,0.020950434338272865
boostnsift,winner,mrr,num_caused_by,114,721,0.0,0.0,40356.0,0.14898574689199756,-0.018030513176144243,1.0,False,0.018030513176144243
boostnsift,winner,mrr,num_os_mentions,114,721,0.0,0.0,41672.0,0.6170566722420219,0.013991288901866317,1.0,False,0.013991288901866317
boostnsift,winner,mrr,num_browser_mentions,114,721,0.0,0.0,40614.5,0.6065657300500849,-0.01174051633939217,1.0,False,0.01174051633939217
boostnsift,winner,mrr,steps_with_objects,114,721,0.0,0.0,40698.0,0.2916423764011713,-0.009708737864077669,1.0,False,0.009708737864077669
boostnsift,winner,mrr,num_env_mentions,114,721,0.0,0.0,40752.0,0.6442981248843023,-0.00839477334111979,1.0,False,0.00839477334111979
boostnsift,winner,mrr,temporal_density,114,721,0.0,0.0,40824.5,0.8749517239171237,-0.00663065430566708,1.0,False,0.00663065430566708
boostnsift,winner,mrr,has_EB,114,721,0.0,0.0,40862.0,0.9096334738157221,-0.0057181789425018855,1.0,False,0.0057181789425018855
boostnsift,winner,mrr,missing_EB,114,721,1.0,1.0,41332.0,0.9096334738157221,0.0057181789425018855,1.0,False,0.0057181789425018855
boostnsift,winner,mrr,num_EB,114,721,0.0,0.0,40873.5,0.917618494365873,-0.005438353164464559,1.0,False,0.005438353164464559
boostnsift,winner,mrr,num_steps,114,721,0.0,0.0,40887.5,0.6582998649286014,-0.005097695695549554,1.0,False,0.005097695695549554
boostnsift,winner,mrr,avg_step_length,114,721,0.0,0.0,40892.0,0.6652131981108904,-0.00498819865196973,1.0,False,0.00498819865196973
boostnsift,winner,mrr,potential_vague_steps,114,721,0.0,0.0,41286.5,0.5089803970779547,0.004611042168528116,1.0,False,0.004611042168528116
boostnsift,winner,mrr,ambiguity,114,721,0.0,0.0,40961.5,0.9448393337211021,-0.0032970776455702364,1.0,False,0.0032970776455702364
boostnsift,winner,mrr,num_exception_types,114,721,0.0,0.0,41179.5,0.963633136158221,0.002007445798963428,1.0,False,0.002007445798963428
boostnsift,winner,mrr,num_temporal_markers,114,721,0.0,0.0,41085.0,0.9946795209863974,-0.00029199211621286223,1.0,False,0.00029199211621286223
boostnsift,winner,mrr,steps_with_specific_actions,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,potential_ambiguous_steps,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,behavior_verb_count,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,behavior_verb_density,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,has_S2R,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,missing_S2R,114,721,1.0,1.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,num_S2R,114,721,0.0,0.0,41097.0,1.0,0.0,1.0,False,0.0
boostnsift,winner,mrr,completeness_score,1,10,0.0,1.0,,,,,False,
boostnsift,winner,mrr,specificity_score,1,10,0.0,0.0,,,,,False,
