tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta
buglocator,winner,mrr,coleman_liau_index,44,594,27.405,21.84,17111.0,0.0006110430875294117,0.3093816957453321,0.03238528363905882,True,0.3093816957453321
buglocator,winner,mrr,repair_difficulty,70,765,3.0,3.0,35029.0,9.484543930837782e-06,0.30827264239028945,0.0005121653722652402,True,0.30827264239028945
buglocator,winner,mrr,flesch_reading_ease,44,594,8.485,28.57,9354.0,0.0016451232589378758,-0.2842056932966024,0.08554640946476955,False,0.2842056932966024
buglocator,winner,mrr,automated_readability_index,44,594,24.75,21.05,16507.0,0.003559940751617609,0.26316192225283136,0.17443709682926284,False,0.26316192225283136
buglocator,winner,mrr,actionability,70,765,4.0,4.0,21074.0,0.0019252542533216071,-0.21292250233426704,0.09818796691940196,False,0.21292250233426704
buglocator,winner,mrr,summary_chars,70,765,12.0,12.0,21503.5,0.003157668115781352,-0.19688141923436042,0.15788340578906762,False,0.19688141923436042
buglocator,winner,mrr,specificity,70,765,3.5,4.0,21776.5,0.0068887523865896185,-0.18668534080298785,0.31688260978312244,False,0.18668534080298785
buglocator,winner,mrr,num_versions,70,765,0.0,1.0,21986.0,0.009415155495927184,-0.1788608776844071,0.4236819973167233,False,0.1788608776844071
buglocator,winner,mrr,fine_grained_description_length,68,744,844.0,1280.0,21183.5,0.025281292762667308,-0.16257511068943706,1.0,False,0.16257511068943706
buglocator,winner,mrr,fine_grained_confidence,68,744,5.0,5.0,21255.0,0.0056957634727089115,-0.1597485768500949,0.26770088321731883,False,0.1597485768500949
buglocator,winner,mrr,confidence,70,765,5.0,5.0,22628.0,0.003899560299284026,-0.15488328664799253,0.18717889436563326,False,0.15488328664799253
buglocator,winner,mrr,causal_reasoning_quality,70,765,4.0,4.0,22667.5,0.025250497057470567,-0.15340802987861812,1.0,False,0.15340802987861812
buglocator,winner,mrr,clarity,70,765,4.0,4.0,22791.0,0.027027820872440714,-0.1487955182072829,1.0,False,0.1487955182072829
buglocator,winner,mrr,description_chars,70,765,947.5,1280.0,22813.5,0.03898454360639384,-0.14795518207282912,1.0,False,0.14795518207282912
buglocator,winner,mrr,description_length,70,765,947.5,1280.0,22813.5,0.03898454360639384,-0.14795518207282912,1.0,False,0.14795518207282912
buglocator,winner,mrr,n_words,70,765,80.0,98.0,22821.0,0.039759209289215156,-0.1476750700280112,1.0,False,0.1476750700280112
buglocator,winner,mrr,expected_observed_alignment,70,765,4.0,5.0,22928.0,0.026158438491720285,-0.14367880485527545,1.0,False,0.14367880485527545
buglocator,winner,mrr,n_tokens,70,765,137.0,166.0,22941.0,0.046172557314672,-0.14319327731092438,1.0,False,0.14319327731092438
buglocator,winner,mrr,num_OB,70,765,5.0,4.0,30544.5,0.049544871506768,0.1407843137254902,1.0,False,0.1407843137254902
buglocator,winner,mrr,redundancy,70,765,0.3004347085952759,0.285499632358551,30535.0,0.05054368576818024,0.1404295051353875,1.0,False,0.1404295051353875
buglocator,winner,mrr,num_causal_markers,70,765,1.0,1.0,23224.5,0.05587673934059957,-0.13260504201680673,1.0,False,0.13260504201680673
buglocator,winner,mrr,causal_density,70,765,0.038856304985337195,0.1666666666666666,23302.0,0.06281455684066556,-0.12971055088702146,1.0,False,0.12971055088702146
buglocator,winner,mrr,technical_depth,70,765,3.0,4.0,23544.5,0.08503341361307266,-0.12065359477124182,1.0,False,0.12065359477124182
buglocator,winner,mrr,num_temporal_markers,70,765,0.0,0.0,23652.5,0.024910139967262882,-0.11661998132586368,1.0,False,0.11661998132586368
buglocator,winner,mrr,num_modal_verbs,70,765,0.0,0.0,23684.0,0.06233368684931198,-0.11544351073762839,1.0,False,0.11544351073762839
buglocator,winner,mrr,temporal_density,70,765,0.0,0.0,23731.5,0.029166700682222924,-0.11366946778711484,1.0,False,0.11366946778711484
buglocator,winner,mrr,modal_density,70,765,0.0,0.0,23781.5,0.07217333358901938,-0.11180205415499533,1.0,False,0.11180205415499533
buglocator,winner,mrr,gunning_fog,44,594,11.705,11.71,14075.5,0.3933296132818781,0.07709672482399756,1.0,False,0.07709672482399756
buglocator,winner,mrr,num_os_mentions,70,765,0.0,0.0,24740.0,0.02824846211741134,-0.07600373482726423,1.0,False,0.07600373482726423
buglocator,winner,mrr,num_EB,70,765,1.0,0.0,28418.0,0.34524479794925667,0.06136321195144725,1.0,False,0.06136321195144725
buglocator,winner,mrr,has_EB,70,765,1.0,0.0,28330.0,0.3512572541344129,0.0580765639589169,1.0,False,0.0580765639589169
buglocator,winner,mrr,missing_EB,70,765,0.0,1.0,25220.0,0.3512572541344129,-0.0580765639589169,1.0,False,0.0580765639589169
buglocator,winner,mrr,n_sentences,70,765,4.5,5.0,25345.5,0.45551354888075923,-0.05338935574229692,1.0,False,0.05338935574229692
buglocator,winner,mrr,stacktrace_depth,70,765,0.0,0.0,28053.5,0.17411591457282471,0.047749766573295986,1.0,False,0.047749766573295986
buglocator,winner,mrr,num_negative_modals,70,765,0.0,0.0,25967.5,0.4439739026264182,-0.03015873015873016,1.0,False,0.03015873015873016
buglocator,winner,mrr,num_exception_types,70,765,0.0,0.0,27578.5,0.5801473232523202,0.0300093370681606,1.0,False,0.0300093370681606
buglocator,winner,mrr,num_browser_mentions,70,765,0.0,0.0,26033.0,0.3263395238731118,-0.027712418300653595,1.0,False,0.027712418300653595
buglocator,winner,mrr,num_env_mentions,70,765,0.0,0.0,26212.0,0.350321143168451,-0.021027077497665733,1.0,False,0.021027077497665733
buglocator,winner,mrr,smog_index,44,594,12.4,12.4,12811.5,0.8281737279301676,-0.01962809917355372,1.0,False,0.01962809917355372
