tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta
locus,winner,mrr,repair_difficulty,72,763,4.0,3.0,37105.0,3.307248145178173e-07,0.35084461919324306,1.7859139983962135e-05,True,0.35084461919324306
locus,winner,mrr,summary_chars,72,763,12.0,12.0,19277.5,5.941040701549105e-06,-0.2981833406145333,0.00030893411648055347,True,0.2981833406145333
locus,winner,mrr,description_chars,72,763,699.5,1290.0,19582.0,4.959999019319718e-05,-0.2870977137032183,0.002479999509659859,True,0.2870977137032183
locus,winner,mrr,description_length,72,763,699.5,1290.0,19582.0,4.959999019319718e-05,-0.2870977137032183,0.002479999509659859,True,0.2870977137032183
locus,winner,mrr,n_sentences,72,763,2.0,6.0,19685.0,6.005514807957308e-05,-0.28334789573321684,0.002882647107819508,True,0.28334789573321684
locus,winner,mrr,fine_grained_description_length,72,740,699.5,1290.5,19118.0,6.679787529320664e-05,-0.28235735735735734,0.003139500138780712,True,0.28235735735735734
locus,winner,mrr,confidence,72,763,5.0,5.0,20160.0,5.118475670322329e-07,-0.26605504587155965,2.7127921052708342e-05,True,0.26605504587155965
locus,winner,mrr,causal_reasoning_quality,72,763,3.5,4.0,20339.0,0.00012587224694632772,-0.259538371923693,0.0057901233595310745,True,0.259538371923693
locus,winner,mrr,n_tokens,72,763,94.5,169.0,20538.5,0.0003736349203639807,-0.252275374981797,0.01606630157565117,True,0.252275374981797
locus,winner,mrr,n_words,72,763,72.0,99.0,20551.0,0.0003828249878855567,-0.2518202999854376,0.01607864949119338,True,0.2518202999854376
locus,winner,mrr,fine_grained_confidence,72,740,4.5,5.0,19998.0,9.490409656270337e-06,-0.24932432432432433,0.0004840108924697872,True,0.24932432432432433
locus,winner,mrr,num_versions,72,763,0.0,1.0,20724.5,0.00030617048634835214,-0.24550385903596914,0.013777671885675847,True,0.24550385903596914
locus,winner,mrr,num_causal_markers,72,763,0.0,1.0,20746.5,0.000351689044833266,-0.2447029270423766,0.015474317972663703,True,0.2447029270423766
locus,winner,mrr,actionability,72,763,3.0,4.0,20915.0,0.0004318346445574688,-0.23856851609145188,0.01770522042685622,True,0.23856851609145188
locus,winner,mrr,technical_depth,72,763,2.0,4.0,21020.0,0.0006885683494772777,-0.2347458861220329,0.027542733979091107,True,0.2347458861220329
locus,winner,mrr,causal_density,72,763,0.0,0.1666666666666666,21080.5,0.0007285755657982193,-0.23254332313965342,0.028414447066130555,True,0.23254332313965342
locus,winner,mrr,expected_observed_alignment,72,763,4.0,5.0,21741.0,0.0010802708574383702,-0.20849716033202273,0.04105029258265807,True,0.20849716033202273
locus,winner,mrr,clarity,72,763,4.0,4.0,21825.5,0.0019885348665127757,-0.20542085335663318,0.0735757900609727,False,0.20542085335663318
locus,winner,mrr,specificity,72,763,3.0,4.0,22347.5,0.006276183539712855,-0.18641692150866462,0.2259426074296628,False,0.18641692150866462
locus,winner,mrr,num_exception_types,72,763,0.0,0.0,24665.5,0.05668485057889476,-0.10202781418377749,1.0,False,0.10202781418377749
locus,winner,mrr,automated_readability_index,38,600,22.2,21.3,12503.5,0.3168009830192512,0.09679824561403509,1.0,False,0.09679824561403509
locus,winner,mrr,gunning_fog,38,600,11.91,11.71,12424.5,0.3527132583180701,0.08986842105263158,1.0,False,0.08986842105263158
locus,winner,mrr,ambiguity,72,763,0.0,0.0,25282.5,0.17076127438343736,-0.0795653123634775,1.0,False,0.0795653123634775
locus,winner,mrr,redundancy,72,763,0.3004347085952759,0.2860698401927948,29587.0,0.27665968637984617,0.0771443133828455,1.0,False,0.0771443133828455
locus,winner,mrr,num_modal_verbs,72,763,0.0,0.0,25528.5,0.24825997716038717,-0.0706094364351245,1.0,False,0.0706094364351245
locus,winner,mrr,modal_density,72,763,0.0,0.0,25628.0,0.27525648656521895,-0.06698703946410368,1.0,False,0.06698703946410368
locus,winner,mrr,temporal_density,72,763,0.0,0.0,25790.0,0.23516104597944487,-0.06108926751128586,1.0,False,0.06108926751128586
locus,winner,mrr,num_temporal_markers,72,763,0.0,0.0,25806.0,0.23862073926350635,-0.06050677151594583,1.0,False,0.06050677151594583
locus,winner,mrr,coleman_liau_index,38,600,22.35,22.055,12051.5,0.5546414714390898,0.05714912280701755,1.0,False,0.05714912280701755
locus,winner,mrr,smog_index,38,600,12.8,12.350000000000001,11951.5,0.6169596324259472,0.048377192982456144,1.0,False,0.048377192982456144
locus,winner,mrr,has_OB,72,763,1.0,1.0,26338.0,0.012084094047826852,-0.04113877967088976,0.4229432916739398,False,0.04113877967088976
locus,winner,mrr,missing_OB,72,763,0.0,0.0,28598.0,0.012084094047826852,0.04113877967088976,0.4229432916739398,False,0.04113877967088976
locus,winner,mrr,flesch_reading_ease,38,600,28.925,27.4,10980.0,0.7034109470405587,-0.03684210526315789,1.0,False,0.03684210526315789
locus,winner,mrr,stacktrace_depth,72,763,0.0,0.0,26570.5,0.3462900307257262,-0.03267438473860492,1.0,False,0.03267438473860492
locus,winner,mrr,num_negative_modals,72,763,0.0,0.0,26576.5,0.4040272014212982,-0.03245594874035241,1.0,False,0.03245594874035241
locus,winner,mrr,num_browser_mentions,72,763,0.0,0.0,28347.0,0.2509289842538802,0.03200087374399301,1.0,False,0.03200087374399301
locus,winner,mrr,num_os_mentions,72,763,0.0,0.0,26608.0,0.3601706121459971,-0.03130915974952672,1.0,False,0.03130915974952672
locus,winner,mrr,has_EB,72,763,0.0,0.0,28220.5,0.6561673991012669,0.02739551478083588,1.0,False,0.02739551478083588
locus,winner,mrr,missing_EB,72,763,1.0,1.0,26715.5,0.6561673991012669,-0.02739551478083588,1.0,False,0.02739551478083588
locus,winner,mrr,num_OB,72,763,4.5,4.0,28193.0,0.7093606314357672,0.026394349788845202,1.0,False,0.026394349788845202
locus,winner,mrr,num_EB,72,763,0.0,0.0,28176.0,0.6881261557183709,0.025775447793796417,1.0,False,0.025775447793796417
locus,winner,mrr,num_steps,72,763,0.0,0.0,27072.0,0.30597884423054356,-0.014416775884665793,1.0,False,0.014416775884665793
locus,winner,mrr,avg_step_length,72,763,0.0,0.0,27072.0,0.30599271153539853,-0.014416775884665793,1.0,False,0.014416775884665793
locus,winner,mrr,steps_with_objects,72,763,0.0,0.0,27216.0,0.4156085508036039,-0.009174311926605505,1.0,False,0.009174311926605505
locus,winner,mrr,num_env_mentions,72,763,0.0,0.0,27294.0,0.7760888513873511,-0.006334643949322849,1.0,False,0.006334643949322849
locus,winner,mrr,potential_vague_steps,72,763,0.0,0.0,27324.0,0.5396472474234417,-0.005242463958060288,1.0,False,0.005242463958060288
locus,winner,mrr,num_caused_by,72,763,0.0,0.0,27416.5,0.903236543115321,-0.0018749089850007281,1.0,False,0.0018749089850007281
locus,winner,mrr,steps_with_specific_actions,72,763,0.0,0.0,27468.0,1.0,0.0,1.0,False,0.0
locus,winner,mrr,potential_ambiguous_steps,72,763,0.0,0.0,27468.0,1.0,0.0,1.0,False,0.0
locus,winner,mrr,behavior_verb_count,72,763,0.0,0.0,27468.0,1.0,0.0,1.0,False,0.0
locus,winner,mrr,behavior_verb_density,72,763,0.0,0.0,27468.0,1.0,0.0,1.0,False,0.0
locus,winner,mrr,has_S2R,72,763,0.0,0.0,27468.0,1.0,0.0,1.0,False,0.0
locus,winner,mrr,missing_S2R,72,763,1.0,1.0,27468.0,1.0,0.0,1.0,False,0.0
