tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
FlexFL,stratified,mrr,summary_chars,825,10,-0.8058683276097268,-0.8058683276097268,6568.0,0.0004921162821869325,0.5922424242424242,0.05634149070403669,False,0.5922424242424242,True
FlexFL,stratified,mrr,description_chars,825,10,-0.2580420455809932,-0.8253264510157969,6561.0,0.0013154977649861364,0.5905454545454546,0.12760328320365524,False,0.5905454545454546,True
FlexFL,stratified,mrr,n_tokens,825,10,-0.2894729069006857,-0.9643917182777146,6923.0,0.0002241525555174676,0.6783030303030303,0.02622584899554371,True,0.6783030303030303,True
FlexFL,stratified,mrr,n_words,825,10,-0.2518277799516151,-0.9617766861364427,7097.5,8.842384298187566e-05,0.7206060606060606,0.010434013471861328,True,0.7206060606060606,True
FlexFL,stratified,mrr,n_sentences,825,10,-0.2868038552763112,-0.7099155498977243,6544.0,0.0013848704748850595,0.5864242424242424,0.1329475655889657,False,0.5864242424242424,True
FlexFL,stratified,mrr,flesch_reading_ease,825,10,0.2376116652097252,-0.5120420796972971,6618.0,0.0010098582830410617,0.6043636363636363,0.10199568658714724,False,0.6043636363636363,True
FlexFL,stratified,mrr,smog_index,825,10,-0.0126613117686452,0.0,4379.0,0.7380430707807522,0.061575757575757575,1.0,False,0.061575757575757575,False
FlexFL,stratified,mrr,gunning_fog,825,10,-0.067936624211691,0.0,3902.0,0.7691461919823697,-0.05406060606060606,1.0,False,0.05406060606060606,False
FlexFL,stratified,mrr,coleman_liau_index,825,10,-0.2565331323970004,0.6352618141226467,1570.5,0.0007547233271316855,-0.6192727272727273,0.07849122602169528,False,0.6192727272727273,True
FlexFL,stratified,mrr,automated_readability_index,825,10,-0.2889782014927428,0.594279018544127,1603.0,0.0008808600974946257,-0.6113939393939394,0.08984772994445182,False,0.6113939393939394,True
FlexFL,stratified,mrr,has_stacktrace,825,10,-0.9429423479159332,-0.9429423479159332,5672.5,0.01825969489880617,0.3751515151515151,1.0,False,0.3751515151515151,True
FlexFL,stratified,mrr,has_code,825,10,-0.6202765124580578,-0.6202765124580578,5285.0,0.04868882975716682,0.2812121212121212,1.0,False,0.2812121212121212,True
FlexFL,stratified,mrr,has_patch,825,10,-0.1828000043330371,-0.1828000043330371,4260.0,0.5625512054940407,0.03272727272727273,1.0,False,0.03272727272727273,False
FlexFL,stratified,mrr,has_enumeration,825,10,-0.1606191949877903,-0.1606191949877903,4230.0,0.6112754860745512,0.025454545454545455,1.0,False,0.025454545454545455,False
FlexFL,stratified,mrr,num_causal_markers,825,10,-0.1531279935599871,-0.7576758641159647,5721.0,0.03208124485089425,0.3869090909090909,1.0,False,0.3869090909090909,True
FlexFL,stratified,mrr,num_temporal_markers,825,10,-0.4635308650875505,-0.4635308650875505,4973.0,0.16178171639658823,0.20557575757575758,1.0,False,0.20557575757575758,True
FlexFL,stratified,mrr,causal_density,825,10,-0.1993983796485136,-0.93081039640571,5220.5,0.14528400109406064,0.2655757575757576,1.0,False,0.2655757575757576,True
FlexFL,stratified,mrr,temporal_density,825,10,-0.4256912142338764,-0.4256912142338764,4991.0,0.1547177255201423,0.20993939393939393,1.0,False,0.20993939393939393,True
FlexFL,stratified,mrr,num_os_mentions,825,10,-0.3565391088761866,-0.3565391088761866,4640.0,0.2338096436899113,0.12484848484848485,1.0,False,0.12484848484848485,False
FlexFL,stratified,mrr,num_browser_mentions,825,10,-0.390976846636182,-0.390976846636182,3489.5,0.16983280221527697,-0.15406060606060606,1.0,False,0.15406060606060606,False
FlexFL,stratified,mrr,num_env_mentions,825,10,-0.2192296649910203,-0.2192296649910203,4360.0,0.4385024203911835,0.05696969696969697,1.0,False,0.05696969696969697,False
FlexFL,stratified,mrr,num_versions,825,10,-0.1809757993128989,-0.3124943305803233,5986.5,0.010982798856217113,0.45127272727272727,0.966486299347106,False,0.45127272727272727,True
FlexFL,stratified,mrr,has_os_info,825,10,-0.3751138260763807,-0.3751138260763807,4640.0,0.2334538839339806,0.12484848484848485,1.0,False,0.12484848484848485,False
FlexFL,stratified,mrr,has_version_info,825,10,0.7882634225314346,-1.2686114456365274,5865.0,0.006434381609806997,0.4218181818181818,0.5790943448826297,False,0.4218181818181818,True
FlexFL,stratified,mrr,num_exception_types,825,10,-0.5251530779927517,-0.5251530779927517,5275.0,0.053114290373306734,0.2787878787878788,1.0,False,0.2787878787878788,True
FlexFL,stratified,mrr,stacktrace_depth,825,10,-0.2020454871191189,-0.2020454871191189,4485.0,0.3300429099170241,0.08727272727272728,1.0,False,0.08727272727272728,False
FlexFL,stratified,mrr,num_caused_by,825,10,-0.1602391524099254,-0.1602391524099254,4250.0,0.578018062397041,0.030303030303030304,1.0,False,0.030303030303030304,False
FlexFL,stratified,mrr,behavior_verb_count,825,10,0.0,0.0,4125.0,1.0,0.0,1.0,False,0.0,False
FlexFL,stratified,mrr,behavior_verb_density,825,10,0.0,0.0,4125.0,1.0,0.0,1.0,False,0.0,False
FlexFL,stratified,mrr,num_modal_verbs,825,10,-0.5746091275372439,-0.5746091275372439,5814.5,0.015390410557972228,0.4095757575757576,1.0,False,0.4095757575757576,True
FlexFL,stratified,mrr,num_negative_modals,825,10,-0.2577319414569243,-0.2577319414569243,4700.0,0.20536459218842307,0.1393939393939394,1.0,False,0.1393939393939394,False
FlexFL,stratified,mrr,modal_density,825,10,-0.4673947634391083,-0.4673947634391083,5611.0,0.034543167356159095,0.36024242424242425,1.0,False,0.36024242424242425,True
FlexFL,stratified,mrr,redundancy,825,10,-0.0191620264796957,-0.6497228878658994,5536.0,0.0628042562217877,0.34206060606060606,1.0,False,0.34206060606060606,True
FlexFL,stratified,mrr,ambiguity,825,10,-0.5855868655187282,-0.5855868655187282,4901.0,0.2499033414134929,0.18812121212121213,1.0,False,0.18812121212121213,False
FlexFL,stratified,mrr,actionability,825,10,0.3430376111637781,-1.6812479388132866,6450.0,0.0012723530097550108,0.5636363636363636,0.12723530097550106,False,0.5636363636363636,True
FlexFL,stratified,mrr,clarity,825,10,0.2638805499878769,-1.7301489453956265,6228.0,0.002946380384592223,0.5098181818181818,0.2710669953824845,False,0.5098181818181818,True
FlexFL,stratified,mrr,specificity,825,10,0.3779646843889213,-1.6614570375157598,6417.0,0.0015973845643719382,0.5556363636363636,0.15175153361533414,False,0.5556363636363636,True
FlexFL,stratified,mrr,expected_observed_alignment,825,10,0.7027131095927159,-1.719935307046086,6311.0,0.0012856322304061263,0.5299393939393939,0.1272775908102065,False,0.5299393939393939,True
FlexFL,stratified,mrr,technical_depth,825,10,0.627005794172899,-1.5820652528075685,6408.0,0.0019313502287723004,0.5534545454545454,0.17961557127582395,False,0.5534545454545454,True
FlexFL,stratified,mrr,hidden_s2r_present,825,10,-0.4195906791483444,-0.4195906791483444,3497.5,0.18078266763079132,-0.15212121212121213,1.0,False,0.15212121212121213,False
FlexFL,stratified,mrr,causal_reasoning_quality,825,10,0.3479700762291345,-1.6524086752429987,6443.5,0.0012932824955922812,0.562060606060606,0.1272775908102065,False,0.562060606060606,True
FlexFL,stratified,mrr,contradiction_present,825,10,-0.0346271680532221,-0.0346271680532221,4130.0,0.9210694011248012,0.0012121212121212121,1.0,False,0.0012121212121212121,False
FlexFL,stratified,mrr,repair_difficulty,825,10,0.0684006013983548,1.5143373651357288,1852.5,0.0018969070889808066,-0.5509090909090909,0.17830926636419583,False,0.5509090909090909,True
FlexFL,stratified,mrr,description_length,825,10,-0.1147528048117911,-1.0231586669890729,6749.0,0.0004949549398277228,0.6361212121212121,0.05634149070403669,False,0.6361212121212121,True
