tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
FlexFL,stratified,mrr,summary_chars,825,10,-0.8087090999825624,-0.8087090999825624,6568.0,0.0004921137701945948,0.5922424242424242,0.05585156469791463,False,0.5922424242424242,True
FlexFL,stratified,mrr,description_chars,825,10,-0.1147528048117911,-1.0231586669890729,6749.0,0.0004949549398277228,0.6361212121212121,0.05585156469791463,False,0.6361212121212121,True
FlexFL,stratified,mrr,n_tokens,825,10,-0.1540564251759135,-0.9973552369566834,6943.5,0.00018840927166589462,0.6832727272727273,0.022232294056575563,True,0.6832727272727273,True
FlexFL,stratified,mrr,n_words,825,10,-0.1476231576291783,-0.9184504393769674,6886.0,0.00025428070031420047,0.6693333333333333,0.029750841936761453,True,0.6693333333333333,True
FlexFL,stratified,mrr,n_sentences,825,10,-0.2877121436321856,-0.592972168959854,6822.0,0.0003336930077722519,0.6538181818181819,0.03870838890158122,True,0.6538181818181819,True
FlexFL,stratified,mrr,flesch_reading_ease,825,10,0.0,0.0,5504.0,0.06719505185954992,0.3343030303030303,1.0,False,0.3343030303030303,True
FlexFL,stratified,mrr,smog_index,825,10,0.0,0.0,3415.0,0.34611241356290356,-0.17212121212121212,1.0,False,0.17212121212121212,False
FlexFL,stratified,mrr,gunning_fog,825,10,0.0,0.0,3351.5,0.30470916752494337,-0.18751515151515152,1.0,False,0.18751515151515152,False
FlexFL,stratified,mrr,coleman_liau_index,825,10,-0.0027070516959927,0.0,2694.5,0.05759756041245841,-0.3467878787878788,1.0,False,0.3467878787878788,True
FlexFL,stratified,mrr,automated_readability_index,825,10,0.0,0.0,2790.0,0.07640141348335484,-0.3236363636363636,1.0,False,0.3236363636363636,True
FlexFL,stratified,mrr,has_stacktrace,825,10,-0.7410567593603691,-0.7410567593603691,5605.0,0.018503827803271828,0.35878787878787877,1.0,False,0.35878787878787877,True
FlexFL,stratified,mrr,has_code,825,10,-0.6147257834017358,-0.6147257834017358,5270.0,0.05074207551086742,0.2775757575757576,1.0,False,0.2775757575757576,True
FlexFL,stratified,mrr,has_patch,825,10,-0.1525919844732684,-0.1525919844732684,4220.0,0.6293729466228095,0.02303030303030303,1.0,False,0.02303030303030303,False
FlexFL,stratified,mrr,has_enumeration,825,10,-0.1606191949877903,-0.1606191949877903,4230.0,0.6112754860745512,0.025454545454545455,1.0,False,0.025454545454545455,False
FlexFL,stratified,mrr,num_causal_markers,825,10,-0.3063572700662809,-0.6241315812530444,5531.0,0.05378052797713955,0.34084848484848485,1.0,False,0.34084848484848485,True
FlexFL,stratified,mrr,num_temporal_markers,825,10,-0.4193145459843463,-0.4193145459843463,5035.0,0.09599109474119387,0.2206060606060606,1.0,False,0.2206060606060606,True
FlexFL,stratified,mrr,causal_density,825,10,-0.2756003181090055,-0.7743717601031651,5472.0,0.0660614910803128,0.3265454545454545,1.0,False,0.3265454545454545,True
FlexFL,stratified,mrr,temporal_density,825,10,-0.3900815958732137,-0.3900815958732137,5035.0,0.0967253082056848,0.2206060606060606,1.0,False,0.2206060606060606,True
FlexFL,stratified,mrr,num_os_mentions,825,10,-0.2885461103278597,-0.2885461103278597,4475.0,0.3369754411541913,0.08484848484848485,1.0,False,0.08484848484848485,False
FlexFL,stratified,mrr,num_browser_mentions,825,10,-0.2339032262264716,-0.2339032262264716,3933.5,0.5194932762502386,-0.04642424242424242,1.0,False,0.04642424242424242,False
FlexFL,stratified,mrr,num_env_mentions,825,10,-0.1832509143774962,-0.1832509143774962,4265.0,0.5551143577182066,0.03393939393939394,1.0,False,0.03393939393939394,False
FlexFL,stratified,mrr,num_versions,825,10,-0.1639183310142423,-0.2955258371651003,6029.0,0.008545269369972656,0.4615757575757576,0.7776195126675117,False,0.4615757575757576,True
FlexFL,stratified,mrr,has_os_info,825,10,-0.30249507099101,-0.30249507099101,4475.0,0.3368524497258173,0.08484848484848485,1.0,False,0.08484848484848485,False
FlexFL,stratified,mrr,has_version_info,825,10,0.8663279454194439,-1.1542972904052369,6092.5,0.0024712336420547906,0.476969696969697,0.2347671959952051,False,0.476969696969697,True
FlexFL,stratified,mrr,num_exception_types,825,10,-0.483143410793786,-0.483143410793786,5145.0,0.07356681702234265,0.24727272727272728,1.0,False,0.24727272727272728,True
