tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
locus,stratified,mrr,n_words,818,10,-0.2518277799516151,-0.9617766861364427,7066.5,7.527308398075171e-05,0.7277506112469437,0.008882223909728702,True,0.7277506112469437,True
locus,stratified,mrr,n_tokens,818,10,-0.2894729069006857,-0.9643917182777146,6890.0,0.0001959911306962745,0.684596577017115,0.022930962291464116,True,0.684596577017115,True
locus,stratified,mrr,confidence,818,10,0.5605334956487706,-1.797378186299459,6759.5,1.5188622713909447e-06,0.6526894865525672,0.00018226347256691336,True,0.6526894865525672,True
locus,stratified,mrr,txt_likely_impacted_code_concepts_char_len,818,10,0.2659502187596884,-1.5760920798385218,6757.0,0.0003576111982416983,0.652078239608802,0.04148289899603701,True,0.652078239608802,True
locus,stratified,mrr,description_length,818,10,-0.11293016062604219,-1.0231586669890729,6715.0,0.00044324935098876436,0.6418092909535452,0.04875742860876408,True,0.6418092909535452,True
locus,stratified,mrr,summary_chars,818,10,-0.8058683276097268,-0.8058683276097268,6542.5,0.000416033657580805,0.5996332518337408,0.04762003417078883,True,0.5996332518337408,True
locus,stratified,mrr,txt_title_char_len,818,10,-0.8087090999825622,-0.8087090999825622,6542.5,0.00041603142506660147,0.5996332518337408,0.04762003417078883,True,0.5996332518337408,True
locus,stratified,mrr,txt_title_word_count,818,10,-0.7977119766339881,-0.7977119766339881,6542.5,0.00041408725365903333,0.5996332518337408,0.04762003417078883,True,0.5996332518337408,True
locus,stratified,mrr,txt_title_avg_words_per_line,818,10,-0.7977119766339881,-0.7977119766339881,6542.5,0.00041408725365903333,0.5996332518337408,0.04762003417078883,True,0.5996332518337408,True
locus,stratified,mrr,txt_title_avg_sentence_len,818,10,-0.70287777031615,-0.70287777031615,6535.5,0.00043114737491702125,0.597921760391198,0.04785735861578936,True,0.597921760391198,True
locus,stratified,mrr,concept_is_missing,818,10,0.0,1.0,1733.0,1.7373028338688012e-05,-0.5762836185819071,0.0020673903723038736,True,0.5762836185819071,True
locus,stratified,mrr,txt_fine_grained_reasoning_hedge_count,818,10,-0.3770599600499196,1.8401588191168616,1792.0,3.876529519056808e-07,-0.5618581907090464,4.729366013249306e-05,True,0.5618581907090464,True
locus,stratified,mrr,txt_fine_grained_reasoning_hedge_density,818,10,-0.372629788649181,1.541164565563392,1833.5,6.586064757154569e-07,-0.5517114914425428,7.969138356157029e-05,True,0.5517114914425428,True
