tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
locus,stratified,mrr,summary_chars,818,10,-0.8058683276097268,-0.8058683276097268,6542.5,0.000416033657580805,0.5996332518337408,0.04762003417078883,True,0.5996332518337408,True
locus,stratified,mrr,description_chars,818,10,-0.2573944606432822,-0.8253264510157969,6528.0,0.0011847237331173953,0.5960880195599022,0.11491820211238735,False,0.5960880195599022,True
locus,stratified,mrr,n_tokens,818,10,-0.2894729069006857,-0.9643917182777146,6890.0,0.0001959911306962745,0.684596577017115,0.022930962291464116,True,0.684596577017115,True
locus,stratified,mrr,n_words,818,10,-0.2518277799516151,-0.9617766861364427,7066.5,7.527308398075171e-05,0.7277506112469437,0.008882223909728702,True,0.7277506112469437,True
locus,stratified,mrr,n_sentences,818,10,-0.2868038552763112,-0.7099155498977243,6510.0,0.0012534352042891342,0.5916870415647921,0.12032977961175689,False,0.5916870415647921,True
locus,stratified,mrr,flesch_reading_ease,818,10,0.24009752929143305,-0.5120420796972971,6568.0,0.000981609151896503,0.6058679706601467,0.0991425243415468,False,0.6058679706601467,True
locus,stratified,mrr,smog_index,818,10,-0.0126613117686452,0.0,4347.5,0.7323922823720759,0.06295843520782396,1.0,False,0.06295843520782396,False
locus,stratified,mrr,gunning_fog,818,10,-0.07422820026779214,0.0,3877.0,0.7774200232468211,-0.05207823960880196,1.0,False,0.05207823960880196,False
locus,stratified,mrr,coleman_liau_index,818,10,-0.26321324435594895,0.6352618141226467,1551.5,0.0007348759122946173,-0.6206601466992665,0.07569221896634558,False,0.6206601466992665,True
locus,stratified,mrr,automated_readability_index,818,10,-0.2889782014927428,0.594279018544127,1578.0,0.0008347501985402688,-0.6141809290953545,0.08514452025110743,False,0.6141809290953545,True
locus,stratified,mrr,has_stacktrace,818,10,-0.9429423479159332,-0.9429423479159332,5626.0,0.018148214036198634,0.3755501222493888,1.0,False,0.3755501222493888,True
locus,stratified,mrr,has_code,818,10,-0.6202765124580578,-0.6202765124580578,5245.0,0.04804152160613846,0.2823960880195599,1.0,False,0.2823960880195599,True
locus,stratified,mrr,has_patch,818,10,-0.1828000043330371,-0.1828000043330371,4225.0,0.5608308692625159,0.03300733496332518,1.0,False,0.03300733496332518,False
locus,stratified,mrr,has_enumeration,818,10,-0.1606191949877903,-0.1606191949877903,4195.0,0.6097174927816668,0.02567237163814181,1.0,False,0.02567237163814181,False
locus,stratified,mrr,num_causal_markers,818,10,-0.1531279935599871,-0.7576758641159647,5682.0,0.03108607152311897,0.38924205378973104,1.0,False,0.38924205378973104,True
locus,stratified,mrr,num_temporal_markers,818,10,-0.4635308650875505,-0.4635308650875505,4941.5,0.15768905008811507,0.20819070904645476,1.0,False,0.20819070904645476,True
locus,stratified,mrr,causal_density,818,10,-0.1993983796485136,-0.93081039640571,5186.5,0.14162881702714572,0.26809290953545234,1.0,False,0.26809290953545234,True
locus,stratified,mrr,temporal_density,818,10,-0.4256912142338764,-0.4256912142338764,4959.5,0.1507622659645462,0.21259168704156478,1.0,False,0.21259168704156478,True
locus,stratified,mrr,num_os_mentions,818,10,-0.3565391088761866,-0.3565391088761866,4605.0,0.23155018019041074,0.12591687041564792,1.0,False,0.12591687041564792,False
locus,stratified,mrr,num_browser_mentions,818,10,-0.390976846636182,-0.390976846636182,3465.0,0.1748597128080559,-0.1528117359413203,1.0,False,0.1528117359413203,False
locus,stratified,mrr,num_env_mentions,818,10,-0.2192296649910203,-0.2192296649910203,4325.0,0.43643787267174017,0.05745721271393643,1.0,False,0.05745721271393643,False
locus,stratified,mrr,num_versions,818,10,-0.1809757993128989,-0.3124943305803233,5952.5,0.010339526812336252,0.4553789731051345,0.9098783594855901,False,0.4553789731051345,True
locus,stratified,mrr,has_os_info,818,10,-0.3751138260763807,-0.3751138260763807,4605.0,0.23118869964268773,0.12591687041564792,1.0,False,0.12591687041564792,False
locus,stratified,mrr,has_version_info,818,10,0.7882634225314346,-1.2686114456365274,5832.0,0.005839504783906564,0.4259168704156479,0.5255554305515908,False,0.4259168704156479,True
locus,stratified,mrr,num_exception_types,818,10,-0.5251530779927517,-0.5251530779927517,5235.0,0.05247559337709525,0.27995110024449876,1.0,False,0.27995110024449876,True
locus,stratified,mrr,stacktrace_depth,818,10,-0.2020454871191189,-0.2020454871191189,4450.0,0.32780326546314587,0.08801955990220049,1.0,False,0.08801955990220049,False
locus,stratified,mrr,num_caused_by,818,10,-0.1602391524099254,-0.1602391524099254,4215.0,0.5763486255479343,0.030562347188264057,1.0,False,0.030562347188264057,False
locus,stratified,mrr,behavior_verb_count,818,10,0.0,0.0,4090.0,1.0,0.0,1.0,False,0.0,False
locus,stratified,mrr,behavior_verb_density,818,10,0.0,0.0,4090.0,1.0,0.0,1.0,False,0.0,False
locus,stratified,mrr,num_modal_verbs,818,10,-0.5746091275372439,-0.5746091275372439,5777.5,0.014770397922778847,0.4125916870415648,1.0,False,0.4125916870415648,True
locus,stratified,mrr,num_negative_modals,818,10,-0.2577319414569243,-0.2577319414569243,4660.0,0.20541640763669677,0.1393643031784841,1.0,False,0.1393643031784841,False
locus,stratified,mrr,modal_density,818,10,-0.4673947634391083,-0.4673947634391083,5575.0,0.033389454638272455,0.363080684596577,1.0,False,0.363080684596577,True
locus,stratified,mrr,redundancy,818,10,-0.0145379733831447,-0.6497228878658994,5505.0,0.059877513226048826,0.34596577017114916,1.0,False,0.34596577017114916,True
locus,stratified,mrr,ambiguity,818,10,-0.5855868655187282,-0.5855868655187282,4865.0,0.2468306679201151,0.18948655256723718,1.0,False,0.18948655256723718,False
locus,stratified,mrr,actionability,818,10,0.3430376111637781,-1.6812479388132866,6417.5,0.0011346924660345335,0.5690709046454768,0.1134129913502881,False,0.5690709046454768,True
locus,stratified,mrr,clarity,818,10,0.2638805499878769,-1.7301489453956265,6196.0,0.0026464024608631063,0.5149144254278729,0.2434690263994058,False,0.5149144254278729,True
locus,stratified,mrr,specificity,818,10,0.3779646843889213,-1.6614570375157598,6384.5,0.0014328981053491215,0.5610024449877751,0.13612532000816654,False,0.5610024449877751,True
locus,stratified,mrr,expected_observed_alignment,818,10,0.7027131095927159,-1.719935307046086,6278.0,0.001134129913502881,0.5349633251833741,0.1134129913502881,False,0.5349633251833741,True
locus,stratified,mrr,technical_depth,818,10,0.627005794172899,-1.5820652528075685,6375.0,0.001750958702717578,0.558679706601467,0.16283915935273477,False,0.558679706601467,True
locus,stratified,mrr,hidden_s2r_present,818,10,-0.4195906791483444,-0.4195906791483444,3453.0,0.16639160892142857,-0.15574572127139363,1.0,False,0.15574572127139363,False
locus,stratified,mrr,causal_reasoning_quality,818,10,0.3479700762291345,-1.6524086752429987,6411.0,0.001153360084611437,0.5674816625916871,0.1134129913502881,False,0.5674816625916871,True
locus,stratified,mrr,contradiction_present,818,10,-0.0346271680532221,-0.0346271680532221,4095.0,0.9207335064769095,0.0012224938875305623,1.0,False,0.0012224938875305623,False
locus,stratified,mrr,repair_difficulty,818,10,0.0684006013983548,1.5143373651357288,1815.0,0.001712281656028408,-0.5562347188264058,0.16095447566667034,False,0.5562347188264058,True
locus,stratified,mrr,description_length,818,10,-0.11293016062604219,-1.0231586669890729,6715.0,0.00044324935098876436,0.6418092909535452,0.04875742860876408,True,0.6418092909535452,True
locus,stratified,mrr,confidence,818,10,0.5605334956487706,-1.797378186299459,6759.5,1.5188622713909447e-06,0.6526894865525672,0.00018226347256691336,True,0.6526894865525672,True
locus,stratified,mrr,fine_grained_description_length,818,10,-0.0888383066100791,-1.010642817831555,6707.0,0.0004613869283943646,0.6398533007334963,0.050291175194985736,False,0.6398533007334963,True
