feature,n_tools_affected,max_abs_delta,mean_delta,tools_positive,tools_negative
n_tokens,4,0.7480255164034022,0.6975305510038795,"FlexFL, boostnsift, buglocator, locus",
txt_fine_grained_reasoning_hedge_count,4,0.7364823815309842,-0.6054298676784549,,"FlexFL, boostnsift, buglocator, locus"
n_words,4,0.7281287970838396,0.7245958197889555,"FlexFL, boostnsift, buglocator, locus",
txt_fine_grained_reasoning_hedge_density,4,0.7237241798298907,-0.5943911009634302,,"FlexFL, boostnsift, buglocator, locus"
confidence,4,0.6526894865525672,0.6415385024364173,"FlexFL, boostnsift, buglocator, locus",
txt_likely_impacted_code_concepts_char_len,3,0.652078239608802,0.6492576658019166,"FlexFL, buglocator, locus",
description_length,1,0.6418092909535452,0.6418092909535452,locus,
txt_title_avg_words_per_line,1,0.5996332518337408,0.5996332518337408,locus,
txt_title_word_count,1,0.5996332518337408,0.5996332518337408,locus,
summary_chars,1,0.5996332518337408,0.5996332518337408,locus,
txt_title_char_len,1,0.5996332518337408,0.5996332518337408,locus,
txt_title_avg_sentence_len,1,0.597921760391198,0.597921760391198,locus,
concept_is_missing,3,0.5762836185819071,-0.5736384457427414,,"FlexFL, buglocator, locus"
