tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
FlexFL,stratified,mrr,summary_chars,264,528,75.0,12.0,105846.5,1.2814473712485069e-38,0.5186883034894398,6.919815804741937e-37,True,0.5186883034894398,True
FlexFL,stratified,mrr,description_chars,264,528,1539.5,1578.5,68337.0,0.6544341797032748,-0.01949896694214876,1.0,False,0.01949896694214876,False
FlexFL,stratified,mrr,n_tokens,264,528,196.5,193.0,72070.0,0.4341851241777115,0.03406221303948577,1.0,False,0.03406221303948577,False
FlexFL,stratified,mrr,n_words,264,528,119.0,108.5,75682.0,0.04858679250849659,0.08588728191000919,1.0,False,0.08588728191000919,False
FlexFL,stratified,mrr,n_sentences,264,528,7.0,7.0,65904.0,0.21050359868541912,-0.05440771349862259,1.0,False,0.05440771349862259,False
FlexFL,stratified,mrr,flesch_reading_ease,264,505,34.765,8.13,96551.5,1.6181621363462745e-24,0.4484173417341734,7.281729613558235e-23,True,0.4484173417341734,True
FlexFL,stratified,mrr,smog_index,264,505,12.05,12.1,64446.0,0.4490772967567763,-0.033213321332133214,1.0,False,0.033213321332133214,False
FlexFL,stratified,mrr,gunning_fog,264,505,11.535,10.98,70310.5,0.21205513950306076,0.054762976297629766,1.0,False,0.054762976297629766,False
FlexFL,stratified,mrr,coleman_liau_index,264,505,19.6,28.81,34465.0,3.524980924686e-28,-0.482973297329733,1.69199084384928e-26,True,0.482973297329733,True
FlexFL,stratified,mrr,automated_readability_index,264,505,19.55,28.9,34060.5,7.515801771489432e-29,-0.489041404140414,3.682742868029822e-27,True,0.489041404140414,True
FlexFL,stratified,mrr,has_stacktrace,264,528,0.0,0.0,66924.0,0.2911857249711055,-0.03977272727272727,1.0,False,0.03977272727272727,False
FlexFL,stratified,mrr,has_code,264,528,0.0,0.0,78540.0,0.0001550578608177843,0.1268939393939394,0.005582082989440235,True,0.1268939393939394,False
FlexFL,stratified,mrr,has_patch,264,528,0.0,0.0,69564.0,0.8862326076287804,-0.001893939393939394,1.0,False,0.001893939393939394,False
FlexFL,stratified,mrr,has_enumeration,264,528,0.0,0.0,71940.0,0.005286024147496802,0.032196969696969696,0.18501084516238808,False,0.032196969696969696,False
FlexFL,stratified,mrr,num_causal_markers,264,528,2.0,1.0,76883.0,0.015899757056967837,0.10311926078971534,0.5405917399369065,False,0.10311926078971534,False
FlexFL,stratified,mrr,num_temporal_markers,264,528,0.0,0.0,70918.0,0.6115377898768792,0.017533287419651055,1.0,False,0.017533287419651055,False
FlexFL,stratified,mrr,causal_density,264,528,0.2746615087040619,0.2,81133.0,0.00014523401932929308,0.16409837006427916,0.0053736587151838435,True,0.16409837006427916,False
FlexFL,stratified,mrr,temporal_density,264,528,0.0,0.0,71686.5,0.4098911735363393,0.028559745179063362,1.0,False,0.028559745179063362,False
FlexFL,stratified,mrr,num_os_mentions,264,528,0.0,0.0,71686.0,0.24658596720882608,0.02855257116620753,1.0,False,0.02855257116620753,False
FlexFL,stratified,mrr,num_browser_mentions,264,528,0.0,0.0,60392.0,6.830769806124886e-07,-0.13349403122130396,2.6640002243887055e-05,True,0.13349403122130396,False
FlexFL,stratified,mrr,num_env_mentions,264,528,0.0,0.0,68739.5,0.4369346861840092,-0.013723886593204775,1.0,False,0.013723886593204775,False
