tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
FlexFL,stratified,mrr,repair_difficulty,264,528,2.0,3.0,30851.0,3.0881298121764e-40,-0.5573490587695134,1.6984713966970202e-38,True,0.5573490587695134,True
FlexFL,stratified,mrr,summary_chars,264,528,75.0,12.0,105846.5,1.2814473712485069e-38,0.5186883034894398,6.919815804741937e-37,True,0.5186883034894398,True
FlexFL,stratified,mrr,causal_reasoning_quality,264,528,5.0,3.5,104742.0,8.087091612861141e-34,0.5028409090909091,4.2861585548164046e-32,True,0.5028409090909091,True
FlexFL,stratified,mrr,automated_readability_index,264,505,19.55,28.9,34060.5,7.515801771489432e-29,-0.489041404140414,3.682742868029822e-27,True,0.489041404140414,True
FlexFL,stratified,mrr,coleman_liau_index,264,505,19.6,28.81,34465.0,3.524980924686e-28,-0.482973297329733,1.69199084384928e-26,True,0.482973297329733,True
FlexFL,stratified,mrr,actionability,264,528,5.0,4.0,102378.0,1.4281492603886636e-29,0.46892217630853994,7.283561227982184e-28,True,0.46892217630853994,True
FlexFL,stratified,mrr,flesch_reading_ease,264,505,34.765,8.13,96551.5,1.6181621363462745e-24,0.4484173417341734,7.281729613558235e-23,True,0.4484173417341734,True
FlexFL,stratified,mrr,clarity,264,528,5.0,4.0,100440.0,2.7607902197194688e-27,0.44111570247933884,1.2975714032681504e-25,True,0.44111570247933884,True
FlexFL,stratified,mrr,expected_observed_alignment,264,528,5.0,4.0,99069.0,6.735799294508662e-27,0.42144455922865015,3.0984676754739843e-25,True,0.42144455922865015,True
FlexFL,stratified,mrr,fine_grained_confidence,261,509,5.0,5.0,94023.0,5.475834326226916e-32,0.4154867556398618,2.8474338496379964e-30,True,0.4154867556398618,True
FlexFL,stratified,mrr,specificity,264,528,5.0,3.5,98423.0,5.720541199476314e-23,0.41217573461891643,2.517038127769578e-21,True,0.41217573461891643,True
FlexFL,stratified,mrr,description_length,264,528,1521.0,890.0,96594.0,4.210074246454543e-19,0.3859331955922865,1.768231183510908e-17,True,0.3859331955922865,True
FlexFL,stratified,mrr,confidence,264,528,5.0,5.0,95396.5,4.91209908450063e-29,0.36875143480257117,2.456049542250315e-27,True,0.36875143480257117,True
FlexFL,stratified,mrr,technical_depth,264,528,4.0,3.0,94759.0,1.78039178980767e-17,0.3596045684113866,7.299606338211447e-16,True,0.3596045684113866,True
FlexFL,stratified,mrr,num_versions,264,528,2.0,0.0,93912.5,1.1216322517008e-16,0.34745896464646464,4.4865290068032005e-15,True,0.34745896464646464,True
FlexFL,stratified,mrr,has_version_info,264,528,1.0,0.0,92796.0,2.5182204227127717e-19,0.3314393939393939,1.0828347817664918e-17,True,0.3314393939393939,True
