tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
boostnsift,stratified,mrr,coleman_liau_index,409,360,20.49,31.46,37653.0,1.256346384837751e-31,-0.48854930725346374,6.909905116607631e-30,True,0.48854930725346374,True
boostnsift,stratified,mrr,automated_readability_index,409,360,20.5,31.25,38248.0,1.2056492648327663e-30,-0.48046726433034503,6.389941103613661e-29,True,0.48046726433034503,True
boostnsift,stratified,mrr,repair_difficulty,409,376,2.0,3.0,41162.0,1.7991900308050483e-31,-0.46467772980284033,9.71562616634726e-30,True,0.46467772980284033,True
boostnsift,stratified,mrr,flesch_reading_ease,409,360,31.07,3.645,106670.0,5.785416778359739e-27,0.44892692203205653,2.7770000536126746e-25,True,0.44892692203205653,True
boostnsift,stratified,mrr,causal_reasoning_quality,409,376,5.0,3.0,110740.0,3.377298198034788e-29,0.4402018415439838,1.722422080997742e-27,True,0.4402018415439838,True
boostnsift,stratified,mrr,summary_chars,409,376,65.0,12.0,109687.5,2.4929264675390365e-29,0.4265138115798783,1.296321763120299e-27,True,0.4265138115798783,True
boostnsift,stratified,mrr,actionability,409,376,5.0,3.0,107863.0,1.2260989227152202e-24,0.40278572543307495,5.762664936761535e-23,True,0.40278572543307495,True
boostnsift,stratified,mrr,clarity,409,376,5.0,4.0,106434.5,2.0065309506897935e-23,0.3842077199188472,9.23004237317305e-22,True,0.3842077199188472,True
boostnsift,stratified,mrr,fine_grained_confidence,404,359,5.0,5.0,98842.5,1.2419160744553042e-27,0.3630064259907885,6.209580372276521e-26,True,0.3630064259907885,True
boostnsift,stratified,mrr,expected_observed_alignment,409,376,5.0,4.0,104551.0,3.1674893925838996e-22,0.35971232377880663,1.4253702266627548e-20,True,0.35971232377880663,True
boostnsift,stratified,mrr,specificity,409,376,4.0,3.0,103368.0,3.123065604141778e-18,0.34432710815169326,1.3741488658223824e-16,True,0.34432710815169326,True
boostnsift,stratified,mrr,confidence,409,376,5.0,5.0,102618.0,2.3207349017319878e-27,0.33457316755969413,1.137160101848674e-25,True,0.33457316755969413,True
boostnsift,stratified,mrr,description_length,409,376,1420.0,822.5,101507.0,5.745433884423082e-15,0.32012433022941267,2.4130822314576944e-13,True,0.32012433022941267,True
boostnsift,stratified,mrr,has_version_info,409,376,1.0,0.0,99605.5,2.117578039867785e-17,0.29539483951516415,9.105585571431475e-16,True,0.29539483951516415,True
boostnsift,stratified,mrr,technical_depth,409,376,4.0,3.0,98835.5,1.0406532668667152e-12,0.28538079384071163,4.2666783941535325e-11,True,0.28538079384071163,True
boostnsift,stratified,mrr,num_versions,409,376,2.0,0.0,97666.5,1.1427458119036605e-11,0.2701776517713156,4.5709832476146416e-10,True,0.2701776517713156,True
