tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
boostnsift,stratified,mrr,summary_chars,409,376,65.0,12.0,109687.5,2.4929264675390365e-29,0.4265138115798783,1.296321763120299e-27,True,0.4265138115798783,True
boostnsift,stratified,mrr,description_chars,409,376,1512.0,1681.0,70759.5,0.053347941538956625,-0.07975472090724653,1.0,False,0.07975472090724653,False
boostnsift,stratified,mrr,n_tokens,409,376,196.0,200.0,76846.5,0.9886872461716465,-0.0005917390625812828,1.0,False,0.0005917390625812828,False
boostnsift,stratified,mrr,n_words,409,376,118.0,112.0,81888.0,0.11547908874570419,0.06497424959683712,1.0,False,0.06497424959683712,False
boostnsift,stratified,mrr,n_sentences,409,376,7.0,8.0,68057.0,0.0052658287352802015,-0.1149014201737502,0.17903817699952684,False,0.1149014201737502,False
boostnsift,stratified,mrr,flesch_reading_ease,409,360,31.07,3.645,106670.0,5.785416778359739e-27,0.44892692203205653,2.7770000536126746e-25,True,0.44892692203205653,True
boostnsift,stratified,mrr,smog_index,409,360,12.1,12.0,75079.5,0.6349527517994336,0.01982477587612062,1.0,False,0.01982477587612062,False
boostnsift,stratified,mrr,gunning_fog,409,360,11.27,10.719999999999999,79136.0,0.07274988978894315,0.07492529204020647,1.0,False,0.07492529204020647,False
boostnsift,stratified,mrr,coleman_liau_index,409,360,20.49,31.46,37653.0,1.256346384837751e-31,-0.48854930725346374,6.909905116607631e-30,True,0.48854930725346374,True
boostnsift,stratified,mrr,automated_readability_index,409,360,20.5,31.25,38248.0,1.2056492648327663e-30,-0.48046726433034503,6.389941103613661e-29,True,0.48046726433034503,True
boostnsift,stratified,mrr,has_stacktrace,409,376,0.0,1.0,68229.0,0.0016194804286646417,-0.11266451646465173,0.059920775860591746,False,0.11266451646465173,False
boostnsift,stratified,mrr,has_code,409,376,0.0,0.0,82518.0,0.023069272725215997,0.07316755969411642,0.7382167272069119,False,0.07316755969411642,False
boostnsift,stratified,mrr,has_patch,409,376,0.0,0.0,77855.0,0.3278663005131289,0.012524059720126931,1.0,False,0.012524059720126931,False
boostnsift,stratified,mrr,has_enumeration,409,376,0.0,0.0,78877.5,0.025228935390307523,0.025821932060552465,0.7820969970995332,False,0.025821932060552465,False
boostnsift,stratified,mrr,num_causal_markers,409,376,2.0,1.0,80249.5,0.28156014156372067,0.043665140716849606,1.0,False,0.043665140716849606,False
boostnsift,stratified,mrr,num_temporal_markers,409,376,0.0,0.0,79681.0,0.2739215397067717,0.03627165374811424,1.0,False,0.03627165374811424,False
boostnsift,stratified,mrr,causal_density,409,376,0.25,0.19090909090909092,85830.5,0.00455040755651297,0.11624746397544608,0.15926426447795394,False,0.11624746397544608,False
boostnsift,stratified,mrr,temporal_density,409,376,0.0,0.0,80366.0,0.17474800707174654,0.045180252822140145,1.0,False,0.045180252822140145,False
boostnsift,stratified,mrr,num_os_mentions,409,376,0.0,0.0,78072.0,0.5165895858106235,0.015346199864745357,1.0,False,0.015346199864745357,False
boostnsift,stratified,mrr,num_browser_mentions,409,376,0.0,0.0,70121.0,0.0005492732471776245,-0.08805857566456848,0.02087238339274973,True,0.08805857566456848,False
boostnsift,stratified,mrr,num_env_mentions,409,376,0.0,0.0,74319.5,0.04418170573405321,-0.03345601623055715,1.0,False,0.03345601623055715,False
boostnsift,stratified,mrr,num_versions,409,376,2.0,0.0,97666.5,1.1427458119036605e-11,0.2701776517713156,4.5709832476146416e-10,True,0.2701776517713156,True
boostnsift,stratified,mrr,has_os_info,409,376,0.0,0.0,78046.0,0.5255381497951854,0.015008063257556053,1.0,False,0.015008063257556053,False
boostnsift,stratified,mrr,has_version_info,409,376,1.0,0.0,99605.5,2.117578039867785e-17,0.29539483951516415,9.105585571431475e-16,True,0.29539483951516415,True
boostnsift,stratified,mrr,num_exception_types,409,376,0.0,0.0,72942.0,0.11790203196416822,-0.05137075378452895,1.0,False,0.05137075378452895,False
boostnsift,stratified,mrr,stacktrace_depth,409,376,0.0,0.0,72741.0,0.008576243037880392,-0.05398480986318473,0.28301602025005296,False,0.05398480986318473,False
boostnsift,stratified,mrr,num_caused_by,409,376,0.0,0.0,74123.5,0.004140390812733992,-0.036005046038599595,0.1490540692584237,False,0.036005046038599595,False
boostnsift,stratified,mrr,behavior_verb_count,409,376,0.0,0.0,76892.0,1.0,0.0,1.0,False,0.0,False
boostnsift,stratified,mrr,behavior_verb_density,409,376,0.0,0.0,76892.0,1.0,0.0,1.0,False,0.0,False
boostnsift,stratified,mrr,num_modal_verbs,409,376,0.0,0.0,75271.5,0.5789328644229643,-0.021075014305779537,1.0,False,0.021075014305779537,False
boostnsift,stratified,mrr,num_negative_modals,409,376,0.0,0.0,77773.5,0.6438852481758227,0.011464131509129689,1.0,False,0.011464131509129689,False
