tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
buglocator,stratified,mrr,repair_difficulty,403,406,2.0,3.0,39933.0,5.0375400974285414e-39,-0.5118752215526409,2.7202716526114123e-37,True,0.5118752215526409,True
buglocator,stratified,mrr,causal_reasoning_quality,403,406,5.0,3.0,122779.0,1.8629039865391252e-38,0.5008006454057622,9.873391128657363e-37,True,0.5008006454057622,True
buglocator,stratified,mrr,actionability,403,406,5.0,3.0,120124.5,9.978810072756497e-34,0.4683531151829261,4.8896169356506837e-32,True,0.4683531151829261,True
buglocator,stratified,mrr,clarity,403,406,5.0,4.0,119725.5,2.520121430237296e-34,0.46347590118446624,1.260060715118648e-32,True,0.46347590118446624,True
buglocator,stratified,mrr,summary_chars,403,406,66.0,12.0,119339.5,7.758558280655587e-35,0.4587575939077608,3.956864723134349e-33,True,0.4587575939077608,True
buglocator,stratified,mrr,description_length,403,406,1487.0,768.5,117739.0,1.2812938168887413e-27,0.4391937317410065,5.89395155768821e-26,True,0.4391937317410065,True
buglocator,stratified,mrr,expected_observed_alignment,403,406,5.0,3.5,117146.0,2.0571552738394127e-32,0.4319451405102128,9.874345314429181e-31,True,0.4319451405102128,True
buglocator,stratified,mrr,fine_grained_confidence,396,391,5.0,4.0,110670.5,4.1571144093186104e-39,0.42951897491539437,2.286412925125236e-37,True,0.42951897491539437,True
buglocator,stratified,mrr,specificity,403,406,4.0,3.0,116841.0,3.767416567827371e-28,0.4282169443459766,1.7706857868788642e-26,True,0.4282169443459766,True
buglocator,stratified,mrr,technical_depth,403,406,4.0,2.0,116349.5,8.98351334643997e-27,0.42220904790426483,4.0425810058979865e-25,True,0.42220904790426483,True
buglocator,stratified,mrr,automated_readability_index,403,383,20.6,29.7,46170.5,1.9440773008619933e-22,-0.4017389163519038,8.553940123792771e-21,True,0.4017389163519038,True
buglocator,stratified,mrr,confidence,403,406,5.0,5.0,113136.5,4.619429930493607e-36,0.38293464044298303,2.4021035638566758e-34,True,0.38293464044298303,True
buglocator,stratified,mrr,coleman_liau_index,403,383,21.03,29.61,48068.0,5.790334020579824e-20,-0.3771517794090017,2.4898436288493243e-18,True,0.3771517794090017,True
buglocator,stratified,mrr,flesch_reading_ease,403,383,30.23,7.72,103927.5,4.1542847091526564e-17,0.3466559550110464,1.703256730752589e-15,True,0.3466559550110464,True
buglocator,stratified,mrr,num_versions,403,406,2.0,0.0,106365.5,1.6540532783586755e-14,0.3001686855969392,6.616213113434701e-13,True,0.3001686855969392,True
buglocator,stratified,mrr,has_version_info,403,406,1.0,0.0,105840.5,1.2581408363261436e-17,0.2937512987568605,5.284191512569803e-16,True,0.2937512987568605,True
