tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
buglocator,stratified,mrr,summary_chars,403,406,66.0,12.0,119339.5,7.758558280655587e-35,0.4587575939077608,3.956864723134349e-33,True,0.4587575939077608,True
buglocator,stratified,mrr,description_chars,403,406,1589.0,1513.5,84904.0,0.3517662112802168,0.03783202337151169,1.0,False,0.03783202337151169,False
buglocator,stratified,mrr,n_tokens,403,406,202.0,188.0,89579.0,0.019389790345041708,0.09497732523316506,0.6010835006962929,False,0.09497732523316506,False
buglocator,stratified,mrr,n_words,403,406,120.0,105.5,93580.0,0.00039718412282839836,0.14388392475155545,0.013504260176165545,True,0.14388392475155545,False
buglocator,stratified,mrr,n_sentences,403,406,7.0,7.0,84445.5,0.4265929849165466,0.03222750553117627,1.0,False,0.03222750553117627,False
buglocator,stratified,mrr,flesch_reading_ease,403,383,30.23,7.72,103927.5,4.1542847091526564e-17,0.3466559550110464,1.703256730752589e-15,True,0.3466559550110464,True
buglocator,stratified,mrr,smog_index,403,383,12.0,12.2,71355.5,0.06737430725701801,-0.07540055329156652,1.0,False,0.07540055329156652,False
buglocator,stratified,mrr,gunning_fog,403,383,11.3,10.97,79676.0,0.4318211515976327,0.03241355629126201,1.0,False,0.03241355629126201,False
buglocator,stratified,mrr,coleman_liau_index,403,383,21.03,29.61,48068.0,5.790334020579824e-20,-0.3771517794090017,2.4898436288493243e-18,True,0.3771517794090017,True
buglocator,stratified,mrr,automated_readability_index,403,383,20.6,29.7,46170.5,1.9440773008619933e-22,-0.4017389163519038,8.553940123792771e-21,True,0.4017389163519038,True
buglocator,stratified,mrr,has_stacktrace,403,406,1.0,0.0,87157.0,0.06297127626333174,0.06537178061093522,1.0,False,0.06537178061093522,False
buglocator,stratified,mrr,has_code,403,406,0.0,0.0,91483.5,0.00017624315485867018,0.11825715997017443,0.0063447535749121264,True,0.11825715997017443,False
buglocator,stratified,mrr,has_patch,403,406,0.0,0.0,81019.5,0.4370441682849623,-0.009650527448080284,1.0,False,0.009650527448080284,False
buglocator,stratified,mrr,has_enumeration,403,406,0.0,0.0,83645.0,0.04491992767589316,0.022442518549303868,1.0,False,0.022442518549303868,False
buglocator,stratified,mrr,num_causal_markers,403,406,2.0,1.0,92173.0,0.0014949255763476747,0.12668532802014448,0.04783761844312559,True,0.12668532802014448,False
buglocator,stratified,mrr,num_temporal_markers,403,406,0.0,0.0,86475.5,0.0786808027159069,0.057041401312813995,1.0,False,0.057041401312813995,False
buglocator,stratified,mrr,causal_density,403,406,0.25,0.1818181818181818,93707.0,0.00030703707956110436,0.14543632118715544,0.010746297784638653,True,0.14543632118715544,False
