tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
locus,stratified,mrr,repair_difficulty,390,348,2.0,3.0,29967.5,4.9528165385488106e-42,-0.5583922782198645,2.7240490962018456e-40,True,0.5583922782198645,True
locus,stratified,mrr,actionability,390,348,5.0,3.0,102211.5,8.549814858752703e-36,0.506211317418214,4.531401875138933e-34,True,0.506211317418214,True
locus,stratified,mrr,causal_reasoning_quality,390,348,5.0,3.0,102097.0,1.3200326321984904e-35,0.5045240200412614,6.86416968743215e-34,True,0.5045240200412614,True
locus,stratified,mrr,clarity,390,348,5.0,3.0,100237.0,4.56550376719841e-33,0.47711464780430296,2.237096845927221e-31,True,0.47711464780430296,True
locus,stratified,mrr,specificity,390,348,5.0,3.0,100146.5,2.212643719831641e-31,0.47578101974653697,1.0399425483208712e-29,True,0.47578101974653697,True
locus,stratified,mrr,summary_chars,390,348,65.0,12.0,99682.0,1.792419876220508e-33,0.46893604479811374,8.962099381102541e-32,True,0.46893604479811374,True
locus,stratified,mrr,technical_depth,390,348,4.0,2.0,98686.5,5.02019005898078e-28,0.4542661361626879,2.309287427131159e-26,True,0.4542661361626879,True
locus,stratified,mrr,description_length,390,348,1445.5,671.0,98593.0,8.267245960742083e-27,0.45288829944002357,3.720260682333937e-25,True,0.45288829944002357,True
locus,stratified,mrr,expected_observed_alignment,390,348,5.0,3.0,98327.5,1.161072350946219e-31,0.44897583259652224,5.573147284541851e-30,True,0.44897583259652224,True
locus,stratified,mrr,fine_grained_confidence,384,335,5.0,4.0,92753.0,2.2453786330899132e-37,0.44205534825870646,1.212504461868553e-35,True,0.44205534825870646,True
locus,stratified,mrr,confidence,390,348,5.0,5.0,94541.0,7.023520717707666e-34,0.39317712938402594,3.5819955660309096e-32,True,0.39317712938402594,True
locus,stratified,mrr,automated_readability_index,390,332,20.95,30.05,41013.5,1.9839177161515494e-17,-0.3664890330552981,8.530846179451662e-16,True,0.3664890330552981,True
locus,stratified,mrr,has_version_info,390,348,1.0,0.0,92091.0,3.208186064044515e-23,0.3570733863837312,1.4116018681795865e-21,True,0.3570733863837312,True
locus,stratified,mrr,coleman_liau_index,390,332,21.17,29.875,41761.0,1.919312924791845e-16,-0.3549428483163423,7.869182991646565e-15,True,0.3549428483163423,True
locus,stratified,mrr,num_versions,390,348,2.0,0.0,91302.5,3.887595361496284e-17,0.34545387562628943,1.6327900518284392e-15,True,0.34545387562628943,True
locus,stratified,mrr,flesch_reading_ease,390,332,30.215,6.22,85326.0,1.7030465432953562e-13,0.3179796107506951,6.812186173181425e-12,True,0.3179796107506951,True
