feature,n_tools_affected,max_abs_delta,mean_delta,tools_positive,tools_negative
repair_difficulty,4,0.5583922782198645,-0.5230735720862147,,"FlexFL, boostnsift, buglocator, locus"
summary_chars,4,0.5186883034894398,0.46822393844379817,"FlexFL, boostnsift, buglocator, locus",
actionability,4,0.506211317418214,0.4615680835856888,"FlexFL, boostnsift, buglocator, locus",
causal_reasoning_quality,4,0.5045240200412614,0.48709185402047916,"FlexFL, boostnsift, buglocator, locus",
automated_readability_index,4,0.489041404140414,-0.43443415446949024,,"FlexFL, boostnsift, buglocator, locus"
coleman_liau_index,4,0.48854930725346374,-0.4259043080771352,,"FlexFL, boostnsift, buglocator, locus"
clarity,4,0.47711464780430296,0.4414784928467388,"FlexFL, boostnsift, buglocator, locus",
specificity,4,0.47578101974653697,0.4151252017157808,"FlexFL, boostnsift, buglocator, locus",
technical_depth,4,0.4542661361626879,0.38036513657976273,"FlexFL, boostnsift, buglocator, locus",
description_length,4,0.45288829944002357,0.39953488925068237,"FlexFL, boostnsift, buglocator, locus",
expected_observed_alignment,4,0.44897583259652224,0.415519464028548,"FlexFL, boostnsift, buglocator, locus",
flesch_reading_ease,4,0.44892692203205653,0.39049495738199286,"FlexFL, boostnsift, buglocator, locus",
fine_grained_confidence,4,0.44205534825870646,0.41251687620118777,"FlexFL, boostnsift, buglocator, locus",
confidence,4,0.39317712938402594,0.36985909304731857,"FlexFL, boostnsift, buglocator, locus",
has_version_info,4,0.3570733863837312,0.3194147296487874,"FlexFL, boostnsift, buglocator, locus",
num_versions,4,0.34745896464646464,0.31581479441025223,"FlexFL, boostnsift, buglocator, locus",
