feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
repair_difficulty,237,172,2.0,3.0,2.0337552742616034,3.5930232558139537,-1.0,7966.0,1.3148080734816806e-27,-0.6091649494652144,large,9.992541358460773e-26,True,True,0.6091649494652144,True
causal_reasoning_quality,237,172,5.0,3.0,4.518987341772152,2.3372093023255816,2.0,31746.5,5.256807676320752e-25,0.5575753115494063,large,3.942605757240564e-23,True,True,0.5575753115494063,True
actionability,237,172,5.0,3.0,4.481012658227848,2.36046511627907,2.0,31593.5,4.927098758928548e-24,0.5500686880580905,large,3.6460530816071254e-22,True,True,0.5500686880580905,True
summary_chars,237,172,76.0,12.0,68.51898734177215,30.656976744186046,64.0,31281.0,1.650915037086636e-21,0.5347365322343244,large,1.1735006557303177e-19,True,True,0.5347365322343244,True
clarity,237,172,5.0,4.0,4.594936708860759,2.5,1.0,30864.5,4.427167852589662e-22,0.514301834952409,large,3.231832532390453e-20,True,True,0.514301834952409,True
coleman_liau_index,237,154,19.54,28.955,21.604556962025317,34.84811688311689,-9.415,9315.0,2.801965662329741e-16,-0.48956107183955283,large,1.9333563070075212e-14,True,True,0.48956107183955283,True
automated_readability_index,237,154,19.5,28.1,21.39198312236287,35.16948051948052,-8.600000000000001,9362.0,3.9962498775403433e-16,-0.48698558825141103,large,2.7174499167274333e-14,True,True,0.48698558825141103,True
specificity,237,172,5.0,3.0,4.29957805907173,2.36046511627907,2.0,30239.0,1.8599729212324903e-18,0.48361299185555884,large,1.3019810448627432e-16,True,True,0.48361299185555884,True
expected_observed_alignment,237,172,5.0,3.0,4.7215189873417724,2.563953488372093,2.0,30053.5,1.6298620218476633e-21,0.4745118241585713,large,1.1735006557303177e-19,True,True,0.4745118241585713,True
flesch_reading_ease,237,154,34.86,8.485,29.00493670886076,-8.169545454545455,26.375,26706.5,9.545461476017806e-15,0.463450052057647,medium,6.300004574171752e-13,True,True,0.463450052057647,True
embedding_cluster_separation,237,172,0.7022570053079953,0.7693549384508453,0.6989425301045464,0.7760599432577822,-0.06709793314285006,11005.0,1.9345061321523796e-15,-0.46006280051025417,medium,1.2961191085420942e-13,True,True,0.46006280051025417,True
technical_depth,237,172,4.0,2.0,3.721518987341772,2.104651162790698,2.0,29225.0,1.0691972167855716e-14,0.43386321263860267,medium,6.949781909106216e-13,True,True,0.43386321263860267,True
description_length,237,172,1487.0,798.0,1717.9240506329113,1094.4476744186047,689.0,28739.0,1.2148337252885492e-12,0.4100186439014817,medium,7.774935841846715e-11,True,True,0.4100186439014817,True
embedding_cluster_distance,237,172,0.5735296802453963,0.4893690992531085,0.5695627578662131,0.4637798674738082,0.08416058099228779,28339.0,1.5601522935683657e-11,0.3903934844470611,medium,9.828959449480704e-10,True,True,0.3903934844470611,True
embedding_cluster,237,172,6.0,2.0,5.1308016877637135,3.197674418604651,4.0,27353.5,2.628098293434753e-09,0.34204199784123246,medium,1.6031399589951992e-07,True,True,0.34204199784123246,True
num_versions,237,172,2.0,0.0,3.2151898734177213,1.436046511627907,2.0,27259.0,2.2278286355082747e-09,0.3374055539201256,medium,1.3812537540151303e-07,True,True,0.3374055539201256,True
embedding_cluster_size,237,172,90.0,115.0,85.82700421940929,112.29651162790698,-25.0,14043.0,4.711369022426796e-08,-0.31100971445392994,small,2.8268214134560775e-06,True,True,0.31100971445392994,True
semantic_spread_pc2,237,172,0.3654030859470367,0.33561600744724274,0.3570470213890077,0.29145123437047027,0.02978707849979395,26699.0,8.66854994677675e-08,0.3099303306839368,small,5.114444468598282e-06,True,True,0.3099303306839368,True
embedding_max,237,172,0.1480880677700042,0.15644568949937815,0.15016960500413357,0.15887379494690615,-0.00835762172937396,15248.0,1.361168398752017e-05,-0.251888921597488,small,0.0007894776712761699,True,True,0.251888921597488,True
causal_density,237,172,0.2765957446808511,0.1666666666666666,0.32809834080329253,0.23803602206533572,0.10992907801418447,24872.0,0.0001284873661970039,0.22029241487587087,small,0.007195292507032218,True,True,0.22029241487587087,True
semantic_coherence,237,172,0.2619938850402832,0.2939586639404297,0.27581925580144434,0.37446384097254554,-0.031964778900146484,16006.0,0.00020905877417745248,-0.214699244431361,small,0.011498232579759887,True,True,0.214699244431361,True
semantic_spread_pc1,237,172,0.4450516104698181,0.42371727526187897,0.4505779132058349,0.38885056920522865,0.021334335207939148,24712.0,0.0002436627923558559,0.21244235109410264,small,0.013157790787216218,True,True,0.21244235109410264,True
completeness_score,237,172,2.0,2.0,2.3164556962025316,1.994186046511628,0.0,23763.0,0.002814599818624554,0.16588166028848986,small,0.14917379038710138,False,False,0.16588166028848986,False
num_causal_markers,237,172,2.0,1.0,2.548523206751055,2.436046511627907,1.0,23148.0,0.017179624229215873,0.13570797762731823,negligible,0.8418015872315778,False,False,0.13570797762731823,False
num_browser_mentions,237,172,0.0,0.0,0.05907172995780591,0.19186046511627908,0.0,17898.5,0.00010413337191484023,-0.12184770876263369,negligible,0.005935602199145893,True,True,0.12184770876263369,False
num_exception_types,237,172,0.0,0.0,0.4430379746835443,0.29651162790697677,0.0,22677.0,0.011228886863429313,0.112599352369738,negligible,0.5614443431714656,False,False,0.112599352369738,False
n_words,237,172,119.0,115.0,138.51898734177215,144.24418604651163,4.0,22179.0,0.12791746555861175,0.0881660288489844,negligible,1.0,False,False,0.0881660288489844,False
embedding_std,237,172,0.0510291792452335,0.051029691472649547,0.05102707943898711,0.05102812678574819,-5.122274160454521e-07,18682.0,0.14982201764898118,-0.08340692768128741,negligible,1.0,False,False,0.08340692768128741,False
embedding_norm,237,172,1.0,1.0,0.9999999969820433,1.0000000041584636,0.0,19053.0,0.03622768824470539,-0.06520459228731233,negligible,1.0,False,False,0.06520459228731233,False
num_OB,237,172,4.0,5.0,4.742616033755274,5.953488372093023,-1.0,19123.0,0.2831459724390466,-0.061770189382788734,negligible,1.0,False,False,0.061770189382788734,False
semantic_entropy,237,172,1.5922985076904297,1.6763681769371033,1.514780079010674,1.3613821907445527,-0.08406966924667358,21577.0,0.3114316341813921,0.05863016387008144,negligible,1.0,False,False,0.05863016387008144,False
gunning_fog,237,154,11.38,10.925,11.453670886075948,11.334415584415584,0.45500000000000007,19237.0,0.3657925490328021,0.054139952874130086,negligible,1.0,False,False,0.054139952874130086,False
