tool_a,tool_b,feature,n_a,n_b,median_a,median_b,mean_a,mean_b,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
boostnsift,buglocator,embedding_mean,17,19,-0.0005219904705882,0.0001734042743919,-0.0004960072778082942,0.00010180523359418919,-0.0006953947449801,65.0,0.0023500903352079066,-0.5975232198142415,large,0.1786068654758009,False,False,0.5975232198142415,False
boostnsift,buglocator,embedding_cluster_distance,17,19,0.5668681893002181,0.51106396221888,0.5943421423087156,0.5221449127367234,0.05580422708133814,242.0,0.011244634583667546,0.4984520123839009,large,0.843347593775066,False,False,0.4984520123839009,False
boostnsift,buglocator,embedding_pos_neg_ratio,17,19,0.9642857142857144,1.0157068062827226,0.9515619480695409,1.0088262422737095,-0.05142109199700817,83.0,0.013051764948922694,-0.48606811145510836,large,0.9658306062202794,False,False,0.48606811145510836,False
boostnsift,buglocator,coleman_liau_index,17,19,20.49,36.11,23.246470588235294,32.608421052631584,-15.620000000000001,96.0,0.03942818782900322,-0.4055727554179567,medium,1.0,False,False,0.4055727554179567,False
boostnsift,buglocator,redundancy,17,19,0.2193228602409362,0.2666225731372833,0.2228632472893771,0.2901020591196261,-0.04729971289634713,99.0,0.04945738215211683,-0.38699690402476783,medium,1.0,False,False,0.38699690402476783,False
boostnsift,buglocator,embedding_std,17,19,0.0510283671319484,0.0510298795998096,0.05102597242769068,0.05102888357482453,-1.5124678611963538e-06,99.0,0.04944273946322052,-0.38699690402476783,medium,1.0,False,False,0.38699690402476783,False
boostnsift,buglocator,flesch_reading_ease,17,19,32.83,-3.42,24.547058823529408,-3.962631578947368,36.25,213.5,0.1026766972071663,0.3219814241486068,small,1.0,False,False,0.3219814241486068,False
boostnsift,buglocator,automated_readability_index,17,19,20.8,31.2,24.85294117647059,30.49473684210527,-10.399999999999999,114.0,0.1363037154552788,-0.29411764705882354,small,1.0,False,False,0.29411764705882354,False
boostnsift,buglocator,num_modal_verbs,17,19,1.0,0.0,1.8235294117647058,0.7368421052631579,1.0,206.0,0.1291076321216984,0.2755417956656347,small,1.0,False,False,0.2755417956656347,False
boostnsift,buglocator,semantic_coherence,17,19,0.2301676273345947,0.2666225731372833,0.2816867767011418,0.2901020591196261,-0.036454945802688626,118.0,0.17301991649591408,-0.2693498452012384,small,1.0,False,False,0.2693498452012384,False
