bug_id,project,title,description
Chart-5,Chart,XYSeries.addOrUpdate() should add if duplicates are allowed,"Copied from this post (by Ted Schwartz) in the forum:
http://www.jfree.org/phpBB2/viewtopic.php?t=24523
I've found a bug in jfreechart-1.0.9 code for org.jfree.data.xy.XYSeries. There was a change some time ago which introduced the notion of allowing duplicate X values in XYSeries data. The method addOrUpdate(Number x, Number y) was never modified to support this, and therefore duplicate data were overwriting existing data. This is the fix I've made, but I don't know how to submit a patch...
$ diff original/jfreechart-1.0.9/source/org/jfree/data/xy/XYSeries.java fixed/org/jfree/data/xy/XYSeries.java
537c537
< if (index >= 0) {
---
> if (index >= 0 && !allowDuplicateXValues) {
545a546,559
> } else if (index >= 0){
> XYDataItem item = new XYDataItem(x, y);
> // need to make sure we are adding *after* any duplicates
> int size = this.data.size();
> while (index < size
> && item.compareTo(this.data.get(index)) == 0) {
> index++;
> }
> if (index < this.data.size()) {
> this.data.add(index, item);
> }
> else {
> this.data.add(item);
> }
558,561d571
< // check if this addition will exceed the maximum item count...
< if (getItemCount() > this.maximumItemCount) {
< this.data.remove(0);
< }
562a573,576
> // check if this addition will exceed the maximum item count...
> if (getItemCount() > this.maximumItemCount) {
> this.data.remove(0);
> }"
Cli-25,Cli,[CLI-162] infinite loop in the wrapping code of HelpFormatter - ASF JIRA,"Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Major                     




Resolution:

                             Fixed
                    





Affects Version/s:



1.1 







                Fix Version/s:
            



1.2 






Component/s:



Help formatter 






Labels:


None


 
Description

If there is not enough space to display a word on a single line, HelpFormatter goes into a infinite loops until the JVM crashes with an OutOfMemoryError.
Test case:

Options options = new Options();
options.addOption(""h"", ""help"", false, ""This is a looooong description"");

HelpFormatter formatter = new HelpFormatter();
formatter.setWidth(20);
formatter.printHelp(""app"", options); // hang & crash


An helpful exception indicating the insufficient width would be more appropriate than an OutOfMemoryError.


AttachmentsAttachmentsOptionsSort By NameSort By DateAscendingDescendingCLI-162-additional.patch20/Feb/09 04:572 kBHenri YandellCLI-162-take2.patch18/Feb/09 05:412 kBHenri YandellIssue Links


is cloned by





CLI-174
RuntimeException in the wrapping code of HelpFormatter






Activity



People



Assignee:




    Unassigned





Reporter:





            Emmanuel Bourg
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


25/Jul/08 12:21 




                                    Updated:
                            


20/Feb/09 05:01 




                                    Resolved:
                            


20/Feb/09 05:01"
Cli-27,Cli,[CLI-182] Unable to select a pure long option in a group - ASF JIRA,"Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Major                     




Resolution:

                             Fixed
                    





Affects Version/s:



1.0,                                            1.1,                                            1.2 







                Fix Version/s:
            



1.3 






Component/s:



Options definition 






Labels:


None


 
Description

OptionGroup doesn't play nice with options with a long name and no short name. If the selected option hasn't a short name, group.setSelected(option) has no effect.


AttachmentsActivity



People



Assignee:





            Emmanuel Bourg
        





Reporter:





            Emmanuel Bourg
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


30/May/09 01:45 




                                    Updated:
                            


09/May/15 18:43 




                                    Resolved:
                            


30/May/09 02:32"
Cli-3,Cli,"[CLI-1] PosixParser interupts ""-target opt"" as ""-t arget opt"" - ASF JIRA","Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Major                     




Resolution:

                             Incomplete
                    





Affects Version/s:



Nightly Builds 







                Fix Version/s:
            


                                        None
                    





Component/s:


                                        None
                    





Labels:


None


 


Environment:


Operating System: All
Platform: Other


 







Bugzilla Id:


                                          13933
  
                            





Description

This was posted on the Commons-Developer list and confirmed as a bug.
> Is this a bug?  Or am I using this incorrectly?
> I have an option with short and long values.  Given code that is 
> essentially what is below, with a PosixParser I see results as 
> follows:
> 
> A command line with just ""-t"" prints out the results of the catch 
> block
> (OK)
> A command line with just ""-target"" prints out the results of the catch
> block (OK)
> A command line with just ""-t foobar.com"" prints out ""processing selected
> target: foobar.com"" (OK)
> A command line with just ""-target foobar.com"" prints out ""processing
> selected target: arget"" (ERROR?)
> 
> ======================================================================
> ==
> =======================
>   private static final String OPTION_TARGET = ""t"";
>   private static final String OPTION_TARGET_LONG = ""target"";
>   // ...
>   Option generateTarget = new Option(OPTION_TARGET, 
>                                      OPTION_TARGET_LONG, 
>                                      true, 
>                                      ""Generate files for the specified
> target machine"");
>   // ...
>   try 
{
>         parsedLine = parser.parse(cmdLineOpts, args);
>       }
 catch (ParseException pe) 
{
>         System.out.println(""Invalid command: "" + pe.getMessage() +
> ""\n"");
>         HelpFormatter hf = new HelpFormatter();
>         hf.printHelp(USAGE, cmdLineOpts);
>         System.exit(-1);
>       }
> 
>   if (parsedLine.hasOption(OPTION_TARGET)) 
{
>     System.out.println(""processing selected target: "" +
> parsedLine.getOptionValue(OPTION_TARGET));        
>   }

It is a bug but it is due to well defined behaviour (so that makes me feel a
little better about myself .  To support special 
(well I call them special anyway) like -Dsystem.property=value we need to be
able to examine the first character of an option.  If the first character is
itself defined as an Option then the remainder of the token is used as the
value, e.g. 'D' is the token, it is an option so 'system.property=value' is the
argument value for that option.  This is the behaviour that we are seeing for
your example.  
't' is the token, it is an options so 'arget' is the argument value.  
I suppose a solution to this could be to have a way to specify properties for
parsers.  In this case 'posix.special.option == true' for turning 
on special options. I'll have a look into this and let you know.
Just to keep track of this and to get you used to how we operate, can you log a
bug in bugzilla for this.
Thanks,
-John K


AttachmentsActivity



People



Assignee:




    Unassigned





Reporter:





            Joe McGlynn
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


24/Oct/02 22:32 




                                    Updated:
                            


15/Mar/07 16:49 




                                    Resolved:
                            


15/Mar/07 16:49"
Cli-31,Cli,[CLI-205] HelpFormatter.setArgName() has no effect - ASF JIRA,"Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Minor                     




Resolution:

                             Fixed
                    





Affects Version/s:



1.2 







                Fix Version/s:
            



1.3 






Component/s:



Help formatter 






Labels:


None


 
Description

The default argument name set on the HelpFormatter has no effect because the Option and the OptionBuilder bring automatically a default value 'arg'.


AttachmentsActivity



People



Assignee:




    Unassigned





Reporter:





            Emmanuel Bourg
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


19/Jun/10 18:17 




                                    Updated:
                            


09/May/15 18:43 




                                    Resolved:
                            


19/Jun/10 22:06"
Cli-7,Cli,[CLI-121] Tests fail under 1.6 + error at end that may or may not be related - ASF JIRA,"Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Major                     




Resolution:

                             Fixed
                    





Affects Version/s:


                                        None
                    






                Fix Version/s:
            



2.0 






Component/s:



CLI-2.x 






Labels:


None


 


Environment:


JDK 1.6


 
Description

Testsuite: org.apache.commons.cli2.bug.Bug27575Test
Tests run: 1, Failures: 1, Errors: 0, Time elapsed: 0.058 sec
Testcase: testRequiredOptions(org.apache.commons.cli2.bug.Bug27575Test):        FAILED
expected:<[-h]> but was:<-c <arg>>
junit.framework.ComparisonFailure: expected:<[-h]> but was:<-c <arg>>
        at org.apache.commons.cli2.bug.Bug27575Test.testRequiredOptions(Bug27575Test.java:36)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
and error at end of:
Exception in thread ""Thread-1"" javax.xml.transform.TransformerFactoryConfigurationError: Provider for javax.xml.transform.TransformerFactory cannot be found
        at javax.xml.transform.TransformerFactory.newInstance(Unknown Source)
        at java.util.prefs.XmlSupport.writeDoc(XmlSupport.java:246)
        at java.util.prefs.XmlSupport.exportMap(XmlSupport.java:333)
        at java.util.prefs.FileSystemPreferences$8.run(FileSystemPreferences.java:607)


AttachmentsAttachmentsOptionsSort By NameSort By DateAscendingDescendingcli-121.diff02/Jan/08 11:060.7 kBOliver HegerActivity



People



Assignee:




    Unassigned





Reporter:





            Henri Yandell
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


09/Jul/06 00:05 




                                    Updated:
                            


23/Feb/08 20:08 




                                    Resolved:
                            


23/Feb/08 20:08"
Cli-9,Cli,[CLI-149] MissingOptionException.getMessage() changed from CLI 1.0 > 1.1 - ASF JIRA,"Details




Type:


 Bug
        

 

Status:

Closed 





Priority:


  Major                     




Resolution:

                             Fixed
                    





Affects Version/s:



1.1 







                Fix Version/s:
            



1.2 






Component/s:



CLI-1.x 






Labels:


None


 
Description

The MissingOptionException.getMessage() string changed from CLI 1.0 > 1.1. 
CLI 1.0 was poorly formatted but readable:
Missing required options: -format-source-properties
CLI 1.1 is almost unreadable:
Missing required options: formatsourceproperties
In CLI 1.0 Options.addOption(Option) prefixed the stored options with a ""-"" and in CLI 1.1 it doesn't.
I would suggest changing Parser.checkRequiredOptions() to add the options to the error message with a prefix of "" -"":
OLD: 
            // loop through the required options
            while (iter.hasNext())
            {
                buff.append(iter.next());
            }

NEW: 
            // loop through the required options
            while (iter.hasNext())
            {
                buff.append("" -"" + iter.next());
            }

Resulting in:
Missing required options: -format -source -properties


AttachmentsActivity



People



Assignee:




    Unassigned





Reporter:





            Nathan Niesen
        


 


Votes:

0
Vote for this issue



Watchers:

0
Start watching this issue



Dates



                                    Created:
                            


16/Jan/08 17:06 




                                    Updated:
                            


08/May/08 06:56 




                                    Resolved:
                            


08/May/08 06:56"
Closure-120,Closure,Issue Report,"Issue Report
{""id"":1053,""status"":""Fixed"",""summary"":""Overzealous optimization confuses variables"",""labels"":[""Type-Defect"",""Priority-Medium""],""stars"":0,""commentCount"":5,""comments"":[{""id"":0,""commenterId"":-8406598521465938809,""content"":""The following code:\r\n\r\n\t// \u003d\u003dClosureCompiler\u003d\u003d\r\n\t// @compilation_level ADVANCED_OPTIMIZATIONS\r\n\t// \u003d\u003d/ClosureCompiler\u003d\u003d\r\n\tvar uid;\r\n\tfunction reset() {\r\n\t\tuid \u003d Math.random();\r\n\t}\r\n\tfunction doStuff() {\r\n\t\treset();\r\n\t\tvar _uid \u003d uid;\r\n\r\n\t\tif (uid \u0026lt; 0.5) {\r\n\t\t\tdoStuff();\r\n\t\t}\r\n\r\n\t\tif (_uid !\u003d\u003d uid) {\r\n\t\t\tthrow \u0027reset() was called\u0027;\r\n\t\t}\r\n\t}\r\n\tdoStuff();\r\n\r\n...gets optimized to:\r\n\r\n\tvar a;function b(){a\u003dMath.random();0.5\u0026gt;a\u0026amp;\u0026amp;b();if(a!\u003d\u003da)throw\u0026quot;reset() was called\u0026quot;;}b();\r\n\r\nNotice how _uid gets optimized away and (uid!\u003d\u003d_uid) becomes (a!\u003d\u003da) even though doStuff() might have been called and uid\u0027s value may have changed and become different from _uid.\r\n\r\nAs an aside, replacing the declaration with \u0026quot;var _uid \u003d +uid;\u0026quot; fixes it, as does adding an extra \u0026quot;uid \u003d _uid\u0026quot; after \u0026quot;var _uid \u003d uid\u0026quot;."",""timestamp"":1375143403,""attachments"":[]},{""id"":1,""commenterId"":-5060162230523776870,""content"":""Thanks for the report!"",""timestamp"":1375160481,""attachments"":[]},{""id"":2,""commenterId"":-215138502632663007,""content"":""Ya! Thanks for the nicely isolated bug report!\r\n\r\nLooks like a (non flow sensitive) variable inlining bug.\r\n\r\nAfter function inliner put down var _uid \u003d uid \u003d Math.random(), it might have gotten a bit too aggressive assuming _uid being replaceable by uid.\r\n\r\n"",""timestamp"":1375987953,""attachments"":[]},{""id"":3,""commenterId"":-215138502632663007,""content"":""I have a patch that is currently in review. It should be fixed in the next release."",""timestamp"":1375991834,""attachments"":[]},{""id"":4,""commenterId"":-8769171937076622550,""content"":""This issue was closed by revision 0123fd5303c8."",""timestamp"":1376443730,""attachments"":[]}]}"
Closure-129,Closure,Issue Report,"Issue Report
{""id"":937,""status"":""Fixed"",""summary"":""Casting a function before calling it produces bad code and breaks plugin code"",""labels"":[""Type-Defect"",""Priority-Medium""],""stars"":0,""commentCount"":3,""comments"":[{""id"":0,""commenterId"":177012085138132463,""content"":""1. Compile this code with ADVANCED_OPTIMIZATIONS:\r\nconsole.log( /** @type {function(!string):!string} */ ((new window.ActiveXObject( \u0027ShockwaveFlash.ShockwaveFlash\u0027 ))[\u0027GetVariable\u0027])( \u0027$version\u0027 ) );\r\n\r\nproduces:\r\n\r\n\u0027use strict\u0027;console.log((0,(new window.ActiveXObject(\u0026quot;ShockwaveFlash.ShockwaveFlash\u0026quot;)).GetVariable)(\u0026quot;$version\u0026quot;));\r\n\r\n2. Compare with this code:\r\nconsole.log( /** @type {!string} */ ((new window.ActiveXObject( \u0027ShockwaveFlash.ShockwaveFlash\u0027 ))[\u0027GetVariable\u0027]( \u0027$version\u0027 )) )\r\n\r\nproduces:\r\n\r\n\u0027use strict\u0027;console.log((new window.ActiveXObject(\u0026quot;ShockwaveFlash.ShockwaveFlash\u0026quot;)).GetVariable(\u0026quot;$version\u0026quot;));\r\n\r\n\r\nNotice the (0,...) wrapping around the GetVariable function in the first example. This causes the call to fail in every browser (this code is IE-only but it\u0027s just for a minimal example). The second version produces a warning that the type of GetVariable could not be determined (I enabled type warnings), and it wouldn\u0027t be possible to define these in an externs file without making a horrible mess.\r\n\r\nThis applies to all cases where functions are cast, but only causes problems (other than bloat) with plugins like this. It seems to serve no purpose whatsoever, so I assume it is a bug.\r\n\r\nRunning on a mac, not sure what version but it reports Built on: 2013/02/12 17:00, so will have been downloaded about that time."",""timestamp"":1362505862,""attachments"":[]},{""id"":1,""commenterId"":-5060162230523776870,""content"":""Well drat. This seems likely that this is a side effect of the introduction of the CAST node to the AST.  I\u0027ll take a look."",""timestamp"":1362585536,""attachments"":[]},{""id"":2,""commenterId"":-8769171937076622550,""content"":""This issue was closed by revision 79a8906570f4."",""timestamp"":1363798292,""attachments"":[]}]}"
Closure-13,Closure,Issue Report,"Issue Report
{""id"":787,""status"":""Fixed"",""summary"":""true/false are not always replaced for !0/!1"",""labels"":[""Type-Defect"",""Priority-Medium""],""stars"":0,""commentCount"":3,""comments"":[{""id"":0,""commenterId"":-2177134355389785939,""content"":""\u003cb\u003eWhat steps will reproduce the problem?\u003c/b\u003e\n\r\nfunction some_function() {\r\n  var fn1;\r\n  var fn2;\r\n\r\n  if (any_expression) {\r\n    fn2 \u003d external_ref;\r\n    fn1 \u003d function (content) {\r\n      return fn2();\r\n    }\r\n  }\r\n\r\n  return {\r\n    method1: function () {\r\n      if (fn1) fn1();\r\n      return true;\r\n    },\r\n    method2: function () {\r\n      return false;\r\n    }\r\n  }\r\n}\r\n\r\n\u003cb\u003eWhat is the expected output? What do you see instead?\u003c/b\u003e\n\r\nWe expect that true/false will be replaced for !0/!1, but it doesn\u0027t happend.\r\n\r\nfunction some_function() {\r\n  var a, b;\r\n  any_expression \u0026amp;\u0026amp; (b \u003d external_ref, a \u003d function () {\r\n    return b()\r\n  });\r\n  return {\r\n    method1: function () {\r\n      a \u0026amp;\u0026amp; a();\r\n      return true\r\n    },\r\n    method2: function () {\r\n      return false\r\n    }\r\n  }\r\n};\r\n\r\n\u003cb\u003eWhat version of the product are you using? On what operating system?\u003c/b\u003e\n\r\nThis is output for latest official build.\r\nI also got the same output for 20120430, 20120305. But 20111117 is OK.\r\n\r\n\u003cb\u003ePlease provide any additional information below.\u003c/b\u003e\n\r\nHere is just one of example. I found too many non-replaced true/false in compiler output. Replacement non-replaced true/false to !1/!0 in conpiler output saves 1-2 kb for 850 kb js file."",""timestamp"":1343813264,""attachments"":[]},{""id"":1,""commenterId"":-5060162230523776870,""content"":""The peephole optimizations are being short circuited, I\u0027m pretty sure I caused this problem so I\u0027ll look into it."",""timestamp"":1343847526,""attachments"":[]},{""id"":2,""commenterId"":-7699928860083865744,""content"":""This issue was closed by revision r2119."",""timestamp"":1344005344,""attachments"":[]}]}"
