bug_id,project,percent_agreement,cohens_kappa,aggregated_raw,aggregated_derived,aggregated_zscore
Chart-1,Chart,0.8297872340425532,0.5264483627204029,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 3, ""ReasoningQuality"": 5, ""TechnicalContext"": 4, ""Ambiguity"": 2, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 1, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 1.2163503593625116, ""Clarity"": 1.2163503593625116, ""Specificity"": 0.5121475197315838, ""Reproducibility"": -0.1920553198993441, ""ReasoningQuality"": 1.2163503593625116, ""TechnicalContext"": 0.5121475197315838, ""Ambiguity"": -0.1920553198993441, ""RepairReadiness"": -1.6004609991611998, ""RootCauseEvidence"": -0.1920553198993441, ""HiddenReproducibility"": -1.6004609991611998, ""ImpactScope"": -0.896258159530272}"
Chart-11,Chart,0.7872340425531915,0.5392156862745098,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 3, ""ReasoningQuality"": 5, ""TechnicalContext"": 2, ""Ambiguity"": 2, ""RepairReadiness"": 3, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 1}","{""repair_difficulty"": 2, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 1}","{""Actionability"": 1.3228756555322954, ""Clarity"": 1.3228756555322954, ""Specificity"": 0.6299407883487121, ""Reproducibility"": -0.06299407883487115, ""ReasoningQuality"": 1.3228756555322954, ""TechnicalContext"": -0.7559289460184544, ""Ambiguity"": -0.06299407883487115, ""RepairReadiness"": -0.7559289460184544, ""RootCauseEvidence"": -0.06299407883487115, ""HiddenReproducibility"": -1.4488638132020377, ""ImpactScope"": -1.4488638132020377}"
Chart-12,Chart,0.851063829787234,0.6881516587677725,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 2, ""Reproducibility"": 3, ""ReasoningQuality"": 3, ""TechnicalContext"": 2, ""Ambiguity"": 4, ""RepairReadiness"": 3, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 2, ""ambiguity_count"": 4, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 1.2570787221094177, ""Clarity"": 2.1213203435596424, ""Specificity"": -0.4714045207910316, ""Reproducibility"": 0.3928371006591931, ""ReasoningQuality"": 0.3928371006591931, ""TechnicalContext"": -0.4714045207910316, ""Ambiguity"": -1.3356461422412562, ""RepairReadiness"": -0.4714045207910316, ""RootCauseEvidence"": 0.3928371006591931, ""HiddenReproducibility"": -1.3356461422412562, ""ImpactScope"": -0.4714045207910316}"
Chart-16,Chart,0.9361702127659575,0.8274173806609548,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 3, ""ReasoningQuality"": 5, ""TechnicalContext"": 2, ""Ambiguity"": 2, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 1, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 1.3228756555322954, ""Clarity"": 1.3228756555322954, ""Specificity"": 0.6299407883487121, ""Reproducibility"": -0.06299407883487115, ""ReasoningQuality"": 1.3228756555322954, ""TechnicalContext"": -0.7559289460184544, ""Ambiguity"": -0.06299407883487115, ""RepairReadiness"": -1.4488638132020377, ""RootCauseEvidence"": -0.06299407883487115, ""HiddenReproducibility"": -1.4488638132020377, ""ImpactScope"": -0.7559289460184544}"
Chart-17,Chart,0.8936170212765957,0.7877145438121046,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 3, ""Reproducibility"": 3, ""ReasoningQuality"": 1, ""TechnicalContext"": 2, ""Ambiguity"": 1, ""RepairReadiness"": 3, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 1, ""ImpactScope"": 1}","{""repair_difficulty"": 2, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 0, ""impact_scope"": 1}","{""Actionability"": 1.0954451150103321, ""Clarity"": 1.7648837964055353, ""Specificity"": 0.42600643361512913, ""Reproducibility"": 0.42600643361512913, ""ReasoningQuality"": -0.912870929175277, ""TechnicalContext"": -0.2434322477800739, ""Ambiguity"": 1.0954451150103321, ""RepairReadiness"": -0.2434322477800739, ""RootCauseEvidence"": -1.5823096105704801, ""HiddenReproducibility"": -0.912870929175277, ""ImpactScope"": -0.912870929175277}"
Chart-2,Chart,0.9787234042553191,0.9501590668080593,"{""Actionability"": 3, ""Clarity"": 4, ""Specificity"": 0, ""Reproducibility"": 0, ""ReasoningQuality"": 0, ""TechnicalContext"": 2, ""Ambiguity"": 4, ""RepairReadiness"": 1, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 0, ""ImpactScope"": 1}","{""repair_difficulty"": 4, ""ambiguity_count"": 4, ""hidden_s2r_present"": false, ""root_cause_evidence"": 0, ""impact_scope"": 1}","{""Actionability"": 1.0533703247651751, ""Clarity"": 1.6970966343438934, ""Specificity"": -0.8778086039709792, ""Reproducibility"": -0.8778086039709792, ""ReasoningQuality"": -0.8778086039709792, ""TechnicalContext"": 0.40964401518645704, ""Ambiguity"": -0.23408229439226108, ""RepairReadiness"": 1.6970966343438934, ""RootCauseEvidence"": -0.8778086039709792, ""HiddenReproducibility"": -0.8778086039709792, ""ImpactScope"": -0.23408229439226108}"
Chart-5,Chart,0.8085106382978723,0.40673211781206153,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 4, ""ReasoningQuality"": 5, ""TechnicalContext"": 4, ""Ambiguity"": 1, ""RepairReadiness"": 5, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 0, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 1.0157987663695807, ""Clarity"": 1.0157987663695807, ""Specificity"": 0.3950328535881702, ""Reproducibility"": 0.3950328535881702, ""ReasoningQuality"": 1.0157987663695807, ""TechnicalContext"": 0.3950328535881702, ""Ambiguity"": 0.3950328535881702, ""RepairReadiness"": -2.0880307975374715, ""RootCauseEvidence"": -0.22573305919324022, ""HiddenReproducibility"": -1.467264884756061, ""ImpactScope"": -0.8464989719746506}"
Chart-9,Chart,0.8297872340425532,0.45189504373177836,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 5, ""Reproducibility"": 5, ""ReasoningQuality"": 4, ""TechnicalContext"": 5, ""Ambiguity"": 1, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 1, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 0.8778086039709794, ""Clarity"": 0.8778086039709794, ""Specificity"": 0.8778086039709794, ""Reproducibility"": 0.8778086039709794, ""ReasoningQuality"": 0.23408229439226122, ""TechnicalContext"": 0.8778086039709794, ""Ambiguity"": 0.23408229439226122, ""RepairReadiness"": -1.6970966343438931, ""RootCauseEvidence"": -0.40964401518645693, ""HiddenReproducibility"": -1.6970966343438931, ""ImpactScope"": -1.0533703247651751}"
Cli-1,Cli,0.8085106382978723,0.5920925747348119,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 4, ""ReasoningQuality"": 2, ""TechnicalContext"": 2, ""Ambiguity"": 2, ""RepairReadiness"": 3, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 1, ""ImpactScope"": 1}","{""repair_difficulty"": 2, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 0, ""impact_scope"": 1}","{""Actionability"": 0.970142500145332, ""Clarity"": 1.6371154689952476, ""Specificity"": 0.970142500145332, ""Reproducibility"": 0.970142500145332, ""ReasoningQuality"": -0.36380343755449945, ""TechnicalContext"": -0.36380343755449945, ""Ambiguity"": 0.30316953129541624, ""RepairReadiness"": -0.36380343755449945, ""RootCauseEvidence"": -1.697749375254331, ""HiddenReproducibility"": -1.0307764064044151, ""ImpactScope"": -1.0307764064044151}"
Cli-10,Cli,0.9574468085106383,0.8625730994152049,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 4, ""ReasoningQuality"": 5, ""TechnicalContext"": 4, ""Ambiguity"": 1, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 1, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 2}","{""Actionability"": 1.075174404457249, ""Clarity"": 1.075174404457249, ""Specificity"": 0.37947331922020555, ""Reproducibility"": 0.37947331922020555, ""ReasoningQuality"": 1.075174404457249, ""TechnicalContext"": 0.37947331922020555, ""Ambiguity"": 0.37947331922020555, ""RepairReadiness"": -1.707629936490925, ""RootCauseEvidence"": -0.316227766016838, ""HiddenReproducibility"": -1.707629936490925, ""ImpactScope"": -1.0119288512538815}"
