bug_id,project,percent_agreement,cohens_kappa,aggregated_raw,aggregated_derived,aggregated_zscore
Chart-1,Chart,0.9791666666666666,0.9390862944162436,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 3, ""ReasoningQuality"": 5, ""TechnicalContext"": 4, ""Ambiguity"": 2, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 0, ""ImpactScope"": 3}","{""repair_difficulty"": 1, ""ambiguity_count"": 2, ""hidden_s2r_present"": false, ""root_cause_evidence"": 3, ""impact_scope"": 3}","{""Actionability"": 1.059625885652035, ""Clarity"": 1.059625885652035, ""Specificity"": 0.331133089266261, ""Reproducibility"": -0.39735970711951313, ""ReasoningQuality"": 1.059625885652035, ""TechnicalContext"": 0.331133089266261, ""Ambiguity"": -0.39735970711951313, ""RepairReadiness"": 0.331133089266261, ""RootCauseEvidence"": -0.39735970711951313, ""HiddenReproducibility"": -2.5828380962768356, ""ImpactScope"": -0.39735970711951313}"
Chart-11,Chart,0.8333333333333334,0.6000000000000001,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 3, ""Reproducibility"": 3, ""ReasoningQuality"": 4, ""TechnicalContext"": 3, ""Ambiguity"": 2, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 3}","{""repair_difficulty"": 1, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 3}","{""Actionability"": 0.7559289460184543, ""Clarity"": 1.7953312467938292, ""Specificity"": -0.28347335475692065, ""Reproducibility"": -0.28347335475692065, ""ReasoningQuality"": 0.7559289460184543, ""TechnicalContext"": -0.28347335475692065, ""Ambiguity"": -0.28347335475692065, ""RepairReadiness"": 0.7559289460184543, ""RootCauseEvidence"": -0.28347335475692065, ""HiddenReproducibility"": -2.3622779563076706, ""ImpactScope"": -0.28347335475692065}"
Chart-12,Chart,0.7083333333333334,0.43147208121827424,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 1, ""Reproducibility"": 3, ""ReasoningQuality"": 1, ""TechnicalContext"": 2, ""Ambiguity"": 4, ""RepairReadiness"": 4, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 0, ""ImpactScope"": 2}","{""repair_difficulty"": 1, ""ambiguity_count"": 4, ""hidden_s2r_present"": false, ""root_cause_evidence"": 0, ""impact_scope"": 2}","{""Actionability"": 1.177621523593293, ""Clarity"": 1.7944708930945417, ""Specificity"": -0.672926584910453, ""Reproducibility"": 0.5607721540920443, ""ReasoningQuality"": -0.672926584910453, ""TechnicalContext"": -0.05607721540920437, ""Ambiguity"": -0.672926584910453, ""RepairReadiness"": 1.177621523593293, ""RootCauseEvidence"": -1.2897759544117016, ""HiddenReproducibility"": -1.2897759544117016, ""ImpactScope"": -0.05607721540920437}"
Chart-16,Chart,0.8541666666666666,0.6679841897233201,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 3, ""ReasoningQuality"": 4, ""TechnicalContext"": 2, ""Ambiguity"": 3, ""RepairReadiness"": 4, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 3}","{""repair_difficulty"": 1, ""ambiguity_count"": 3, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 3}","{""Actionability"": 0.7348469228349536, ""Clarity"": 1.6329931618554523, ""Specificity"": 0.7348469228349536, ""Reproducibility"": -0.16329931618554508, ""ReasoningQuality"": 0.7348469228349536, ""TechnicalContext"": -1.0614455552060438, ""Ambiguity"": -1.0614455552060438, ""RepairReadiness"": 0.7348469228349536, ""RootCauseEvidence"": -0.16329931618554508, ""HiddenReproducibility"": -1.9595917942265424, ""ImpactScope"": -0.16329931618554508}"
Chart-17,Chart,0.6458333333333334,0.3376623376623377,"{""Actionability"": 3, ""Clarity"": 3, ""Specificity"": 2, ""Reproducibility"": 3, ""ReasoningQuality"": 1, ""TechnicalContext"": 1, ""Ambiguity"": 4, ""RepairReadiness"": 2, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 0, ""ImpactScope"": 1}","{""repair_difficulty"": 3, ""ambiguity_count"": 4, ""hidden_s2r_present"": false, ""root_cause_evidence"": 0, ""impact_scope"": 1}","{""Actionability"": 1.3522468075656267, ""Clarity"": 1.3522468075656267, ""Specificity"": 0.42257712736425834, ""Reproducibility"": 1.3522468075656267, ""ReasoningQuality"": -0.50709255283711, ""TechnicalContext"": -0.50709255283711, ""Ambiguity"": -0.50709255283711, ""RepairReadiness"": 0.42257712736425834, ""RootCauseEvidence"": -1.4367622330384784, ""HiddenReproducibility"": -1.4367622330384784, ""ImpactScope"": -0.50709255283711}"
Chart-2,Chart,0.7291666666666666,-4.099285014000579e-16,"{""Actionability"": 2, ""Clarity"": 2, ""Specificity"": 0, ""Reproducibility"": 0, ""ReasoningQuality"": 1, ""TechnicalContext"": 2, ""Ambiguity"": 4, ""RepairReadiness"": 1, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 0, ""ImpactScope"": 1}","{""repair_difficulty"": 4, ""ambiguity_count"": 4, ""hidden_s2r_present"": false, ""root_cause_evidence"": 0, ""impact_scope"": 1}","{""Actionability"": 1.3764944032233704, ""Clarity"": 1.3764944032233704, ""Specificity"": -1.1470786693528088, ""Reproducibility"": -1.1470786693528088, ""ReasoningQuality"": 0.11470786693528091, ""TechnicalContext"": 1.3764944032233704, ""Ambiguity"": 0.11470786693528091, ""RepairReadiness"": 0.11470786693528091, ""RootCauseEvidence"": -1.1470786693528088, ""HiddenReproducibility"": -1.1470786693528088, ""ImpactScope"": 0.11470786693528091}"
Chart-5,Chart,0.875,0.6220472440944882,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 3, ""Reproducibility"": 4, ""ReasoningQuality"": 5, ""TechnicalContext"": 4, ""Ambiguity"": 2, ""RepairReadiness"": 5, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 3}","{""repair_difficulty"": 0, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 3}","{""Actionability"": 1.0493443645942062, ""Clarity"": 1.0493443645942062, ""Specificity"": -0.599625351196689, ""Reproducibility"": 0.2248595066987586, ""ReasoningQuality"": 1.0493443645942062, ""TechnicalContext"": 0.2248595066987586, ""Ambiguity"": -0.599625351196689, ""RepairReadiness"": 1.0493443645942062, ""RootCauseEvidence"": -0.599625351196689, ""HiddenReproducibility"": -2.2485950669875843, ""ImpactScope"": -0.599625351196689}"
Chart-9,Chart,0.9583333333333334,0.8636363636363638,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 5, ""Reproducibility"": 5, ""ReasoningQuality"": 3, ""TechnicalContext"": 4, ""Ambiguity"": 1, ""RepairReadiness"": 5, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 3}","{""repair_difficulty"": 0, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 3}","{""Actionability"": 0.8798826901281197, ""Clarity"": 0.8798826901281197, ""Specificity"": 0.8798826901281197, ""Reproducibility"": 0.8798826901281197, ""ReasoningQuality"": -0.7332355751067665, ""TechnicalContext"": 0.07332355751067658, ""Ambiguity"": 0.07332355751067658, ""RepairReadiness"": 0.8798826901281197, ""RootCauseEvidence"": -0.7332355751067665, ""HiddenReproducibility"": -2.346353840341653, ""ImpactScope"": -0.7332355751067665}"
Cli-1,Cli,0.9166666666666666,0.8318739054290717,"{""Actionability"": 4, ""Clarity"": 5, ""Specificity"": 3, ""Reproducibility"": 3, ""ReasoningQuality"": 1, ""TechnicalContext"": 2, ""Ambiguity"": 2, ""RepairReadiness"": 3, ""RootCauseEvidence"": 0, ""HiddenReproducibility"": 1, ""ImpactScope"": 2}","{""repair_difficulty"": 2, ""ambiguity_count"": 2, ""hidden_s2r_present"": true, ""root_cause_evidence"": 0, ""impact_scope"": 2}","{""Actionability"": 1.1258525035052873, ""Clarity"": 1.8543452998910612, ""Specificity"": 0.39735970711951313, ""Reproducibility"": 0.39735970711951313, ""ReasoningQuality"": -1.059625885652035, ""TechnicalContext"": -0.331133089266261, ""Ambiguity"": 0.39735970711951313, ""RepairReadiness"": 0.39735970711951313, ""RootCauseEvidence"": -1.7881186820378092, ""HiddenReproducibility"": -1.059625885652035, ""ImpactScope"": -0.331133089266261}"
Cli-10,Cli,0.9791666666666666,0.9285714285714284,"{""Actionability"": 5, ""Clarity"": 5, ""Specificity"": 4, ""Reproducibility"": 4, ""ReasoningQuality"": 5, ""TechnicalContext"": 3, ""Ambiguity"": 1, ""RepairReadiness"": 5, ""RootCauseEvidence"": 3, ""HiddenReproducibility"": 1, ""ImpactScope"": 4}","{""repair_difficulty"": 0, ""ambiguity_count"": 1, ""hidden_s2r_present"": true, ""root_cause_evidence"": 3, ""impact_scope"": 4}","{""Actionability"": 0.9370425713316364, ""Clarity"": 0.9370425713316364, ""Specificity"": 0.07808688094430297, ""Reproducibility"": 0.07808688094430297, ""ReasoningQuality"": 0.9370425713316364, ""TechnicalContext"": -0.7808688094430304, ""Ambiguity"": 0.07808688094430297, ""RepairReadiness"": 0.9370425713316364, ""RootCauseEvidence"": -0.7808688094430304, ""HiddenReproducibility"": -2.498780190217697, ""ImpactScope"": 0.07808688094430297}"
