project,bug_id,tool,rank,mrr,map,map_recalc_single_gt,map_recalc_with_gt,map_recalc_conservative,map_diff_single,map_diff_with_gt,map_diff_conservative,top@1,top@5,top@10
Chart,1,FlexFL,5.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0,1,1
Chart,1,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,1,buglocator,14.0,0.071429,0.071429,0.07142857142857142,0.07142857142857142,0.07142857142857142,4.285714285817699e-07,4.285714285817699e-07,4.285714285817699e-07,0,0,0
Chart,1,locus,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Chart,2,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,2,boostnsift,5.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0,1,1
Chart,2,buglocator,3.0,0.333333,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333332441484e-07,3.3333333332441484e-07,3.3333333332441484e-07,0,1,1
Chart,2,locus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chart,3,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,4,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chart,5,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,5,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,5,buglocator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,5,locus,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,6,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,7,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,8,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,9,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,9,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,9,buglocator,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,9,locus,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Chart,10,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
