feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
smog_index,0.041751772436264906,0.22812891144187938,-0.07929389501473716,0.021935556535086224,1.0,False,0.9432289310087076,False,0.041751772436264906,0.07929389501473716
gunning_fog,0.03476484866093042,0.31567937310160016,-0.07382583760046899,0.032923578238846264,1.0,False,1.0,False,0.03476484866093042,0.07382583760046899
num_browser_mentions,0.059253677371930755,0.08705256364547106,0.06455120789393838,0.06225911752097461,1.0,False,1.0,False,0.059253677371930755,0.06455120789393838
num_env_mentions,-0.0019724750150733545,0.9546152695439436,0.05573882371399054,0.10750967186442305,1.0,False,1.0,False,0.0019724750150733545,0.05573882371399054
automated_readability_index,0.007506499839013961,0.8285289068440685,-0.053242601078680916,0.12421901769839484,1.0,False,1.0,False,0.007506499839013961,0.053242601078680916
has_enumeration,0.048759635832912374,0.15921903943110635,0.052209487998075836,0.13169979813176025,1.0,False,1.0,False,0.048759635832912374,0.052209487998075836
num_negative_modals,-0.03320405653829009,0.33790973825259196,-0.049915205057238884,0.14955481743931165,1.0,False,1.0,False,0.03320405653829009,0.049915205057238884
causal_density,0.05343967712911005,0.12283032346397733,0.047433736184555333,0.17088047001099996,1.0,False,1.0,False,0.05343967712911005,0.047433736184555333
num_modal_verbs,-0.03492645895807752,0.31343361497198224,-0.04547633110918737,0.18924650991935674,1.0,False,1.0,False,0.03492645895807752,0.04547633110918737
modal_density,-0.008172396282849978,0.8135857490776517,-0.04390323971963892,0.20502847541799185,1.0,False,1.0,False,0.008172396282849978,0.04390323971963892
coleman_liau_index,0.0028773121230077137,0.9338360463380924,-0.04242829123101111,0.22067381910547215,1.0,False,1.0,False,0.0028773121230077137,0.04242829123101111
num_causal_markers,0.013586534435686458,0.6950349823869538,0.04205203697149619,0.22479824669119722,1.0,False,1.0,False,0.013586534435686458,0.04205203697149619
has_stacktrace,0.0575533286986116,0.09651909817910427,0.03754355778910512,0.27852920684754234,1.0,False,1.0,False,0.0575533286986116,0.03754355778910512
avg_step_length,-0.016672341796469425,0.6304583433919078,-0.03690674134302426,0.2867691308222751,1.0,False,1.0,False,0.016672341796469425,0.03690674134302426
num_steps_x,-0.016393449681164043,0.6361894355194508,-0.03680309317469343,0.2881256490141743,1.0,False,1.0,False,0.016393449681164043,0.03680309317469343
flesch_reading_ease,0.06393382483408802,0.06480845427165662,0.036448382299964874,0.2928006489616671,1.0,False,1.0,False,0.06393382483408802,0.036448382299964874
num_caused_by,0.04770300739338245,0.16846195565535632,0.03476464455256385,0.3156822160715966,1.0,False,1.0,False,0.04770300739338245,0.03476464455256385
summary_chars,0.015837054776954324,0.6476879750650815,0.034002239494982024,0.3264186631877867,1.0,False,1.0,False,0.015837054776954324,0.034002239494982024
redundancy,0.0026327872860845113,0.939447619590081,0.03243190928040612,0.34926975840059493,1.0,False,1.0,False,0.0026327872860845113,0.03243190928040612
num_versions,-0.006781007784504306,0.8448800513037891,-0.03205713394258776,0.3548697900790223,1.0,False,1.0,False,0.006781007784504306,0.03205713394258776
num_temporal_markers,0.07582427095965344,0.028457702144412258,0.030726241484814565,0.37521026026191007,1.0,False,1.0,False,0.07582427095965344,0.030726241484814565
potential_vague_steps,-0.004747241741286587,0.8910518907139132,-0.030238488083263067,0.38284131925203757,1.0,False,1.0,False,0.004747241741286587,0.030238488083263067
temporal_density,0.05428072256992192,0.11703954904465623,0.029367665092930224,0.396699574143901,1.0,False,1.0,False,0.05428072256992192,0.029367665092930224
num_steps_y,0.01895928832176815,0.5843217034996409,0.027644743430385428,0.42499327615484195,1.0,False,1.0,False,0.01895928832176815,0.027644743430385428
has_version_info,0.04236160121193641,0.22140088534177385,-0.027287836521923917,0.4309981600657157,1.0,False,1.0,False,0.04236160121193641,0.027287836521923917
structural_completeness,0.029405179475573782,0.39609641276916224,0.027055615736318837,0.4349314643445167,1.0,False,1.0,False,0.029405179475573782,0.027055615736318837
steps_with_objects,-0.01690550567546276,0.6256838993788585,-0.023124025778819633,0.5045878312772045,1.0,False,1.0,False,0.01690550567546276,0.023124025778819633
completeness_score,-0.01690550567546276,0.6256838993788585,-0.023124025778819633,0.5045878312772045,1.0,False,1.0,False,0.01690550567546276,0.023124025778819633
num_exception_types,0.02567591670070652,0.4587229088280193,0.020629534281414456,0.5516503571830464,1.0,False,1.0,False,0.02567591670070652,0.020629534281414456
has_steps,-0.00693104541709633,0.841492780960572,0.020316525082431737,0.5577042965951382,1.0,False,1.0,False,0.00693104541709633,0.020316525082431737
clarity_score,-0.017807032530930078,0.6073719343058696,-0.01866955295548386,0.5900793584006673,1.0,False,1.0,False,0.017807032530930078,0.01866955295548386
n_words,0.01998220627672563,0.5642058203057398,0.018542348161720002,0.5926154007456604,1.0,False,1.0,False,0.01998220627672563,0.018542348161720002
ambiguity,0.01989237253982163,0.5659590125371722,0.01786875069821293,0.6061270791711728,1.0,False,1.0,False,0.01989237253982163,0.01786875069821293
has_code,-0.007189042440795396,0.8356750802370138,-0.017727413436168026,0.6089795312993811,1.0,False,1.0,False,0.007189042440795396,0.017727413436168026
description_chars,0.0007222568936454329,0.9833738175916759,-0.017602794475719528,0.6114995113268784,1.0,False,1.0,False,0.0007222568936454329,0.017602794475719528
context_richness,0.02978741719709682,0.38998230725454625,-0.014864377998426567,0.6679910777738394,1.0,False,1.0,False,0.02978741719709682,0.014864377998426567
stacktrace_depth,-0.01650638647976657,0.6338659959734607,0.014770633074018808,0.6699610329388364,1.0,False,1.0,False,0.01650638647976657,0.014770633074018808
has_patch,-0.020944307452755766,0.5455949874639859,-0.014275846447690418,0.6803957801458932,1.0,False,1.0,False,0.020944307452755766,0.014275846447690418
info_richness,0.048112813401766256,0.16483054588984147,0.007940998923825236,0.8187710795719474,1.0,False,1.0,False,0.048112813401766256,0.007940998923825236
has_os_info,-0.025931011805303945,0.45426996390579805,-0.007755324422548443,0.8229375578357295,1.0,False,1.0,False,0.025931011805303945,0.007755324422548443
num_os_mentions,-0.02547426702123258,0.46226012485573903,-0.007003439932077989,0.8398594351658057,1.0,False,1.0,False,0.02547426702123258,0.007003439932077989
n_sentences,-0.011035229734538132,0.7501739181895641,0.0037529819387124314,0.9137692524202885,1.0,False,1.0,False,0.011035229734538132,0.0037529819387124314
n_tokens,0.019446270890791928,0.5747035705189347,0.001312585349984013,0.9697896224112372,1.0,False,1.0,False,0.019446270890791928,0.001312585349984013
