feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
num_steps_y,0.027283960948031292,0.43106363423574284,0.06791662931395462,0.0497776805526431,1.0,False,1.0,False,0.027283960948031292,0.06791662931395462
has_stacktrace,0.05271514056554569,0.12799593503993315,0.05271514056554569,0.12799593503993403,1.0,False,1.0,False,0.05271514056554569,0.05271514056554569
num_caused_by,0.134626501133074,9.533566025532258e-05,0.051352149502890514,0.1381685121376864,0.004099433390978871,True,1.0,False,0.134626501133074,0.051352149502890514
num_negative_modals,-0.03307754088006218,0.3397546592391698,-0.0509529226185473,0.14126290528782323,1.0,False,1.0,False,0.03307754088006218,0.0509529226185473
has_code,-0.05060393589755776,0.1440111974382201,-0.0506039358975578,0.14401119743822077,1.0,False,1.0,False,0.05060393589755776,0.0506039358975578
causal_density,0.021158190293137875,0.5414993363338906,0.05018688285571295,0.1473489700183872,1.0,False,1.0,False,0.021158190293137875,0.05018688285571295
has_os_info,-0.043607994202678885,0.20809400226916422,-0.043607994202678885,0.2080940022691636,1.0,False,1.0,False,0.043607994202678885,0.043607994202678885
num_os_mentions,-0.041597097979678484,0.22985825608553823,-0.043596895112851086,0.20820988736476362,1.0,False,1.0,False,0.041597097979678484,0.043596895112851086
flesch_reading_ease,0.029630376895945672,0.3924872912847851,0.04265609454828875,0.2182031610956641,1.0,False,1.0,False,0.029630376895945672,0.04265609454828875
num_browser_mentions,0.03675829819871382,0.28871324773215,0.04052057204230732,0.24215246035412905,1.0,False,1.0,False,0.03675829819871382,0.04052057204230732
num_causal_markers,-0.0037435978331467066,0.9139840304391692,0.03685391582217003,0.2874599576478082,1.0,False,1.0,False,0.0037435978331467066,0.03685391582217003
n_words,0.008630826154877442,0.8033371544768496,0.03239071403677637,0.3498825585312887,1.0,False,1.0,False,0.008630826154877442,0.03239071403677637
has_enumeration,0.031003086662334384,0.3709209644941862,0.031003086662334395,0.3709209644941851,1.0,False,1.0,False,0.031003086662334384,0.031003086662334395
gunning_fog,0.042374107406904386,0.22126441024034638,0.02826034170125349,0.4147514038030714,1.0,False,1.0,False,0.042374107406904386,0.02826034170125349
num_env_mentions,-0.02641763644488261,0.44584326618225584,-0.026852291713803957,0.43839224237281527,1.0,False,1.0,False,0.02641763644488261,0.026852291713803957
num_exception_types,0.03725786451203619,0.2822057595281922,0.02551143063250013,0.46160708361933067,1.0,False,1.0,False,0.03725786451203619,0.02551143063250013
clarity_score,-0.024403621244152317,0.4812929877388824,-0.02475680265954964,0.47496783443698964,1.0,False,1.0,False,0.024403621244152317,0.02475680265954964
info_richness,0.0275409586196564,0.4267343842304547,0.0232192026417847,0.5028349602001816,1.0,False,1.0,False,0.0275409586196564,0.0232192026417847
ambiguity,0.014480011051812843,0.6760825271436156,0.02230635076970145,0.5197784318183343,1.0,False,1.0,False,0.014480011051812843,0.02230635076970145
has_version_info,0.02208057893019652,0.5240138796201682,0.022080578930196562,0.5240138796201678,1.0,False,1.0,False,0.02208057893019652,0.022080578930196562
has_patch,-0.021997814220527614,0.5255709458458708,-0.02199781422052763,0.5255709458458722,1.0,False,1.0,False,0.021997814220527614,0.02199781422052763
n_tokens,0.00444159439276341,0.8980268613992828,0.02118720250173408,0.540944962816073,1.0,False,1.0,False,0.00444159439276341,0.02118720250173408
redundancy,0.02144500568771686,0.5360312549210898,0.02009170922477369,0.5620723008058759,1.0,False,1.0,False,0.02144500568771686,0.02009170922477369
num_steps_x,-0.016656377134097042,0.6307858153022006,-0.016656377134097042,0.6307858153022019,1.0,False,1.0,False,0.016656377134097042,0.016656377134097042
avg_step_length,-0.01441935514097309,0.6773628654712688,-0.016655899588077307,0.6307956119837703,1.0,False,1.0,False,0.01441935514097309,0.016655899588077307
smog_index,0.018852973898132994,0.5864313642305784,0.014609069797206031,0.6733614396948229,1.0,False,1.0,False,0.018852973898132994,0.014609069797206031
temporal_density,0.020603033389986043,0.5521616618943025,-0.013418869429301558,0.6986132369373435,1.0,False,1.0,False,0.020603033389986043,0.013418869429301558
completeness_score,-0.013255058856345734,0.7021157002311269,-0.013255058856345736,0.7021157002311267,1.0,False,1.0,False,0.013255058856345734,0.013255058856345736
steps_with_objects,-0.013255058856345734,0.7021157002311269,-0.013255058856345736,0.7021157002311267,1.0,False,1.0,False,0.013255058856345734,0.013255058856345736
coleman_liau_index,0.015145596054122395,0.6620952909232373,0.013173985070723157,0.7038514979893966,1.0,False,1.0,False,0.015145596054122395,0.013173985070723157
n_sentences,-0.006961897751115201,0.8407966151107972,0.012721538343431753,0.7135665054347355,1.0,False,1.0,False,0.006961897751115201,0.012721538343431753
stacktrace_depth,0.0004047611092385453,0.9906820334984949,-0.012501474551356343,0.7183086786337507,1.0,False,1.0,False,0.0004047611092385453,0.012501474551356343
automated_readability_index,0.020120159254529695,0.5615186272368754,0.011916889757567517,0.7309582176926714,1.0,False,1.0,False,0.020120159254529695,0.011916889757567517
structural_completeness,0.015259370392013513,0.6597158938754666,0.011674006136268154,0.7362356361631659,1.0,False,1.0,False,0.015259370392013513,0.011674006136268154
context_richness,0.0029395094007143886,0.9324092002151414,0.01146614723139376,0.7407619275256773,1.0,False,1.0,False,0.0029395094007143886,0.01146614723139376
num_versions,-0.011354197777755854,0.7432034427303307,0.010777722432387471,0.7558162019484738,1.0,False,1.0,False,0.011354197777755854,0.010777722432387471
potential_vague_steps,-0.010001779886851534,0.7728956384179654,-0.010001779886851539,0.7728956384179644,1.0,False,1.0,False,0.010001779886851534,0.010001779886851539
num_temporal_markers,0.05124159463169773,0.1390201513322105,-0.008615821267672023,0.8036720782163997,1.0,False,1.0,False,0.05124159463169773,0.008615821267672023
description_chars,-0.0069909911748742525,0.8401402519193881,0.006976543635190613,0.8404661822989021,1.0,False,1.0,False,0.0069909911748742525,0.006976543635190613
modal_density,0.02085414866153096,0.5473260260365042,-0.005286325965287426,0.8787706303901759,1.0,False,1.0,False,0.02085414866153096,0.005286325965287426
num_modal_verbs,-0.016228100008531587,0.6395976102983978,-0.005184219796670812,0.8810946415552737,1.0,False,1.0,False,0.016228100008531587,0.005184219796670812
summary_chars,-0.004872261707060524,0.8882012869437481,-0.0039196730956236,0.9099551829133141,1.0,False,1.0,False,0.004872261707060524,0.0039196730956236
has_steps,0.0028730651035707433,0.9339334835259978,0.0028730651035707316,0.9339334835259967,1.0,False,1.0,False,0.0028730651035707433,0.0028730651035707316
