feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
summary_chars,0.3512971140261532,1.1668375654336254e-25,0.3810276972963401,3.0400218064643632e-30,5.0174015313645894e-24,True,1.307209376779676e-28,True,0.3512971140261532,0.3810276972963401
info_richness,0.32583774160728074,4.1864105417878362e-22,0.349255950129449,2.3137741582058037e-25,1.7582924275508913e-20,True,9.717851464464376e-24,True,0.32583774160728074,0.349255950129449
n_sentences,0.06092785316770262,0.07847716718434844,0.34280629961189407,1.9475242680023107e-24,1.0,False,7.984849498809473e-23,True,0.06092785316770262,0.34280629961189407
description_chars,0.16897499897782753,9.070420783421551e-07,0.3417055781954434,2.7875535466376157e-24,2.8118304428606805e-05,True,1.1150214186550462e-22,True,0.16897499897782753,0.3417055781954434
n_tokens,0.1628607886638913,2.2379875759297215e-06,0.341204807152064,3.2799757066507675e-24,6.713962727789164e-05,True,1.2791905255937994e-22,True,0.1628607886638913,0.341204807152064
n_words,0.1408387920879896,4.426600987835139e-05,0.33847632931124816,7.916567779060409e-24,0.001239448276593839,True,3.0082957560429552e-22,True,0.1408387920879896,0.33847632931124816
has_version_info,0.3201991697009634,2.3170467038277318e-21,0.3337532183970461,3.564296951197318e-23,9.4998914856937e-20,True,1.3187898719430075e-21,True,0.3201991697009634,0.3337532183970461
flesch_reading_ease,0.19859300464194796,7.133029854438208e-09,0.32260969961319524,1.1198997129218492e-21,2.4965604490533727e-07,True,4.031638966518657e-20,True,0.19859300464194796,0.32260969961319524
num_causal_markers,0.12596321743235034,0.00026329390041220514,0.3214045568123587,1.6121247694755977e-21,0.006845641410717334,True,5.642436693164592e-20,True,0.12596321743235034,0.3214045568123587
causal_density,0.21553077218776995,3.1172899310352217e-10,0.3154480227971806,9.52673760836355e-21,1.1533972744830321e-08,True,3.239090786843607e-19,True,0.21553077218776995,0.3154480227971806
context_richness,0.2560026610303298,5.823277293367069e-14,0.28584092008700257,3.6457739738017425e-17,2.212845371479486e-12,True,1.203105411354575e-15,True,0.2560026610303298,0.28584092008700257
num_versions,0.09070010650166839,0.008731695691292491,0.2798055048072221,1.7458831824768044e-16,0.16590221813455733,False,5.586826183925774e-15,True,0.09070010650166839,0.2798055048072221
structural_completeness,0.19896095797452568,6.68289420520231e-09,0.24782137650190225,3.7575780716238123e-13,2.4058419138728317e-07,True,1.1648492022033819e-11,True,0.19896095797452568,0.24782137650190225
gunning_fog,0.2768548659793785,3.7028620067922836e-16,0.2376385293980519,3.488462424415523e-12,1.4441161826489907e-14,True,1.0465387273246569e-10,True,0.2768548659793785,0.2376385293980519
num_steps_y,0.07021631396376332,0.042513226567643635,0.2311380609726601,1.372306821967972e-11,0.7227248516499418,False,3.979689783707119e-10,True,0.07021631396376332,0.2311380609726601
smog_index,0.308129074455152,8.004802468994287e-20,0.22723015114134285,3.0656613515878624e-11,3.201920987597715e-18,True,8.583851784446014e-10,True,0.308129074455152,0.22723015114134285
coleman_liau_index,0.1798819909269403,1.6687920349722593e-07,0.21310040611199446,4.965653488770782e-10,5.507013715408456e-06,True,1.340726441968111e-08,True,0.1798819909269403,0.21310040611199446
automated_readability_index,0.1942251919647375,1.531838951269946e-08,0.21107441706650984,7.289474360736069e-10,5.208252434317817e-07,True,1.895263333791378e-08,True,0.1942251919647375,0.21107441706650984
has_stacktrace,0.1745285882709448,3.881404095278977e-07,0.20995105312006382,9.003696584703614e-10,1.2420493104892726e-05,True,2.2509241461759036e-08,True,0.1745285882709448,0.20995105312006382
temporal_density,0.13184727521075928,0.00013296999608832313,0.1783980454307149,2.1141149201375608e-07,0.0035901898943847244,True,5.073875808330146e-06,True,0.13184727521075928,0.1783980454307149
