feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
summary_chars,0.3403081917366245,4.385719868187565e-24,0.3623012885508736,2.6680070086011355e-27,1.7981451459569015e-22,True,1.1472430136984882e-25,True,0.3403081917366245,0.3623012885508736
description_chars,0.26215755993591483,1.3702429241950891e-14,0.3575917501206463,1.3687266385568365e-26,5.06989881952183e-13,True,5.748651881938713e-25,True,0.26215755993591483,0.3575917501206463
info_richness,0.3886799670770483,1.6738145520103294e-31,0.3522365382392966,8.500434880787976e-26,7.197402573644416e-30,True,3.48517830112307e-24,True,0.3886799670770483,0.3522365382392966
n_tokens,0.24969764890738094,2.464672945756863e-13,0.34757185244410466,4.054905474517268e-25,8.379888015573334e-12,True,1.621962189806907e-23,True,0.24969764890738094,0.34757185244410466
n_sentences,0.1446425765802548,2.723122076101523e-05,0.3409460544503399,3.5671736543970716e-24,0.0007080117397863959,True,1.391197725214858e-22,True,0.1446425765802548,0.3409460544503399
n_words,0.2132606012499735,4.816401749695819e-10,0.3407936156676614,3.74786598220096e-24,1.5412485599026622e-08,True,1.4241890732363648e-22,True,0.2132606012499735,0.3407936156676614
has_version_info,0.3142108178430471,1.370966050868131e-20,0.3142108178430471,1.370966050868077e-20,5.346767598385711e-19,True,5.072574388211886e-19,True,0.3142108178430471,0.3142108178430471
num_causal_markers,0.14813492157475652,1.7243810055471286e-05,0.2963733043647514,2.1605003645342607e-18,0.00048282668155319604,True,7.777801312323339e-17,True,0.14813492157475652,0.2963733043647514
causal_density,0.1957139114411665,1.1828393637692071e-08,0.2874844168321544,2.3641161203384183e-17,3.548518091307621e-07,True,8.274406421184464e-16,True,0.1957139114411665,0.2874844168321544
flesch_reading_ease,0.1413884507505248,4.129610876151436e-05,0.2845268757958125,5.144081823273651e-17,0.001032402719037859,True,1.7489878199130415e-15,True,0.1413884507505248,0.2845268757958125
context_richness,0.2572429747719369,4.3638853095474885e-14,0.27637739513010084,4.1783518987022255e-16,1.5709987114370959e-12,True,1.3788561265717344e-14,True,0.2572429747719369,0.27637739513010084
num_versions,0.11990454273521334,0.0005163095757824779,0.2662799541658627,5.088854713459698e-15,0.010326191515649556,True,1.6284335083071035e-13,True,0.11990454273521334,0.2662799541658627
