feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
gunning_fog,0.03719057018544276,0.28307652062719,-0.2612222771306309,1.7114052695764472e-14,1.0,False,7.359042659178723e-13,True,0.03719057018544276,0.2612222771306309
smog_index,0.06502695893807467,0.06035160464565217,-0.23314862963192529,9.023446185024086e-12,1.0,False,3.7898473977101163e-10,True,0.06502695893807467,0.23314862963192529
coleman_liau_index,0.0035681325730519825,0.9180011163830163,-0.17937582257020074,1.8094128664751758e-07,1.0,False,7.4185927525482204e-06,True,0.0035681325730519825,0.17937582257020074
automated_readability_index,0.02146211881089205,0.5357058758629768,-0.17429877201070815,4.022337804912196e-07,1.0,False,1.6089351219648784e-05,True,0.02146211881089205,0.17429877201070815
has_version_info,0.06855976808769235,0.04764837111711707,-0.17281860844607683,5.05539759345919e-07,1.0,False,1.9716050614490842e-05,True,0.06855976808769235,0.17281860844607683
description_chars,0.05418752468211972,0.1176704968403931,-0.15290487830993807,9.084179991285305e-06,1.0,False,0.00034519883966884163,True,0.05418752468211972,0.15290487830993807
num_versions,-0.01321619269744075,0.7029476356487655,-0.14925648412821318,1.485753817157289e-05,1.0,False,0.000549728912348197,True,0.01321619269744075,0.14925648412821318
n_words,0.052707622826566825,0.1280504034810866,-0.13919972247822884,5.436902434491745e-05,1.0,False,0.001957284876417028,True,0.052707622826566825,0.13919972247822884
n_sentences,0.013597012001464149,0.6948115973957535,-0.13694956052903884,7.183151513829778e-05,1.0,False,0.0025141030298404224,True,0.013597012001464149,0.13694956052903884
redundancy,0.09766693729578471,0.0047317882647662365,0.12956688628614862,0.00017386880618949739,0.179807954061117,False,0.005911539410442911,True,0.09766693729578471,0.12956688628614862
context_richness,0.08372264601348839,0.015524528464967895,-0.1267511363242149,0.0002406784517773932,0.5123094393439406,False,0.007942388908653975,True,0.08372264601348839,0.1267511363242149
n_tokens,0.08077937585550285,0.01956695382792861,-0.11806509027669451,0.0006296632715666468,0.6258443824683078,False,0.020149224690132698,True,0.08077937585550285,0.11806509027669451
info_richness,0.12011277149748147,0.0005047500883677874,-0.11567018660262673,0.0008119541819456733,0.020190003534711495,True,0.02517057964031587,True,0.12011277149748147,0.11567018660262673
num_steps_y,0.04488067395963085,0.19511384978769286,-0.10863513824818473,0.0016678840036882052,1.0,False,0.05003652011064616,False,0.04488067395963085,0.10863513824818473
has_code,0.04398869953332896,0.20414729511965013,-0.10373175554043569,0.0026902395344836397,1.0,False,0.07801694650002555,False,0.04398869953332896,0.10373175554043569
structural_completeness,0.06119341067799182,0.07718223153130663,-0.07948601978125887,0.021615822619795326,1.0,False,0.6052430333542691,False,0.06119341067799182,0.07948601978125887
flesch_reading_ease,0.174665088816519,3.7999603207466534e-07,0.06683551396819079,0.05353633346176526,1.633982937921061e-05,True,1.0,False,0.174665088816519,0.06683551396819079
num_negative_modals,-0.006857935391271148,0.8431429612622223,-0.061999047522261354,0.07335972268355331,1.0,False,1.0,False,0.006857935391271148,0.061999047522261354
num_causal_markers,0.09679999353212,0.005117315721547679,-0.061067937590518366,0.07779189233901185,0.18934068169726412,False,1.0,False,0.09679999353212,0.061067937590518366
num_browser_mentions,0.08944036592831299,0.009714936548455278,0.05870319352172882,0.09003180793648029,0.3303078426474795,False,1.0,False,0.08944036592831299,0.05870319352172882
has_steps,0.000891491879969843,0.9794788445061696,-0.05676773462646933,0.10116204998226924,1.0,False,1.0,False,0.000891491879969843,0.05676773462646933
ambiguity,-0.0008726932959742962,0.9799114748216368,-0.056016802530147514,0.10576448509589237,1.0,False,1.0,False,0.0008726932959742962,0.056016802530147514
has_patch,0.06480621435263884,0.061230575047724035,0.049139482878076526,0.15599160862429567,1.0,False,1.0,False,0.06480621435263884,0.049139482878076526
has_enumeration,0.09174923069977856,0.007981652252862513,0.046916237617768856,0.1756012194409949,0.28733948110305046,False,1.0,False,0.09174923069977856,0.046916237617768856
causal_density,0.15535290898383466,6.4883547408581606e-06,-0.04443329550039282,0.19960739905671335,0.00026602254437518456,True,1.0,False,0.15535290898383466,0.04443329550039282
steps_with_objects,0.02493353279106561,0.471819941196971,0.04193413883909327,0.2261018649789186,1.0,False,1.0,False,0.02493353279106561,0.04193413883909327
completeness_score,0.02493353279106561,0.471819941196971,0.04193413883909327,0.2261018649789186,1.0,False,1.0,False,0.02493353279106561,0.04193413883909327
clarity_score,-0.056508456710825,0.10273281136900735,-0.0385645317415142,0.2656570864010593,1.0,False,1.0,False,0.056508456710825,0.0385645317415142
has_stacktrace,0.07074952085535292,0.04096311294647657,-0.03518426809416074,0.30987284561505857,1.0,False,1.0,False,0.07074952085535292,0.03518426809416074
potential_vague_steps,-0.02014221103112597,0.5610896529715291,-0.029634331082610668,0.3924240979228588,1.0,False,1.0,False,0.02014221103112597,0.029634331082610668
stacktrace_depth,-0.022372855637080122,0.5185341794855165,-0.0285810427725994,0.40947403035231866,1.0,False,1.0,False,0.022372855637080122,0.0285810427725994
modal_density,0.10676097731308239,0.0020068557239997387,0.02820552821818857,0.41565739987967887,0.07826737323598981,False,1.0,False,0.10676097731308239,0.02820552821818857
num_modal_verbs,0.07690370456205281,0.02626977371725898,0.026679156301481294,0.44135159677389946,0.7880932115177695,False,1.0,False,0.07690370456205281,0.026679156301481294
num_caused_by,0.011131708522514262,0.7480633685019786,0.024279465204795236,0.48352733198771314,1.0,False,1.0,False,0.011131708522514262,0.024279465204795236
has_os_info,0.05702228716422978,0.09963855281262694,0.016564676107674293,0.6326682145572127,1.0,False,1.0,False,0.05702228716422978,0.016564676107674293
num_os_mentions,0.05339294900406568,0.12315849285437712,0.01636050220167443,0.6368679364264738,1.0,False,1.0,False,0.05339294900406568,0.01636050220167443
