feature,target,spearman_rho,p_value,significant
num_buggy_files,num_tools_fixed,-0.2014,0.0,True
txt_description_line_count,num_tools_fixed,0.1863,0.0,True
txt_title_digit_density,num_tools_fixed,0.1852,0.0,True
project_java_bytes,num_tools_fixed,-0.1722,0.0,True
fg_cat_Other (Logic),num_tools_fixed,-0.169,0.0,True
txt_title_avg_sentence_len,num_tools_fixed,0.1673,0.0,True
project_num_java_files,num_tools_fixed,-0.1648,0.0,True
txt_title_word_count,num_tools_fixed,0.1611,0.0,True
num_versions,num_tools_fixed,0.1414,4e-05,True
description_length,num_tools_fixed,0.1322,0.00013,True
txt_description_uniq_word_ratio,num_tools_fixed,-0.1148,0.00089,True
buggy_vocab_size,num_tools_fixed,-0.1092,0.00157,True
fg_cat_Null pointer dereference,num_tools_fixed,0.106,0.00215,True
ari,num_tools_fixed,-0.0996,0.00396,True
kincaid,num_tools_fixed,-0.098,0.00461,True
flesch,num_tools_fixed,0.094,0.00659,True
fg_cat_Exception handling,num_tools_fixed,0.0935,0.00685,True
num_exception_types,num_tools_fixed,0.0934,0.0069,True
embedding_cluster_distance,num_tools_fixed,0.0908,0.00867,True
has_code,num_tools_fixed,0.0906,0.00877,True
coleman_liau,num_tools_fixed,-0.0902,0.0091,True
smog,num_tools_fixed,-0.0876,0.01132,True
jira_num_components,num_tools_fixed,0.0847,0.01441,True
p5_fix_feasible,num_tools_fixed,0.0825,0.01709,True
reasoning_composite,num_tools_fixed,0.0818,0.01804,True
reasoning_quality,num_tools_fixed,0.0818,0.01804,True
z_actionability,num_tools_fixed,0.0813,0.01882,True
txt_description_avg_sentence_len,num_tools_fixed,0.0801,0.02055,True
repair_feasibility,num_tools_fixed,0.0799,0.0209,True
causal_reasoning_score,num_tools_fixed,0.0784,0.02351,True
z_hidden_reproducibility,num_tools_fixed,-0.0778,0.02458,True
spec_reasoning_product,num_tools_fixed,0.0741,0.03225,True
clarity,num_tools_fixed,0.074,0.03262,True
stacktrace_depth,num_tools_fixed,0.0737,0.03327,True
embedding_cluster_size,num_tools_fixed,-0.0726,0.03586,True
root_cause_evidence,num_tools_fixed,0.0721,0.03738,True
cohens_kappa,num_tools_fixed,0.071,0.04035,True
code_vocab_overlap_ratio,num_tools_fixed,0.0695,0.04457,True
technical_completeness,num_tools_fixed,0.0692,0.04569,True
percent_agreement,num_tools_fixed,0.0685,0.04785,True
actionability,num_tools_fixed,0.0676,0.05083,False
code_vocab_jaccard,num_tools_fixed,0.0665,0.05462,False
num_OB,num_tools_fixed,-0.0651,0.06007,False
fg_cat_Processing,num_tools_fixed,0.0642,0.06359,False
report_code_specificity_ratio,num_tools_fixed,-0.0635,0.06686,False
cat___other__,num_tools_fixed,-0.063,0.06867,False
cat_Functional Issue,num_tools_fixed,0.063,0.06867,False
fg_cat___missing__,num_tools_fixed,-0.063,0.06867,False
quality_composite,num_tools_fixed,0.0623,0.0718,False
jira_num_attachments,num_tools_fixed,0.0611,0.0774,False
fg_cat___other__,num_tools_fixed,0.0584,0.0915,False
z_ambiguity,num_tools_fixed,-0.0578,0.09512,False
z_clarity,num_tools_fixed,0.0557,0.10789,False
jira_has_patch_attachment,num_tools_fixed,0.0551,0.11146,False
has_enumeration,num_tools_fixed,0.0527,0.12822,False
