feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
project_num_java_files,22,287,76.0,680.0,177.63636363636363,601.0627177700349,-604.0,984.0,7.466075376162499e-08,-0.6883116883116883,large,3.882359195604499e-06,True,True,0.6883116883116883,True
project_java_bytes,22,287,734031.0,5417731.0,1871437.2727272727,6064554.010452962,-4683700.0,1099.0,3.4975453642901717e-07,-0.6518847006651884,large,1.7837481357879875e-05,True,True,0.6518847006651884,True
embedding_cluster_distance,22,287,0.5729429055426131,-0.1864302071397636,0.6971118800487179,-0.3150154372752349,0.7593731126823766,5135.0,9.74185715714825e-07,0.6265441875197972,large,4.870928578574125e-05,True,True,0.6265441875197972,True
txt_description_avg_sentence_len,22,287,1.0159583231230074,-0.9179121289234364,0.7143659498383979,-0.2924368513306715,1.9338704520464438,5000.5,2.056201467638889e-06,0.5839404497941083,large,9.869767044666666e-05,True,True,0.5839404497941083,True
flesch,22,287,33.0,7.93,32.186818181818175,-7.156520055983717,25.07,4868.5,2.270106861259852e-05,0.5421286031042128,large,0.001044249156179532,True,True,0.5421286031042128,True
ari,22,287,20.3,29.6,21.577272727272724,35.197877432146775,-9.3,1467.0,2.872639366600215e-05,-0.535318340196389,large,0.0012926877149700966,True,True,0.535318340196389,True
z_repair_readiness,22,287,0.9370425713316364,0.2013468165642074,0.767091888726545,0.14510646770628677,0.735695754767429,4775.0,6.177731874677984e-05,0.5125118783655369,large,0.002656424706111533,True,True,0.5125118783655369,True
txt_description_line_count,22,287,0.41096734596378315,-0.5967488977391603,0.1256500962406606,-0.2813325712604589,1.0077162437029434,4756.5,3.0889704696558704e-05,0.5066518847006651,large,0.001359147006648583,True,True,0.5066518847006651,True
txt_title_avg_sentence_len,22,287,1.1100682659142673,-0.70287777031615,0.6010860899672251,-0.3491322022711905,1.8129460362304173,4698.5,1.977631505809394e-06,0.48828001267025656,large,9.69039437846603e-05,True,True,0.48828001267025656,True
kincaid,22,287,13.2,15.8,12.82727272727273,17.541101986276754,-2.6000000000000014,1696.5,0.00030010383600912794,-0.46262274311054796,medium,0.012604361112383373,True,True,0.46262274311054796,True
description_length,22,287,0.1232845258470229,-0.530315679162554,0.12285371903948228,-0.29347862638216005,0.6536002050095768,4540.0,0.0003687374429707232,0.4380741210009503,medium,0.01511823516179965,True,True,0.4380741210009503,True
embedding_cluster_size,22,287,-0.5748438169972881,0.4146459595637947,-0.39702852945459893,0.3623692125969505,-0.9894897765610828,1818.0,0.0006306274182109086,-0.4241368387709851,medium,0.025225096728436345,True,True,0.4241368387709851,True
txt_title_digit_density,22,287,0.3853603731095697,-0.6450552541976357,0.12275029330346086,-0.375472863773133,1.0304156273072054,4481.0,1.0782471949516615e-05,0.41938549255622426,medium,0.0005067761816272809,True,True,0.41938549255622426,True
code_vocab_jaccard,22,287,0.07987301976155475,0.0554156171284634,0.09221275438387244,0.06280557317016686,0.024457402633091353,4470.0,0.0011548287731415591,0.415901171998733,medium,0.04425720211576451,True,True,0.415901171998733,True
num_causal_markers,22,287,0.1491459417180017,-0.4554019288379759,0.32776235801863146,-0.04569962631833253,0.6045478705559776,4444.0,0.001134800054250372,0.4076655052264808,medium,0.04425720211576451,True,True,0.4076655052264808,True
z_hidden_reproducibility,22,287,-1.8251739020007172,-1.289276557823492,-1.848632856351661,-1.382515645338983,-0.5358973441772252,1899.0,0.00184315386335186,-0.39847956921127653,medium,0.06819669294401882,False,False,0.39847956921127653,False
technical_completeness,22,287,0.7,0.3,0.5954545454545456,0.372938443670151,0.39999999999999997,4382.5,0.0022229966451168316,0.38818498574596133,medium,0.08002787922420594,False,False,0.38818498574596133,False
z_specificity,22,287,0.0780868809443029,0.5607721540920443,0.007663710857358023,0.4293248947928418,-0.4826852731477414,1954.0,0.0029004086263376624,-0.38105796642382006,medium,0.10151430192181818,False,False,0.38105796642382006,False
z_ambiguity,22,287,0.0780868809443029,0.4180398085749705,-0.036223748936716,0.47922144456783994,-0.3399529276306676,2083.5,0.007874459930695854,-0.34003801076971807,medium,0.2598571777129632,False,False,0.34003801076971807,False
z_clarity,22,287,1.2116215975508249,1.0098386065601943,1.2137252519108122,0.8645702709126059,0.20178299099063057,4211.5,0.00904462246045325,0.33401963889768765,medium,0.289427918734504,False,False,0.33401963889768765,False
z_technical_context,22,287,-0.5478623675380534,-0.1547131869388191,-0.5040562331069461,-0.11505256659985882,-0.3931491805992343,2112.5,0.009718970555219633,-0.3308520747545138,medium,0.3012880872118086,False,False,0.3308520747545138,False
spec_reasoning_product,22,287,12.5,4.0,11.5,7.606271777003484,8.5,4154.5,0.012962480153568713,0.31596452328159647,small,0.3888744046070614,False,False,0.31596452328159647,False
z_root_cause_evidence,22,287,-0.7808688094430304,-1.276884796138123,-0.7549906256215047,-1.1977439144538409,0.4960159866950925,4146.0,0.014359239574821858,0.3132720937598986,small,0.41641794766983387,False,False,0.3132720937598986,False
quality_composite,22,287,0.7,0.65,0.7204545454545455,0.5597560975609756,0.04999999999999993,4116.0,0.017383574561265012,0.30376940133037694,small,0.4867400877154203,False,False,0.30376940133037694,False
cohens_kappa,22,287,0.75862812769629,0.6315789473684209,0.7068974937366801,0.6035328276671644,0.12704918032786905,4070.0,0.023857095000192098,0.289198606271777,small,0.6441415650051866,False,False,0.289198606271777,False
code_vocab_overlap_count,22,287,21.0,18.0,25.136363636363637,21.310104529616726,3.0,4029.5,0.030763112329825315,0.2763699714919227,small,0.7998409205754582,False,False,0.2763699714919227,False
num_versions,22,287,-0.0494572680454745,-0.3124943305803233,-0.08532595839113571,-0.13010974715023652,0.26303706253484876,3910.0,0.04099036488519133,0.23851757998099463,small,1.0,False,False,0.23851757998099463,False
percent_agreement,22,287,0.8958333333333334,0.8541666666666666,0.8759469696969696,0.8326800232288039,0.04166666666666674,3874.5,0.07517342244886266,0.22727272727272727,small,1.0,False,False,0.22727272727272727,False
jira_num_attachments,22,287,0.0,0.0,0.5,0.17073170731707318,0.0,3832.5,0.0037392248195451823,0.2139689578713969,small,0.1271336438645362,False,False,0.2139689578713969,False
specificity_repro_gap,22,287,0.0,0.0,-0.3181818181818182,0.020905923344947737,0.0,2487.0,0.05431198958632951,-0.21222679759265126,small,1.0,False,False,0.21222679759265126,False
