feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
repair_difficulty,41,320,-0.6545677804703322,0.0684006013983548,-0.8838016576482084,0.4682924876194723,-0.722968381868687,1935.5,1.65189625197918e-14,-0.7049542682926829,large,1.3710738891427195e-12,True,True,0.7049542682926829,True
causal_reasoning_quality,41,320,0.8480647640971679,-0.1521246116388988,0.7382878813944287,-0.46468379155641965,1.0001893757360667,10882.5,5.523446926946725e-13,0.6589176829268293,large,4.473992010826847e-11,True,True,0.6589176829268293,True
txt_title_digit_density,41,320,0.5325447979627962,-0.6450552541976357,0.7134336020374987,-0.3093699221302173,1.177600052160432,10799.0,1.2779441916757345e-15,0.646189024390244,large,1.0734731210076169e-13,True,True,0.646189024390244,True
reasoning_composite,41,320,0.7333182500071839,-0.054401396762969095,0.7205098004662057,-0.4285682289787915,0.7877196467701529,10699.0,1.2920217793989163e-11,0.6309451219512195,large,1.033617423519133e-09,True,True,0.6309451219512195,True
summary_chars,41,320,0.7578033692627484,-0.8058683276097268,0.7983631848610665,-0.34281673880374086,1.563671696872475,10647.0,1.6915437578192851e-13,0.6230182926829269,large,1.3870658814118138e-11,True,True,0.6230182926829269,True
actionability,41,320,0.8491089986580442,-0.163033776330488,0.7133337483547044,-0.4635136626552085,1.0121427749885323,10610.0,1.3742012636234446e-11,0.6173780487804879,large,1.0856189982625213e-09,True,True,0.6173780487804879,True
clarity,41,320,0.7623879238337528,0.2638805499878769,0.6529594759163654,-0.4573973065453746,0.49850737384587585,10330.0,2.049691356582065e-10,0.5746951219512195,large,1.5987592581340106e-08,True,True,0.5746951219512195,True
specificity,41,320,0.8878201148650916,-0.1318907460872489,0.639110148779155,-0.43621070615271307,1.0197108609523404,10082.5,4.37469024483445e-09,0.5369664634146342,large,3.3247645860741817e-07,True,True,0.5369664634146342,True
technical_depth,41,320,0.627005794172899,-0.4775297293173347,0.6404757395813165,-0.42230295314282296,1.1045355234902337,10077.0,5.82393942630234e-09,0.5361280487804878,large,4.3679545697267554e-07,True,True,0.5361280487804878,True
expected_observed_alignment,41,320,0.7027131095927159,0.2181834262649555,0.6199885295123666,-0.4556156646127113,0.4845296833277605,9985.0,3.78439651225946e-09,0.5221036585365854,large,2.9139853144397845e-07,True,True,0.5221036585365854,True
embedding_cluster_distance,41,320,0.5186335150842991,-0.1981856717624665,0.5069860479702827,-0.3301261951677147,0.7168191868467656,9841.0,1.839067480197961e-07,0.5001524390243902,large,1.3057379109405524e-05,True,True,0.5001524390243902,True
ambiguity_type_count,41,320,-0.6117211791839219,-0.2197125954398122,-0.6021599942145534,0.4589522651671773,-0.3920085837441097,3323.0,5.9051905470795455e-09,-0.49344512195121953,large,4.3698410048388635e-07,True,True,0.49344512195121953,True
description_length,41,320,0.1375011504958648,-0.43736082568935697,0.30973658057551773,-0.22726918700853888,0.5748619761852218,9683.5,3.3538751453060216e-07,0.4761432926829268,large,2.2806350988080947e-05,True,True,0.4761432926829268,True
has_input_ambiguity,41,320,0.0,0.0,0.0,0.45625,0.0,3567.0,2.1975937652107334e-08,-0.45625,medium,1.6042434486038353e-06,True,True,0.45625,True
num_versions,41,320,-0.0494572680454745,-0.3124943305803233,0.043568034558313457,-0.11768250614045091,0.26303706253484876,9433.5,1.2424960094491087e-06,0.43803353658536587,medium,8.324723263309028e-05,True,True,0.43803353658536587,True
embedding_cluster_separation,41,320,-0.2307663938029996,0.39615677044673536,-0.30833435252825453,0.3574352923892358,-0.6269231642497349,3728.0,6.758732966646831e-06,-0.4317073170731707,medium,0.00043931764283204405,True,True,0.4317073170731707,True
txt_title_avg_word_len,41,320,0.1014199160671075,-0.3969089280843758,0.40787284525577217,-0.24192271078065275,0.49832884415148326,9379.0,2.0802163835389155e-07,0.4297256097560976,medium,1.4561514684772408e-05,True,True,0.4297256097560976,True
technical_depth_consistency,41,320,-0.2582658009706877,0.2728966222079432,-0.43963833571461003,0.23969897075927854,-0.5311624231786309,3741.5,6.180226501052481e-06,-0.4296493902439024,medium,0.00040789494906946376,True,True,0.4296493902439024,True
txt_root_cause_guess_hedge_count,41,320,-0.5556774509255208,-0.5556774509255208,-0.5556774509255208,0.415876620156505,0.0,3854.0,2.531735856712634e-07,-0.4125,medium,1.7468977411317175e-05,True,True,0.4125,True
embedding_cluster_size,41,320,-0.3447299154714549,0.2995890088008781,-0.417131606439339,0.2791664000404605,-0.644318924272333,4179.5,0.0001101810868146979,-0.3628810975609756,medium,0.007051589556140665,True,True,0.3628810975609756,True
txt_reasoning_avg_word_len,41,320,0.328672139913062,-0.3743988649885619,0.34670961772970543,-0.275610705422275,0.7030710049016239,8896.5,0.00020467028650709862,0.3561737804878049,medium,0.012894228049947214,True,True,0.3561737804878049,True
concept_network_concept_breadth,41,320,0.410786675927473,0.410786675927473,0.3943504847156545,-0.34522675671864056,0.0,8611.0,0.0005718417109910155,0.3126524390243902,small,0.03545418608144296,True,True,0.3126524390243902,True
num_causal_markers,41,320,-0.1531279935599871,-0.4554019288379759,0.22287129178580384,-0.0388306617829976,0.30227393527798885,8368.5,0.003352709215486943,0.2756859756097561,small,0.19780984371372964,False,False,0.2756859756097561,False
semantic_spread_pc2,41,320,0.26132116980899,0.0772301987067906,0.23847850811958846,-0.24503621943229098,0.1840909711021994,8232.0,0.00787447580925918,0.2548780487804878,small,0.4567195969370324,False,False,0.2548780487804878,False
concept_network_concept_diversity,41,320,1.1488488106353942,-0.6994917613887949,0.29230074067296513,-0.19119810408214283,1.8483405720241892,8198.0,0.000966968812544551,0.2496951219512195,small,0.05898509756521761,False,False,0.2496951219512195,False
embedding_max,41,320,-0.384188678298392,0.08708708076816235,-0.2342272663968569,0.1778110426190357,-0.47127575906655433,5070.0,0.017893613798670563,-0.22713414634146342,small,0.9483615313295398,False,False,0.22713414634146342,False
consistency_composite,41,320,-0.4739452334513807,0.1293234707131055,-0.2017386230356979,0.18352339335288365,-0.6032687041644862,5088.5,0.019252217506736117,-0.2243140243902439,small,1.0,False,False,0.2243140243902439,False
completeness_score,41,320,0.8858602704917822,-0.1877149484641514,0.25742599598099175,-0.17429525822720227,1.0735752189559336,8013.0,0.015587984210319681,0.2214939024390244,small,0.8417511473572628,False,False,0.2214939024390244,False
txt_reasoning_hedge_count,41,320,-0.3672299048237221,-0.3672299048237221,-0.3078731548183392,0.279202200703651,0.0,5177.5,0.0019285506453415448,-0.2107469512195122,small,0.11571303872049268,False,False,0.2107469512195122,False
embedding_mean,41,320,0.4680085685009678,0.0503158042304711,0.34212936433716634,0.0007686896829424014,0.4176927642704967,7934.0,0.02900558438555899,0.2094512195121951,small,1.0,False,False,0.2094512195121951,False
embedding_sparsity,41,320,-0.1750508202276619,-0.0303305876632091,-0.31271152925238294,-0.0009342904235545568,-0.14472023256445282,5274.5,0.040740761501344445,-0.19596036585365853,small,1.0,False,False,0.19596036585365853,False
txt_likely_impacted_code_concepts_avg_word_len,41,320,-0.2629823000844996,-0.1462390483573012,-0.27291983672714265,-0.000531799035222097,-0.11674325172719838,5279.0,0.03555800644038357,-0.19527439024390245,small,1.0,False,False,0.19527439024390245,False
concept__string_manipulation,41,320,0.0,0.0,0.1951219512195122,0.021875,0.0,7696.5,1.7503263695528895e-07,0.1732469512195122,small,1.2602349860780804e-05,True,True,0.1732469512195122,False
num_temporal_markers,41,320,-0.4635308650875505,-0.4635308650875505,0.21227776235498505,-0.008943968034407468,0.0,7600.0,0.03914492135363667,0.15853658536585366,small,1.0,False,False,0.15853658536585366,False
semantic_coherence,41,320,-0.2834875088432844,-0.1068341717163521,-0.12580460910165192,0.2525694345560986,-0.1766533371269323,5671.0,0.157783759505148,-0.13551829268292684,negligible,1.0,False,False,0.13551829268292684,False
num_browser_mentions,41,320,-0.390976846636182,-0.390976846636182,-0.26941078186566925,0.09965619289855923,0.0,5687.0,0.03165915825089423,-0.13307926829268293,negligible,1.0,False,False,0.13307926829268293,False
ambiguity,41,320,-0.5855868655187282,-0.5855868655187282,-0.25590666753926933,-0.0009601357290740742,0.0,5696.0,0.12292588491230859,-0.13170731707317074,negligible,1.0,False,False,0.13170731707317074,False
concept_network_logic_concepts,41,320,-0.5091620179301407,-0.5091620179301407,0.09117856418646296,-0.1944948662241368,0.0,7397.5,0.033858063214755825,0.12766768292682926,negligible,1.0,False,False,0.12766768292682926,False
semantic_entropy,41,320,0.3726801993164663,0.36691841085388194,0.24684384283661825,-0.12189468260346883,0.00576178846258435,7338.0,0.2164238249167214,0.11859756097560975,negligible,1.0,False,False,0.11859756097560975,False
concept_network_data_concepts,41,320,-0.2832083787067895,-0.2832083787067895,0.3679926337012296,-0.05674159805239361,0.0,7290.5,0.009559683200017119,0.11135670731707317,negligible,0.5449019424009758,False,False,0.11135670731707317,False
