tool,category,n,mean_repair_difficulty,median_repair_difficulty,std_repair_difficulty
BRaIn,fg_cat_Processing,16,-0.5190112088699533,-0.6545677804703322,0.7092832002363436
BRaIn,cat_Functional Issue,25,-0.27862422189861497,0.0684006013983548,0.8379366768363755
FlexFL,fg_cat_Exception handling,12,-0.654567780470332,-0.6545677804703322,0.8156183341236817
FlexFL,fg_cat_Null pointer dereference,8,-0.5641967327367463,-0.6545677804703322,0.6033337143099651
FlexFL,fg_cat_Other (Logic),33,1.3609804356484316,1.5143373651357288,0.5034105649831395
FlexFL,fg_cat_Processing,56,-0.2801734398597621,0.0684006013983548,0.49690737532180734
FlexFL,cat_Functional Issue,114,0.12547705259851433,0.0684006013983548,0.9625186323512923
boostnsift,cat_Functional Issue,13,-0.09843825595595757,0.0684006013983548,0.8428007931834713
buglocator,fg_cat_Processing,8,-0.02197044633523107,0.0684006013983548,0.255607922701407
buglocator,cat_Functional Issue,12,0.008153236242630896,0.0684006013983548,0.5732860644147997
locus,cat_Functional Issue,10,0.2129942777720922,0.0684006013983548,0.8207805270126993
