project,bug_id,tool,detected,rank,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Chart,1,boostnsift,Yes,1693,43.391459941864014,2025-11-05T15:01:15.694810,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,1,buglocator,Yes,14,0.007677793502807617,2025-11-15T23:43:32.013111,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,1,locus,Yes,2,17.648810148239136,2025-11-05T14:02:09.328946,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Chart,2,boostnsift,Yes,229,39.549596071243286,2025-11-05T15:04:06.083735,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,2,buglocator,Yes,3,0.003653287887573242,2025-11-15T23:43:32.019583,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Chart,2,locus,No,N/A,129.43241262435913,2025-11-05T15:05:34.507780,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,5,boostnsift,Yes,492,37.52573871612549,2025-11-05T15:05:38.426055,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,5,buglocator,Yes,1,0.0021164417266845703,2025-11-15T23:43:32.019006,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,5,locus,Yes,1,54.81646728515625,2025-11-05T15:05:00.900250,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,9,boostnsift,Yes,210,36.4014790058136,2025-11-05T15:06:14.827586,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,9,buglocator,Yes,1,0.0017635822296142578,2025-11-15T23:43:32.020830,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,9,locus,Yes,1,44.85454344749451,2025-11-05T15:06:19.362387,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,11,boostnsift,Yes,112,36.716718912124634,2025-11-05T15:01:34.123623,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,11,buglocator,Yes,1,0.004160404205322266,2025-11-15T23:43:32.011549,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,11,locus,No,N/A,6.656730890274048,2025-11-05T11:11:40.504625,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,12,boostnsift,Yes,50,37.096739768981934,2025-11-05T15:02:11.220417,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,12,buglocator,Yes,1,0.002959728240966797,2025-11-15T23:43:32.014547,2025-12-02T15:34:15.908959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,12,locus,No,N/A,50.69382166862488,2025-11-05T15:02:06.388679,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,16,boostnsift,Yes,1222,35.96269369125366,2025-11-05T15:02:47.183168,2025-12-07T16:19:36.950941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
