,Identifier,Active,Deprecated,alpharepair,arja-e,chatrepair,circle,coconut,codex,cure,dear,dlfix,fitrepair,gamma,iter,knod,liana,mcrepair,mulpor,rap-gen,recoder,repilot,rewardrepair,selfapr,t5apr,tare,tenure,thinkrepair,transfer
Chart-1,Chart,TRUE,FALSE,Chart-1,,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,Chart-1,,Chart-1,
Chart-2,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-3,Chart,TRUE,FALSE,,Chart-3,,,,,,,,,,,,,,,,Chart-3,,,,,Chart-3,Chart-3,,
Chart-4,Chart,TRUE,FALSE,Chart-4,Chart-4,Chart-4,,,,,,,,,,Chart-4,Chart-4,,Chart-4,,Chart-4,,,,Chart-4,Chart-4,Chart-4,Chart-4,
Chart-5,Chart,TRUE,FALSE,,Chart-5,Chart-5,,,,,,,,,,,,,,,,,,Chart-5,,Chart-5,,,
Chart-6,Chart,TRUE,FALSE,,,Chart-6,,,,,,,,,,,,,,,,,,,,,,,
Chart-7,Chart,TRUE,FALSE,,,Chart-7,Chart-7,,,,Chart-7,,,,Chart-7,,,,Chart-7,Chart-7,Chart-7,,,Chart-7,,,,Chart-7,
Chart-8,Chart,TRUE,FALSE,Chart-8,,Chart-8,Chart-8,,Chart-8,Chart-8,,,Chart-8,,Chart-8,Chart-8,,Chart-8,Chart-8,Chart-8,Chart-8,Chart-8,,Chart-8,,Chart-8,Chart-8,Chart-8,
Chart-9,Chart,TRUE,FALSE,Chart-9,,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,Chart-9,,Chart-9,
Chart-10,Chart,TRUE,FALSE,,Chart-10,Chart-10,,,,,,,,,,Chart-10,,,Chart-10,,,,,,,,,Chart-10,
Chart-11,Chart,TRUE,FALSE,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,Chart-11,
Chart-12,Chart,TRUE,FALSE,Chart-12,Chart-12,Chart-12,,Chart-12,Chart-12,Chart-12,,,Chart-12,,Chart-12,Chart-12,,,Chart-12,Chart-12,Chart-12,Chart-12,Chart-12,,Chart-12,Chart-12,Chart-12,,
Chart-13,Chart,TRUE,FALSE,,,Chart-13,,,,,,,,,,,,,,,,,,Chart-13,,,,Chart-13,
Chart-14,Chart,TRUE,FALSE,Chart-14,,,Chart-14,Chart-14,,Chart-14,,,,,,Chart-14,,,Chart-14,,,,,,Chart-14,,Chart-14,,
Chart-15,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-16,Chart,TRUE,FALSE,,,,,,,,Chart-16,,,,Chart-16,,,,Chart-16,Chart-16,,,,,,,,,
Chart-17,Chart,TRUE,FALSE,,,Chart-17,,,,Chart-17,,,,,,,,,,,,,,,,,,Chart-17,
Chart-18,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-19,Chart,TRUE,FALSE,,,,,,,,Chart-19,,,,Chart-19,,,,Chart-19,,,,,,Chart-19,,,,
Chart-20,Chart,TRUE,FALSE,,,Chart-20,,,Chart-20,Chart-20,Chart-20,Chart-20,Chart-20,,Chart-20,Chart-20,,Chart-20,,Chart-20,Chart-20,Chart-20,,Chart-20,,Chart-20,,Chart-20,
Chart-21,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-22,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-23,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-24,Chart,TRUE,FALSE,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,,Chart-24,,Chart-24,,Chart-24,,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,Chart-24,
Chart-25,Chart,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart-26,Chart,TRUE,FALSE,Chart-26,,Chart-26,,Chart-26,,Chart-26,,,Chart-26,,,Chart-26,,,Chart-26,,Chart-26,,,,,Chart-26,,,
Cli-1,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-1
Cli-2,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,Cli-2,,,,,,,,,,Cli-2
Cli-3,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-3
Cli-4,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Cli-4,Cli-4
Cli-5,Cli,TRUE,FALSE,,,,,,,,,,,Cli-5,Cli-5,Cli-5,,,Cli-5,,Cli-5,,Cli-5,,Cli-5,Cli-5,Cli-5,,Cli-5
Cli-6,Cli,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Cli-7,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-7
Cli-8,Cli,TRUE,FALSE,Cli-8,,Cli-8,,,Cli-8,Cli-8,,,Cli-8,Cli-8,Cli-8,Cli-8,,,Cli-8,Cli-8,,Cli-8,Cli-8,Cli-8,Cli-8,Cli-8,,,Cli-8
Cli-9,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-9
Cli-10,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-10
Cli-11,Cli,TRUE,FALSE,Cli-11,,Cli-11,,,,,,,Cli-11,,Cli-11,Cli-11,,,,,,Cli-11,,Cli-11,Cli-11,,,Cli-11,Cli-11
Cli-12,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,Cli-12,,,,,Cli-12
Cli-13,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-13
Cli-14,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-14
Cli-15,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-15
Cli-16,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-16
Cli-17,Cli,TRUE,FALSE,Cli-17,,Cli-17,,,Cli-17,,,,Cli-17,Cli-17,Cli-17,Cli-17,,,Cli-17,Cli-17,,Cli-17,Cli-17,Cli-17,Cli-17,Cli-17,,Cli-17,Cli-17
Cli-18,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,Cli-18,Cli-18,,,Cli-18
Cli-19,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Cli-19,Cli-19
Cli-20,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-20
Cli-21,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-21
Cli-22,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-22
Cli-23,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-23
Cli-24,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,Cli-24,,,,,,,,,Cli-24,Cli-24
Cli-25,Cli,TRUE,FALSE,Cli-25,,,,,Cli-25,Cli-25,,,Cli-25,Cli-25,,Cli-25,,,,,,Cli-25,Cli-25,Cli-25,Cli-25,Cli-25,,,Cli-25
Cli-26,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-26
Cli-27,Cli,TRUE,FALSE,,,,,,,,,,,Cli-27,Cli-27,,,,Cli-27,Cli-27,,,Cli-27,Cli-27,,,Cli-27,,Cli-27
Cli-28,Cli,TRUE,FALSE,Cli-28,,Cli-28,,,Cli-28,,,,Cli-28,Cli-28,,Cli-28,,,,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28,Cli-28
Cli-29,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-29
Cli-30,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-30
Cli-31,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-31
Cli-32,Cli,TRUE,FALSE,,,,,,,,,,,Cli-32,,,,,,Cli-32,Cli-32,,,,Cli-32,Cli-32,Cli-32,,Cli-32
Cli-33,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-33
Cli-34,Cli,TRUE,FALSE,,,,,,,,,,,Cli-34,Cli-34,,,,,Cli-34,,,,,,,,,Cli-34
Cli-35,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-35
Cli-36,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-36
Cli-37,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,Cli-37,,,,Cli-37,Cli-37
Cli-38,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Cli-38,Cli-38
Cli-39,Cli,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Cli-39
Cli-40,Cli,TRUE,FALSE,,,Cli-40,,,Cli-40,,,,Cli-40,Cli-40,,,,,Cli-40,,,Cli-40,,Cli-40,Cli-40,,,Cli-40,Cli-40
Closure-1,Closure,TRUE,FALSE,,,,,,,,,,,,,Closure-1,Closure-1,,,,,,Closure-1,,,Closure-1,,,
Closure-2,Closure,TRUE,FALSE,Closure-2,,Closure-2,,,,,,,Closure-2,,,,,Closure-2,,,Closure-2,,,,Closure-2,Closure-2,Closure-2,,
Closure-3,Closure,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure-4,Closure,TRUE,FALSE,,,,Closure-4,,,,,,,,Closure-4,,,,Closure-4,,,,,,,,,,
Closure-5,Closure,TRUE,FALSE,,,Closure-5,,,,,,,Closure-5,,,Closure-5,,,,,,Closure-5,,,,Closure-5,,,
Closure-6,Closure,TRUE,FALSE,,,,,,,,,,,,,,,,Closure-6,,,,,Closure-6,Closure-6,,Closure-6,,
Closure-7,Closure,TRUE,FALSE,,,,,,,,,,,,,,,Closure-7,Closure-7,,Closure-7,,,,,,,,
Closure-8,Closure,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
