project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Chart,1,BRaIn,Yes,4.0,0.25,0.25,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,1,1
Chart,1,FlexFL,Yes,5,0.200000,0.200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Chart,1,bluir,Yes,1,1.000000,1.000000,40.282105922698975,2026-07-24T07:36:09.658327,2026-08-02T09:16:48.529573,185.53,355.95,1098746865.6666667,1490353651,134861973094,586,0,6770000,0,1,1,1
Chart,1,boostnsift,Yes,287,0.003484,0.003484,31.236978769302368,2026-07-24T07:36:44.079140,2026-08-02T09:16:48.529573,52.0,87.15,386442199.0,595591168,134861973094,806,0,0,0,0,0,0
Chart,1,buglocator,Yes,14,0.071429,0.071429,130.39800477027893,2026-08-02T09:38:52.983575,2026-08-03T08:48:18.332680,110.19,220.38,105958604.5,211917209,134861973094,486,0,99400000,0,0,0,0
Chart,1,locus,Yes,1,1.000000,1.000000,42.910422563552856,2026-07-24T07:36:12.286669,2026-08-03T08:48:18.332680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,2,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Chart,2,FlexFL,Yes,1,1.000000,1.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,2,bluir,Yes,2,0.500000,0.500000,39.75874996185303,2026-07-23T10:06:11.253247,2026-08-02T09:16:48.529573,146.98333333333335,264.76,1219295357.3333333,1523639648,134861973094,586,0,0,0,0,1,1
Chart,2,boostnsift,Yes,305,0.003279,0.003279,44.52971434593201,2026-07-23T10:06:57.426627,2026-08-02T09:16:48.529573,47.485,169.86,361027337.75,840223948,134861973094,806,0,0,0,0,0,0
Chart,2,buglocator,Yes,3,0.333333,0.333333,139.92264342308044,2026-08-02T09:44:17.154146,2026-08-03T08:48:18.332680,136.96,273.92,106692608.0,213385216,134861973094,266,0,0,0,0,1,1
Chart,2,locus,No,N/A,0.000000,0.000000,0.19258618354797363,2026-07-24T07:38:47.416549,2026-08-03T08:48:18.332680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
