feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
summary_chars,21,532,95.0,38.0,94.80952380952381,49.47932330827068,20.74275547659724,41.334034360657846,8919.5,9.291065356784603e-07,0.5967597565341927,large,-57.0,-45.33020050125313,5.110085946231532e-05,True,True,0.5967597565341927
num_versions,21,532,4.0,2.0,3.5238095238095237,2.7725563909774436,1.7781745588959375,9.18951741736451,8264.0,0.00013397569591564994,0.47941281775868244,large,-2.0,-0.7512531328320802,0.007234687579445097,True,True,0.47941281775868244
has_stacktrace,21,532,0.0,0.0,0.09523809523809523,0.4793233082706767,0.30079260375911915,0.5000424772747346,3440.5,0.000545425538175443,-0.3840852130325815,medium,0.0,0.3840852130325815,0.02890755352329848,True,True,0.3840852130325815
repair_difficulty,21,532,2.0,3.0,1.8571428571428572,2.706766917293233,0.7928249671720918,1.3193158923900254,3534.0,0.0029974605144543445,-0.3673469387755102,medium,1.0,0.8496240601503757,0.1558679467516259,False,False,0.3673469387755102
description_length,21,532,1639.0,1317.0,1871.5714285714287,1500.3308270676691,717.5319206438535,1328.3049006834722,7553.0,0.006039760404682696,0.35213032581453635,medium,-322.0,-371.24060150375954,0.3080277806388175,False,False,0.35213032581453635
automated_readability_index,21,530,20.0,23.0,20.638095238095236,28.743584905660374,4.963010798948174,18.636718193044477,4004.0,0.0291876411501897,-0.28050314465408804,small,3.0,8.105489667565138,1.0,False,False,0.28050314465408804
has_version_info,21,532,1.0,1.0,0.9523809523809523,0.6804511278195489,0.21821789023599242,0.4667406957612598,7105.0,0.008258647807189838,0.2719298245614035,small,0.0,-0.27192982456140347,0.4129323903594919,False,False,0.2719298245614035
coleman_liau_index,21,530,20.19,23.37,20.915714285714284,28.72122641509434,5.318543570780042,18.71636418445429,4098.5,0.040477613642104754,-0.26352201257861635,small,3.1799999999999997,7.805512129380055,1.0,False,False,0.26352201257861635
expected_observed_alignment,21,532,5.0,5.0,4.666666666666667,3.8364661654135337,0.9128709291752768,1.8929806687899342,6839.5,0.043642495193790654,0.2244002864303616,small,0.0,-0.8302005012531333,1.0,False,False,0.2244002864303616
num_exception_types,21,532,0.0,0.0,0.09523809523809523,0.4718045112781955,0.30079260375911915,0.8263288307186101,4340.5,0.03129744276252281,-0.22296813462226997,small,0.0,0.37656641604010027,1.0,False,False,0.22296813462226997
fine_grained_confidence,20,522,5.0,5.0,5.0,4.2203065134099615,0.0,1.5512144650620567,6380.0,0.01801475583242199,0.2222222222222222,small,0.0,-0.7796934865900385,0.8827230357886775,False,False,0.2222222222222222
specificity,21,532,5.0,4.0,4.380952380952381,3.5093984962406015,0.7400128699009549,1.826233302298298,6769.0,0.08292467972361539,0.21177944862155387,small,-1.0,-0.8715538847117799,1.0,False,False,0.21177944862155387
causal_reasoning_quality,21,532,5.0,4.0,4.380952380952381,3.575187969924812,0.973457265430305,1.8574390978617712,6736.0,0.08814397820228376,0.2058718224131758,small,-1.0,-0.8057644110275692,1.0,False,False,0.2058718224131758
actionability,21,532,5.0,4.0,4.428571428571429,3.6033834586466167,0.8106434833777776,1.8367015334875991,6721.5,0.09202712829820062,0.20327604726100967,small,-1.0,-0.8251879699248121,1.0,False,False,0.20327604726100967
flesch_reading_ease,21,530,31.17,22.310000000000002,28.266190476190474,8.438943396226414,16.804990769468,58.24213805967622,6604.0,0.14667422974121336,0.1867026055705301,small,-8.86,-19.82724707996406,1.0,False,False,0.1867026055705301
confidence,21,532,5.0,5.0,5.0,4.2669172932330826,0.0,1.5453579990773767,6625.5,0.029414068338753457,0.18609022556390978,small,0.0,-0.7330827067669174,1.0,False,False,0.18609022556390978
clarity,21,532,5.0,5.0,4.476190476190476,3.736842105263158,0.9283882603225668,1.84480636822068,6597.5,0.12475498136351688,0.18107769423558898,small,0.0,-0.7393483709273183,1.0,False,False,0.18107769423558898
smog_index,21,530,12.7,12.1,12.885714285714284,12.30867924528302,1.6656187181602258,2.3679252703490965,6505.0,0.18907065284486968,0.16891284815813118,small,-0.5999999999999996,-0.5770350404312641,1.0,False,False,0.16891284815813118
description_chars,21,532,1639.0,1515.5,1871.5714285714287,1946.6917293233082,717.5319206438535,1399.2250636024212,6475.0,0.2160250835456533,0.15914786967418545,small,-123.5,75.12030075187954,1.0,False,False,0.15914786967418545
num_EB,21,532,1.0,0.0,1.1428571428571428,0.6898496240601504,1.651838802235687,0.9760070736695333,6338.5,0.24749379423897222,0.13471177944862156,negligible,-1.0,-0.4530075187969924,1.0,False,False,0.13471177944862156
n_tokens,21,532,194.0,194.5,251.47619047619048,247.69736842105263,134.13971039465497,174.54094904420015,6326.5,0.30281860321562637,0.13256355173648407,negligible,0.5,-3.7788220551378515,1.0,False,False,0.13256355173648407
hidden_s2r_present,21,532,0.0,0.0,0.0,0.12781954887218044,0.0,0.3342030199217882,4872.0,0.08070027807912966,-0.12781954887218044,negligible,0.0,0.12781954887218044,1.0,False,False,0.12781954887218044
n_words,21,532,118.0,112.5,144.42857142857142,141.2875939849624,74.26141085959209,109.46842107673143,6283.5,0.3317717334265824,0.12486573576799141,negligible,-5.5,-3.1409774436090174,1.0,False,False,0.12486573576799141
technical_depth,21,532,4.0,4.0,3.5714285714285716,3.069548872180451,1.164964745021435,1.6965827467115786,6246.5,0.3427718075786028,0.11824203365556749,negligible,0.0,-0.5018796992481205,1.0,False,False,0.11824203365556749
has_os_info,21,532,0.0,0.0,0.23809523809523808,0.12406015037593984,0.4364357804719847,0.32996042128456854,6223.0,0.12611410280314958,0.11403508771929824,negligible,0.0,-0.11403508771929824,1.0,False,False,0.11403508771929824
ambiguity,21,532,0.0,0.0,0.002359071612959614,0.0035302234379780933,0.005322192203818925,0.0062444943356358504,4970.5,0.32300911925505493,-0.11018617973505192,negligible,0.0,0.0011711518250184794,1.0,False,False,0.11018617973505192
num_os_mentions,21,532,0.0,0.0,0.23809523809523808,0.14285714285714285,0.4364357804719847,0.405105964010583,6200.5,0.14048403145396637,0.11000716075904046,negligible,0.0,-0.09523809523809523,1.0,False,False,0.11000716075904046
