feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
txt_title_avg_word_len,21,532,1.0405781223525956,-0.3969089280843758,0.965530132863304,0.08480883575091966,0.7549297153577087,1.010086267013123,9064.5,2.2762029313800544e-07,0.6227175080558539,large,-1.4374870504369714,-0.8807212971123843,1.1836255243176282e-05,True,True,0.6227175080558539
txt_title_char_len,21,532,1.2504254815337124,-0.1636789901099943,1.2456999862232907,0.12414098083661415,0.5146039170818973,1.0254864656212386,8918.5,9.360836005039299e-07,0.5965807375581812,large,-1.4141044716437066,-1.1215590053866766,4.7740263625700426e-05,True,True,0.5965807375581812
txt_title_avg_words_per_line,21,532,1.1193431006509886,-0.18773990658876816,1.1027452211939757,0.13002212775272654,0.5724824936868139,1.037329294680158,8562.0,1.1750747462163657e-05,0.5327604726100966,large,-1.3070830072397568,-0.9727230934412492,0.0005875373731081829,True,True,0.5327604726100966
txt_title_word_count,21,532,1.1193431006509886,-0.18773990658876816,1.1027452211939757,0.13002212775272654,0.5724824936868139,1.037329294680158,8562.0,1.1750747462163657e-05,0.5327604726100966,large,-1.3070830072397568,-0.9727230934412492,0.0005875373731081829,True,True,0.5327604726100966
txt_likely_impacted_code_concepts_avg_word_len,21,532,0.6709637137330902,-0.1462390483573012,0.5299404647542796,-0.07907883170439785,0.8307115828257488,0.8738455334894327,8174.5,0.00029180521222033133,0.463390619405657,medium,-0.8172027620903913,-0.6090192964586775,0.014006650186575903,True,True,0.463390619405657
txt_title_avg_sentence_len,21,532,0.5768488434935564,-0.5251379628425796,0.6357568939705109,0.13239909559488988,0.8300799696547396,1.06404536969971,7833.0,0.0009407061287418388,0.40225563909774437,medium,-1.101986806336136,-0.503357798375621,0.04421318805086642,True,True,0.40225563909774437
txt_title_digit_density,21,532,0.4671225728427722,-0.0780751983619438,0.5098462830318916,0.10416760194151055,0.2886246441001019,1.1050977325891858,7774.0,0.0012627591271298052,0.3916935195130684,medium,-0.545197771204716,-0.4056786810903811,0.05808691984797104,False,False,0.3916935195130684
txt_fine_grained_reasoning_uniq_word_ratio,21,532,-0.4911855159422631,0.029401703474083,-0.5572392365907409,-0.006374982409636937,0.8715629908855784,0.9291375697802972,3674.0,0.007769483361046942,-0.3422842821339062,medium,0.5205872194163461,0.550864254181104,0.3496267512471124,False,False,0.3422842821339062
txt_reasoning_char_len,21,532,0.3310617121622698,-0.0537582193922193,0.35908781362001974,0.03568135337730036,0.7472058887161714,0.9713533159434226,6916.0,0.06412516849552197,0.23809523809523808,small,-0.3848199315544891,-0.32340646024271935,1.0,False,False,0.23809523809523808
txt_likely_impacted_code_concepts_char_len,21,532,0.5047334796890861,0.3000621131781738,0.5469672537310204,0.09519838636039037,0.6234087308701801,0.9267871367074948,6817.5,0.08561536008245772,0.22046186895810957,small,-0.20467136651091233,-0.45176886737063005,1.0,False,False,0.22046186895810957
txt_reasoning_avg_word_len,21,532,0.368410935842284,0.0351469427085798,0.34717734752017854,0.07901150706025799,0.7394938906867521,1.0088293334015885,6635.5,0.1441097642872331,0.18788041532402436,small,-0.3332639931337042,-0.26816584045992053,1.0,False,False,0.18788041532402436
txt_title_uniq_word_ratio,21,532,0.2980059992364836,0.2980059992364836,-0.6751713160360262,-0.04513448556531057,2.1305411933653087,1.0790914505743032,4648.0,0.022968873206069714,-0.16791979949874686,small,0.0,0.6300368304707157,1.0,False,False,0.16791979949874686
txt_reasoning_avg_words_per_line,21,532,0.4236254929997681,-0.0520275146041847,0.23487429950613606,0.004001787043398647,0.8991659929746367,0.9774118954984813,6493.0,0.2062195573972717,0.1623702112423917,small,-0.4756530076039528,-0.2308725124627374,1.0,False,False,0.1623702112423917
txt_reasoning_word_count,21,532,0.4236254929997681,-0.0520275146041847,0.23487429950613606,0.004001787043398647,0.8991659929746367,0.9774118954984813,6493.0,0.2062195573972717,0.1623702112423917,small,-0.4756530076039528,-0.2308725124627374,1.0,False,False,0.1623702112423917
txt_fine_grained_reasoning_avg_sentence_len,21,532,0.085081341383328,-0.0209813665071378,0.1618505394754747,-0.013807038870830533,0.8231975100903761,0.9812734856545487,6429.5,0.24018702968244,0.15100250626566417,small,-0.10606270789046579,-0.17565757834630524,1.0,False,False,0.15100250626566417
txt_fine_grained_reasoning_char_len,21,532,0.1566872173283052,0.1229758474573608,0.1574898689918992,0.07789005861680279,1.0565634373244779,0.9435596861761638,6340.5,0.29375345771939054,0.13506981740064447,negligible,-0.033711369870944405,-0.07959981037509642,1.0,False,False,0.13506981740064447
txt_reasoning_avg_sentence_len,21,532,0.4529303282787249,-0.0140365238068689,0.2407568974699928,-0.03560078998766252,1.3325086947972402,1.023588824390901,6329.5,0.3005089496533758,0.13310060866451845,negligible,-0.46696685208559385,-0.2763576874576553,1.0,False,False,0.13310060866451845
txt_fine_grained_reasoning_has_code_like,21,532,0.0,0.0,0.047619047619047616,0.17669172932330826,0.21821789023599242,0.381766578202945,4865.0,0.12464049618985704,-0.12907268170426064,negligible,0.0,0.12907268170426064,1.0,False,False,0.12907268170426064
txt_fine_grained_reasoning_avg_words_per_line,21,532,0.078755056804847,-0.0742332353615064,0.20988787866172148,0.024979096964418267,0.8185741675980164,1.0112692549137572,6266.0,0.3435260388735063,0.12173290368779091,negligible,-0.1529882921663534,-0.1849087816973032,1.0,False,False,0.12173290368779091
txt_fine_grained_reasoning_avg_word_len,21,532,0.1096099515447848,-0.04228777499051735,0.23842157963749172,0.0740685456758594,0.8198298083383908,0.971277456253669,6228.0,0.3717192440892729,0.11493018259935553,negligible,-0.15189772653530215,-0.1643530339616323,1.0,False,False,0.11493018259935553
txt_reasoning_has_code_like,21,532,0.0,0.0,0.0,0.10714285714285714,0.0,0.3095858881063679,4987.5,0.11385713042512417,-0.10714285714285714,negligible,0.0,0.10714285714285714,1.0,False,False,0.10714285714285714
txt_reasoning_hedge_count,21,532,-0.3672299048237221,-0.3672299048237221,-0.36722990482372203,-0.0653138042324324,5.688200336284365e-17,0.9316012935959211,4998.0,0.117758500573599,-0.10526315789473684,negligible,0.0,0.30191610059128965,1.0,False,False,0.10526315789473684
txt_reasoning_hedge_density,21,532,-0.3595077050751572,-0.3595077050751572,-0.3595077050751572,-0.07119158060008217,0.0,0.9043214476887853,4998.0,0.11814658302028759,-0.10526315789473684,negligible,0.0,0.28831612447507504,1.0,False,False,0.10526315789473684
txt_fine_grained_reasoning_hedge_density,21,532,-0.372629788649181,-0.372629788649181,-0.3726297886491811,-0.0882681193017286,1.137640067256873e-16,0.9299293839945676,4998.0,0.11814686867622061,-0.10526315789473684,negligible,0.0,0.2843616693474525,1.0,False,False,0.10526315789473684
txt_fine_grained_reasoning_hedge_count,21,532,-0.3770599600499196,-0.3770599600499196,-0.3770599600499196,-0.08115294252954088,0.0,0.9404127942411401,4998.0,0.11782792827673526,-0.10526315789473684,negligible,0.0,0.29590701752037873,1.0,False,False,0.10526315789473684
txt_fine_grained_reasoning_word_count,21,532,0.1709552168092574,0.0542359968291021,0.08202628730056775,0.0553329819792916,1.1072371569400814,0.9474051986185783,6095.5,0.47803644131208733,0.09121016827783746,negligible,-0.1167192199801553,-0.026693305321276152,1.0,False,False,0.09121016827783746
txt_reasoning_uniq_word_ratio,21,532,0.0833696586756642,0.054821620519663404,-0.12687855911339246,0.011510995507314603,0.965448978245181,0.9821249632366699,5093.5,0.4932500598683076,-0.08816684568564268,negligible,-0.0285480381560008,0.13838955462070707,1.0,False,False,0.08816684568564268
txt_likely_impacted_code_concepts_word_count,21,532,0.4241697786235321,0.4241697786235321,0.3765262804865063,0.1107257119325734,0.5197292053109965,0.9406330645417053,5953.5,0.6032156674343574,0.06578947368421052,negligible,0.0,-0.2658005685539329,1.0,False,False,0.06578947368421052
txt_likely_impacted_code_concepts_avg_words_per_line,21,532,0.4241697786235321,0.4241697786235321,0.3765262804865063,0.1107257119325734,0.5197292053109965,0.9406330645417053,5953.5,0.6032156674343574,0.06578947368421052,negligible,0.0,-0.2658005685539329,1.0,False,False,0.06578947368421052
txt_likely_impacted_code_concepts_avg_sentence_len,21,532,0.4260181358690711,0.4260181358690711,0.3783763755854987,0.11258550242451554,0.5197102475679776,0.9405987538281055,5953.5,0.6032156674343574,0.06578947368421052,negligible,0.0,-0.26579087316098315,1.0,False,False,0.06578947368421052
txt_likely_impacted_code_concepts_digit_density,21,532,-0.1486940122073022,-0.1486940122073022,-0.1486940122073022,0.01370773601680357,0.0,1.0199585377135598,5418.0,0.42184205122295004,-0.03007518796992481,negligible,0.0,0.16240174822410575,1.0,False,False,0.03007518796992481
txt_fine_grained_reasoning_line_count,21,532,0.1683006926685367,0.1683006926685367,-0.12265392095098385,0.05345018729241017,1.3333215407080823,0.8305709126792733,5425.0,0.3554407317688806,-0.02882205513784461,negligible,0.0,0.176104108243394,1.0,False,False,0.02882205513784461
txt_likely_impacted_code_concepts_has_code_like,21,532,0.0,0.0,0.0,0.02443609022556391,0.0,0.1545440461417636,5449.5,0.4705323678398585,-0.02443609022556391,negligible,0.0,0.02443609022556391,1.0,False,False,0.02443609022556391
txt_fine_grained_reasoning_digit_density,21,532,-0.2403639171593841,-0.2403639171593841,-0.1572063677084899,0.029535823208852553,0.263744182998661,1.1051869957641498,5452.5,0.7370919813919731,-0.02389903329752954,negligible,0.0,0.18674219091734245,1.0,False,False,0.02389903329752954
txt_title_hedge_count,21,532,-0.1305847431833189,-0.1305847431833189,-0.13058474318331884,0.03045457826388624,5.688200336284365e-17,1.1093357439286418,5470.5,0.5078950820694899,-0.020676691729323307,negligible,0.0,0.16103932144720506,1.0,False,False,0.020676691729323307
txt_title_hedge_density,21,532,-0.1284244317598414,-0.1284244317598414,-0.12842443175984142,0.0314756803084863,2.844100168142183e-17,1.1230322250072782,5470.5,0.5079228778298251,-0.020676691729323307,negligible,0.0,0.15990011206832772,1.0,False,False,0.020676691729323307
txt_likely_impacted_code_concepts_uniq_word_ratio,21,532,0.3487217657567034,0.3487217657567034,0.13060072536703887,0.039290033780876706,0.7074470870342253,0.9599696443496681,5676.5,0.8150776860302846,0.016201217329036878,negligible,0.0,-0.09131069158616217,1.0,False,False,0.016201217329036878
txt_reasoning_digit_density,21,532,-0.2000607604811334,-0.2000607604811334,-0.09146308148257115,-0.01915360376155071,0.34651512637325693,0.7480999529004204,5672.5,0.7964895241392491,0.015485141424991048,negligible,0.0,0.07230947772102045,1.0,False,False,0.015485141424991048
txt_title_has_code_like,21,532,0.0,0.0,0.0,0.009398496240601503,0.0,0.09658000712110258,5533.5,0.6587543470156625,-0.009398496240601503,negligible,0.0,0.009398496240601503,1.0,False,False,0.009398496240601503
txt_title_question_density,21,532,-0.0586287119753727,-0.0586287119753727,-0.058628711975372706,-0.006867108298807143,7.110250420355457e-18,0.8434109122963126,5565.0,0.7836737944595793,-0.0037593984962406013,negligible,0.0,0.051761603676565564,1.0,False,False,0.0037593984962406013
txt_fine_grained_reasoning_exclaim_density,21,532,-0.0351147493610311,-0.0351147493610311,-0.0351147493610311,-0.0351147493610311,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_fine_grained_reasoning_question_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_title_exclaim_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_likely_impacted_code_concepts_line_count,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_title_line_count,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_likely_impacted_code_concepts_hedge_count,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_likely_impacted_code_concepts_hedge_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_reasoning_exclaim_density,21,532,-0.0346271680532221,-0.0346271680532221,-0.03462716805322209,-0.0346271680532221,7.110250420355457e-18,0.0,5586.0,1.0,0.0,negligible,0.0,-6.938893903907228e-18,1.0,False,False,0.0
txt_likely_impacted_code_concepts_question_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_likely_impacted_code_concepts_exclaim_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_reasoning_question_density,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
txt_reasoning_line_count,21,532,0.0,0.0,0.0,0.0,0.0,0.0,5586.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
