feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
txt_title_avg_words_per_line,172,237,-0.7977119766339881,0.7707876320537201,-0.3488454865508779,0.5928331523057476,0.8307994929753985,0.9392610040815772,9356.5,5.266906402584801e-22,-0.5409429889117849,large,1.5684996086877083,0.9416786388566255,2.738791329344097e-20,True,True,0.5409429889117849
txt_title_word_count,172,237,-0.7977119766339881,0.7707876320537201,-0.3488454865508779,0.5928331523057476,0.8307994929753985,0.9392610040815772,9356.5,5.266906402584801e-22,-0.5409429889117849,large,1.5684996086877083,0.9416786388566255,2.738791329344097e-20,True,True,0.5409429889117849
txt_title_avg_sentence_len,172,237,-0.70287777031615,0.4702049590094141,-0.3292521610711262,0.5352262303510115,0.7763497914934464,1.0366268732043293,9477.5,1.5197220235494555e-21,-0.5350063781768227,large,1.1730827293255641,0.8644783914221377,7.598610117747277e-20,True,True,0.5350063781768227
txt_title_char_len,172,237,-0.8087090999825622,0.7790573243191434,-0.34311044285629894,0.5981725418037593,0.8557033524247524,0.9141878809724274,9496.5,1.8491515637606952e-21,-0.5340741831027377,large,1.5877664243017056,0.9412829846600583,9.060842662427407e-20,True,True,0.5340741831027377
txt_title_digit_density,172,237,-0.6450552541976357,0.4671225728427722,-0.2994496021241572,0.4525750821344706,0.6041688940309411,0.844774662148796,9672.5,2.7135986408016973e-21,-0.5254391129427927,large,1.112177827040408,0.7520246842586278,1.3025273475848147e-19,True,True,0.5254391129427927
txt_likely_impacted_code_concepts_avg_sentence_len,172,237,-0.2409665081009433,0.4260181358690711,-0.4018959425471967,0.4147610110763283,1.1054653317724958,0.572598479218864,12333.5,3.908613798610598e-12,-0.39488273967225984,medium,0.6669846439700144,0.816656953623525,1.837048485346981e-10,True,True,0.39488273967225984
txt_likely_impacted_code_concepts_avg_words_per_line,172,237,-0.242839195294828,0.4241697786235321,-0.4037745000483857,0.4129122431987496,1.1055056564106462,0.5726193661936214,12333.5,3.908613798610598e-12,-0.39488273967225984,medium,0.6670089739183601,0.8166867432471353,1.837048485346981e-10,True,True,0.39488273967225984
txt_likely_impacted_code_concepts_word_count,172,237,-0.242839195294828,0.4241697786235321,-0.4037745000483857,0.4129122431987496,1.1055056564106462,0.5726193661936214,12333.5,3.908613798610598e-12,-0.39488273967225984,medium,0.6670089739183601,0.8166867432471353,1.837048485346981e-10,True,True,0.39488273967225984
txt_likely_impacted_code_concepts_char_len,172,237,-0.0751687254251653,0.3682859020151446,-0.3492538305783443,0.39577692241147666,1.1593519336410776,0.552189750317819,13467.5,4.1403049572364976e-09,-0.3392454126189775,medium,0.4434546274403099,0.745030752989821,1.656121982894599e-07,True,True,0.3392454126189775
txt_fine_grained_reasoning_avg_word_len,172,237,-0.2936724707168201,0.1933073957703256,-0.2497177488113409,0.2899668911425537,0.9779254530923969,0.8610029708120125,13494.5,5.349529911180935e-09,-0.3379207143558041,medium,0.48697986648714575,0.5396846399538946,2.0863166653605646e-07,True,True,0.3379207143558041
txt_title_avg_word_len,172,237,-0.3969089280843758,0.0702743633076399,-0.2907126401961975,0.38723928176986977,0.936219161317425,1.1671583027776962,13896.0,1.0886629053014054e-08,-0.3182219605534295,small,0.4671832913920157,0.6779519219660672,4.1369190401453405e-07,True,True,0.3182219605534295
txt_reasoning_avg_word_len,172,237,-0.3743988649885619,0.2216830739497719,-0.24229323965312446,0.32257992881595865,1.03133274351031,0.9517730720650922,13980.5,5.831502329765305e-08,-0.31407614561868313,small,0.5960819389383338,0.5648731684690831,2.1576558620131628e-06,True,True,0.31407614561868313
txt_fine_grained_reasoning_char_len,172,237,-0.15514295397793,0.3083883817475548,-0.27626868990957887,0.26642697199258186,1.1896758642623866,0.8369209447814366,14011.0,6.726697415025842e-08,-0.3125797272102836,small,0.46353133572548477,0.5426956619021608,2.421611069409303e-06,True,True,0.3125797272102836
txt_reasoning_char_len,172,237,-0.24616818516946393,0.1273335131040108,-0.19878953422568277,0.18024744759921735,1.0302454164327863,0.8190308232206684,15692.0,7.072654993604572e-05,-0.23010499460308115,small,0.37350169827347474,0.3790369818249001,0.0024754292477616,True,True,0.23010499460308115
txt_fine_grained_reasoning_hedge_density,172,237,-0.372629788649181,-0.372629788649181,0.250049554850624,-0.27871681633734363,1.1764562016466862,0.5490640848106078,24898.5,3.801440199566299e-11,0.22159258168972623,small,0.0,-0.5287663711879677,1.6726336878091716e-09,True,True,0.22159258168972623
txt_fine_grained_reasoning_hedge_count,172,237,-0.3770599600499196,-0.3770599600499196,0.28037118958674223,-0.2647957180667914,1.1974698941744792,0.635577308860826,24848.0,5.844446120122681e-11,0.21911490530860564,small,0.0,-0.5451669076535337,2.5131118316527527e-09,True,True,0.21911490530860564
txt_reasoning_hedge_density,172,237,-0.3595077050751572,-0.3595077050751572,0.23744469731031603,-0.3094448892504843,1.2056266726760483,0.353425849171761,24490.0,6.23992991760671e-11,0.20155038759689922,small,0.0,-0.5468895865608003,2.6207705653948184e-09,True,True,0.20155038759689922
txt_reasoning_hedge_count,172,237,-0.3672299048237221,-0.3672299048237221,0.24117678273145254,-0.3056191010206665,1.2096765782159757,0.4437928163812201,24448.5,9.156417514189066e-11,0.1995142773035031,small,0.0,-0.546795883752119,3.7541311808175175e-09,True,True,0.1995142773035031
txt_fine_grained_reasoning_word_count,172,237,-0.062483223151053,0.1709552168092574,-0.20498924754542872,0.1753875922515418,1.2018174019498502,0.8613563399147374,16728.5,0.0019422064162764082,-0.17925130016681384,small,0.2334384399603104,0.3803768397969705,0.06215060532084506,False,False,0.17925130016681384
txt_fine_grained_reasoning_has_code_like,172,237,0.0,0.0,0.06976744186046512,0.2109704641350211,0.25549848877082987,0.40886094769207904,17504.0,8.661008231722026e-05,-0.14120302227455597,negligible,0.0,0.141203022274556,0.002944742798785489,True,True,0.14120302227455597
txt_fine_grained_reasoning_avg_words_per_line,172,237,-0.0742332353615064,0.078755056804847,-0.08134896988087172,0.1504078012371898,0.9257714205229673,0.9515116274073422,17552.0,0.016355792937688837,-0.13884800314002552,negligible,0.1529882921663534,0.23175677111806153,0.4906737881306651,False,False,0.13884800314002552
txt_likely_impacted_code_concepts_avg_word_len,172,237,-0.1462390483573012,-0.1462390483573012,0.11887452773637487,-0.05246631261897874,0.7839371925065468,0.910302452594302,23125.5,0.01941746943068599,0.13460406240800707,negligible,0.0,-0.1713408403553536,0.5436891440592078,False,False,0.13460406240800707
txt_reasoning_avg_words_per_line,172,237,-0.2105785171388357,-0.0520275146041847,-0.10641419570618717,0.057687103183506214,1.0061864459013825,0.8953852792986468,18355.0,0.08548400765956372,-0.09945049553527623,negligible,0.15855100253465101,0.16410129888969338,1.0,False,False,0.09945049553527623
txt_reasoning_word_count,172,237,-0.2105785171388357,-0.0520275146041847,-0.10641419570618717,0.057687103183506214,1.0061864459013825,0.8953852792986468,18355.0,0.08548400765956372,-0.09945049553527623,negligible,0.15855100253465101,0.16410129888969338,1.0,False,False,0.09945049553527623
txt_reasoning_has_code_like,172,237,0.0,0.0,0.029069767441860465,0.11814345991561181,0.16849264934060756,0.3234610442211801,18566.5,0.001113243218283124,-0.08907369247375135,negligible,0.0,0.08907369247375135,0.0367370262033431,True,True,0.08907369247375135
txt_fine_grained_reasoning_digit_density,172,237,-0.2403639171593841,-0.2403639171593841,-0.07250835651719827,0.0858390862916169,0.8082658944832519,1.1313698503649436,18864.0,0.016812134015539288,-0.07447748012952606,negligible,0.0,0.1583474428088152,0.4906737881306651,False,False,0.07447748012952606
txt_title_uniq_word_ratio,172,237,0.2980059992364836,0.2980059992364836,0.095396903558128,-0.0985094198430889,0.9050451567849835,1.1042987884490112,21809.0,0.026070693481562872,0.07001275635364537,negligible,0.0,-0.19390632340121688,0.6964905290470506,False,False,0.07001275635364537
txt_reasoning_avg_sentence_len,172,237,-0.0140365238068689,-0.0140365238068689,0.04689088572154697,-0.08540213800570458,0.9570992711465752,1.0318643280923177,21726.5,0.2543878896573062,0.06596506721617112,negligible,0.0,-0.13229302372725155,1.0,False,False,0.06596506721617112
txt_likely_impacted_code_concepts_uniq_word_ratio,172,237,0.3487217657567034,0.3487217657567034,0.1904478032448405,-0.023094740257045446,0.672539519727439,1.0709708922576817,21723.0,0.02579594552026113,0.06579334707094495,negligible,0.0,-0.21354254350188595,0.6964905290470506,False,False,0.06579334707094495
txt_fine_grained_reasoning_line_count,172,237,0.1683006926685367,0.1683006926685367,-0.22245811980884256,0.09095832702284136,1.4993103699744201,0.6845149291020581,19336.5,0.004927407107854333,-0.051295260523991755,negligible,0.0,0.3134164468316839,0.15274962034348433,False,False,0.051295260523991755
txt_reasoning_uniq_word_ratio,172,237,0.02808714886207295,0.1155424245678759,-0.004170082368217923,0.06964098228119711,0.9731184849533829,0.9707099389298796,19468.5,0.43908614426592685,-0.04481895790403297,negligible,0.08745527570580296,0.07381106464941503,1.0,False,False,0.04481895790403297
txt_reasoning_digit_density,172,237,-0.2000607604811334,-0.2000607604811334,0.058218581487741616,0.07311292477613543,1.3668794412019953,0.9480198205590011,19533.5,0.13341149609728578,-0.041629869492689625,negligible,0.0,0.014894343288393813,1.0,False,False,0.041629869492689625
txt_fine_grained_reasoning_uniq_word_ratio,172,237,0.029401703474083,-0.0394850741424469,-0.009539112847517078,-0.02134823934487081,1.0654201527654594,0.8980604328687186,21212.0,0.4820727874036077,0.040722205867922676,negligible,-0.0688867776165299,-0.011809126497353733,1.0,False,False,0.040722205867922676
txt_fine_grained_reasoning_avg_sentence_len,172,237,-0.0209813665071378,-0.0209813665071378,0.0006902320107913251,0.05402331637236458,0.9187399984889293,1.0344727946259253,19702.0,0.5644674667871055,-0.033362771072514966,negligible,0.0,0.05333308436157325,1.0,False,False,0.033362771072514966
txt_likely_impacted_code_concepts_digit_density,172,237,-0.1486940122073022,-0.1486940122073022,-0.1326258778123208,0.09787089149437786,0.2107316069906262,1.3345679608316163,19722.0,0.03672160125462177,-0.03238151309979394,negligible,0.0,0.23049676930669866,0.9180400313655442,False,False,0.03238151309979394
txt_title_hedge_density,172,237,-0.1284244317598414,-0.1284244317598414,-0.04864092354042715,0.15440775265007503,0.7377152481886499,1.5311971579438002,19926.0,0.1490995650823031,-0.022372681778039447,negligible,0.0,0.20304867619050218,1.0,False,False,0.022372681778039447
