feature,none_count,all_count,none_median,all_median,none_mean,all_mean,none_std,all_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
repair_difficulty,346,69,0.0684006013983548,-0.6545677804703322,0.41316876038197725,-0.8641238331858937,1.0137374170220057,0.621196849298513,19929.0,8.087634663057742e-20,0.669514953505906,large,-0.722968381868687,-1.277292593567871,5.095209837726378e-18,True,True,0.669514953505906
automated_readability_index,346,69,-0.00408694149195565,-0.5697825200015744,0.2331144906023436,-0.5196151081573088,1.1078554933887483,0.26669487723257873,19449.5,1.4830824961875223e-16,0.6293457317583983,large,-0.5656955785096187,-0.7527295987596524,9.046803226743886e-15,True,True,0.6293457317583983
coleman_liau_index,346,69,-0.00679971608553475,-0.5684429754032957,0.20641385661600858,-0.524616376876637,1.0869368952039222,0.3156699557481824,19399.5,2.348689710008998e-16,0.6251570746418699,large,-0.5616432593177609,-0.7310302334926455,1.409213826005399e-14,True,True,0.6251570746418699
flesch_reading_ease,346,69,0.01636976193772895,0.5156969938167737,-0.18208579243191225,0.4995809088039625,1.0857359605546175,0.3042969270107634,4795.0,4.144574845057774e-15,-0.5983077825249226,large,0.49932723187904476,0.6816667012358748,2.403853410133509e-13,True,True,0.5983077825249226
causal_reasoning_quality,346,69,-0.1521246116388988,0.8480647640971679,-0.40939875742071935,0.6596232875092133,1.0878266088327169,0.39397523657906736,4936.0,7.602708515220394e-16,-0.5864957694563123,large,1.0001893757360667,1.0690220449299326,4.4855980239800325e-14,True,True,0.5864957694563123
summary_chars,346,69,-0.8058683276097268,0.8322639262566758,-0.31635113981920615,0.7189543830050472,0.860171611733812,0.9103458631807776,5099.0,6.443078766446642e-17,-0.5728407472564296,large,1.6381322538664027,1.0353055228242534,3.994708835196918e-15,True,True,0.5728407472564296
actionability,346,69,-0.163033776330488,0.8491089986580442,-0.40729366567020603,0.6437466964864582,1.0987917214889806,0.32841747069767385,5383.0,4.819642552516854e-14,-0.5490491748345481,large,1.0121427749885323,1.0510403621566642,2.7471962549346066e-12,True,True,0.5490491748345481
clarity,346,69,0.2638805499878769,0.7623879238337528,-0.4003156908876975,0.5962187992184607,1.1197824743948042,0.29201524373074533,5923.0,2.532122443710845e-12,-0.5038116779760409,large,0.49850737384587585,0.9965344901061581,1.4179885684780732e-10,True,True,0.5038116779760409
specificity,346,69,-0.1318907460872489,0.8878201148650916,-0.3809241788920836,0.5922517493716595,1.1063465305722515,0.423028189682145,6090.5,1.9578251526911133e-11,-0.4897796766356706,large,1.0197108609523404,0.9731759282637431,1.0768038339801122e-09,True,True,0.4897796766356706
expected_observed_alignment,346,69,0.2181834262649555,0.7027131095927159,-0.4049833629860657,0.5692918924444921,1.1197859781692852,0.2864595532726336,6397.5,4.3837350760362406e-11,-0.46406132194018596,medium,0.4845296833277605,0.9742752554305578,2.36721694105957e-09,True,True,0.46406132194018596
technical_depth,346,69,0.0747380324277821,0.627005794172899,-0.3673954068883953,0.5389631075178805,1.0840313117360678,0.5409703168429564,6448.0,4.364370564215178e-10,-0.45983077825249224,medium,0.5522677617451169,0.9063585144062758,2.2258289877497406e-08,True,True,0.45983077825249224
description_length,346,69,-0.4122083359260213,0.1200037663126747,-0.2016054876931628,0.24879338938568382,1.0141958993517164,0.6035154615811723,6875.0,1.4375094413074263e-08,-0.42405964647733935,medium,0.532212102238696,0.4503988770788466,6.900045318275646e-07,True,True,0.42405964647733935
fine_grained_confidence,346,69,5.0,5.0,3.147398843930636,4.768115942028985,2.008303530208503,1.0310606694112718,6921.5,3.1056160654231757e-10,-0.42016419535896793,medium,0.0,1.6207170980983494,1.6149203540200513e-08,True,True,0.42016419535896793
confidence,346,69,0.5605334956487706,0.5605334956487706,-0.3867200413188707,0.5605334956487704,1.1524051808028546,2.2367132707474303e-16,7038.0,6.294664571559736e-11,-0.41040462427745666,medium,0.0,0.9472535369676411,3.3361722229266598e-09,True,True,0.41040462427745666
has_version_info,346,69,-1.2686114456365274,0.7882634225314346,-0.26395291176258073,0.5497851769467433,1.0296515091146203,0.6633439630656562,7214.5,1.649987117217707e-09,-0.39561866465611123,medium,2.056874868167962,0.8137380887093241,8.249935586088536e-08,True,True,0.39561866465611123
causal_density,346,69,-0.3411827946616065,0.3857312337572436,-0.088716636458132,0.5123800881899572,0.987445607403969,1.2207485485413188,7293.0,2.61787044477858e-07,-0.3890424729831616,medium,0.7269140284188501,0.6010967246480892,1.2303991090459327e-05,True,True,0.3890424729831616
num_versions,346,69,-0.3124943305803233,-0.0494572680454745,-0.11597675640327586,0.03250355578784791,0.2911276838661239,0.37410536024022983,7696.0,9.314713116238362e-07,-0.3552818966239424,medium,0.26303706253484876,0.14848031219112376,4.284768033469646e-05,True,True,0.3552818966239424
num_causal_markers,346,69,-0.4554019288379759,-0.1531279935599871,-0.025578876361760587,0.2542847018146935,1.0019205327628569,0.8748853076416153,8322.0,5.224252934777779e-05,-0.3028399095250063,small,0.30227393527798885,0.2798635781764541,0.0022986712913022228,True,True,0.3028399095250063
concept_num_concepts,346,69,0.410786675927473,0.410786675927473,-0.2962070633947656,0.32288878379470454,1.148537166439544,0.4610225917704834,8986.0,0.0006547792627295099,-0.2472145430175086,small,0.0,0.6190958471894701,0.027500729034639414,True,True,0.2472145430175086
has_code,346,69,-0.6202765124580578,-0.6202765124580578,-0.14926601294538946,0.2856495783258871,0.9121767186550666,1.1042712600126348,9611.5,0.0005850151492664667,-0.19481444248973778,small,0.0,0.43491559127127655,0.025155651418458068,True,True,0.19481444248973778
concept__string_manipulation,346,69,0.0,0.0,0.023121387283236993,0.18840579710144928,0.15050666990597397,0.3939006413551736,9964.0,1.1218702931589128e-08,-0.16528440981821227,small,0.0,0.1652844098182123,5.497164436478673e-07,True,True,0.16528440981821227
completeness_score,346,69,-0.1877149484641514,-0.1877149484641514,-0.1504811258414023,0.17014345785449309,1.0070759804943867,1.0195917342758836,10044.0,0.029081662027888595,-0.15858255843176677,small,0.0,0.3206245836958954,1.0,False,False,0.15858255843176677
n_words,346,69,-0.27234653446562745,-0.1779602637011706,0.007847139892192134,0.00010684068999746914,1.0674836530659306,0.6046256238740592,10405.5,0.09236901752072957,-0.12829856747926616,negligible,0.09438627076445685,-0.007740299202194665,1.0,False,False,0.12829856747926616
num_browser_mentions,346,69,-0.390976846636182,-0.390976846636182,0.0627878142051972,-0.2826244845581163,1.0694053330815507,0.5119408825369806,13425.0,0.007723623290416734,0.1246544357878864,negligible,0.0,-0.3454122987633135,0.31666855490708606,False,False,0.1246544357878864
hidden_s2r_present,346,69,-0.4195906791483444,-0.4195906791483444,0.15556385063916084,-0.17586322378217567,1.1335748945488686,0.795553137443298,13348.5,0.021249935491932614,0.11824579039959789,negligible,0.0,-0.3314270744213365,0.8287474841853719,False,False,0.11824579039959789
temporal_density,346,69,-0.4256912142338764,-0.4256912142338764,-0.036814537564115915,0.08308020398127933,1.0782403647535896,0.8153469522005472,10580.0,0.06099890675790692,-0.11368015414258188,negligible,0.0,0.11989474154539524,1.0,False,False,0.11368015414258188
num_temporal_markers,346,69,-0.4635308650875505,-0.4635308650875505,-0.023083334774568514,0.07607538952349574,1.081758775836882,0.9635331801883034,10859.5,0.1352622089178178,-0.09026556086118791,negligible,0.0,0.09915872429806426,1.0,False,False,0.09026556086118791
concept__deserialization,346,69,0.0,0.0,0.08959537572254335,0.0,0.2860148134027335,0.0,13006.5,0.009866592328583997,0.08959537572254335,negligible,0.0,-0.08959537572254335,0.3946636931433599,False,False,0.08959537572254335
smog_index,346,69,0.0,-0.0893850815905817,-0.013259914033265586,-0.07048212380836548,1.0897415739590843,0.6224598960433692,12926.0,0.27710439869454373,0.08285163776493257,negligible,-0.0893850815905817,-0.0572222097750999,1.0,False,False,0.08285163776493257
n_tokens,346,69,-0.31040062198214396,-0.2109939753452172,0.01754756059492746,0.01905924044153779,1.0855732840698329,0.7717253879992271,10964.5,0.2852900050881022,-0.08146938091647818,negligible,0.09940664663692678,0.0015116798466103289,1.0,False,False,0.08146938091647818
ambiguity,346,69,-0.5855868655187282,-0.5855868655187282,0.016331642704937067,-0.13468189929068952,1.041181799140708,0.9261075326395722,12900.0,0.23590714757704379,0.08067353606433778,negligible,0.0,-0.15101354199562658,1.0,False,False,0.08067353606433778
has_enumeration,346,69,-0.1606191949877903,-0.1606191949877903,-0.10524469960595503,0.3947308166677165,0.5929590694955809,1.812723328555447,11002.5,4.713475249104396e-05,-0.07828600150791656,negligible,0.0,0.49997551627367154,0.0021210638620969783,True,True,0.07828600150791656
concept__json_parsing,346,69,0.0,0.0,0.13583815028901733,0.057971014492753624,0.34311280494488744,0.23540065789143494,12866.5,0.07253321327244833,0.07786713579626371,negligible,0.0,-0.0778671357962637,1.0,False,False,0.07786713579626371
num_env_mentions,346,69,-0.2192296649910203,-0.2192296649910203,0.050112929201835944,-0.21922966499102037,1.1007294342693208,5.591783176868576e-17,12730.5,0.027875596633166678,0.06647398843930635,negligible,0.0,-0.26934259419285633,1.0,False,False,0.06647398843930635
concept__html_parsing,346,69,0.0,0.0,0.06936416184971098,0.014492753623188406,0.2544403356251983,0.12038585308576918,12592.0,0.08085938950785554,0.054871408226522575,negligible,0.0,-0.05487140822652257,1.0,False,False,0.054871408226522575
gunning_fog,346,69,-0.0931029284360953,-0.1402897488568527,-0.008021898312937321,-0.16769001849248097,1.0663424287968326,0.7750871467160846,12557.0,0.4958700351179074,0.051939348244952666,negligible,-0.04718682042075739,-0.15966812017954365,1.0,False,False,0.051939348244952666
concept__reflection,346,69,0.0,0.0,0.049132947976878616,0.0,0.21645858381105415,0.0,12523.5,0.06061592787518054,0.049132947976878616,negligible,0.0,-0.049132947976878616,1.0,False,False,0.049132947976878616
num_exception_types,346,69,-0.5251530779927517,-0.5251530779927517,-0.056937960166121626,0.0044396999347213265,0.9768215559552371,0.9453159094622058,11372.5,0.41225226781364555,-0.047289938845606096,negligible,0.0,0.06137766010084295,1.0,False,False,0.047289938845606096
concept__serialization,346,69,0.0,0.0,0.05202312138728324,0.014492753623188406,0.22239528599313393,0.12038585308576918,12385.0,0.174229134033817,0.03753036776409483,negligible,0.0,-0.03753036776409483,1.0,False,False,0.03753036776409483
missing_OB,346,69,-0.1352504452001148,-0.1352504452001148,0.12586891142900858,-0.13525044520011478,1.3795904496525329,2.795891588434288e-17,12351.0,0.11734171072161796,0.03468208092485549,negligible,0.0,-0.26111935662912333,1.0,False,False,0.03468208092485549
has_OB,346,69,0.135250445200115,0.135250445200115,-0.1258689114290084,0.13525044520011495,1.3795904496525329,5.591783176868576e-17,11523.0,0.11734171072161796,-0.03468208092485549,negligible,0.0,0.26111935662912333,1.0,False,False,0.03468208092485549
