tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
FlexFL,concept_is_missing,118,44,1.0,0.0,0.5084745762711864,0.3409090909090909,0.5020600759480184,0.4794949774542018,3031.0,0.05816995231698162,0.16756548536209553,small,1.0,0.16756548536209553,0.4071896662188713,False,False,0.16756548536209553
FlexFL,fg_cat_is_missing,118,44,0.0,0.0,0.025423728813559324,0.022727272727272728,0.15807952162954783,0.15075567228888181,2603.0,0.9274444555450044,0.002696456086286595,negligible,0.0,0.0026964560862865958,1.0,False,False,0.002696456086286595
FlexFL,txt_fine_grained_reasoning_is_missing,118,44,0.0,0.0,0.025423728813559324,0.022727272727272728,0.15807952162954783,0.15075567228888181,2603.0,0.9274444555450044,0.002696456086286595,negligible,0.0,0.0026964560862865958,1.0,False,False,0.002696456086286595
FlexFL,cat_is_missing,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,txt_title_is_missing,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,txt_reasoning_is_missing,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
FlexFL,txt_likely_impacted_code_concepts_is_missing,118,44,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
boostnsift,concept_is_missing,17,145,0.0,0.0,0.23529411764705882,0.4896551724137931,0.4372373160976031,0.5016257095588517,919.0,0.04764035806121866,-0.25436105476673426,small,0.0,-0.25436105476673426,0.3334825064285306,False,False,0.25436105476673426
boostnsift,fg_cat_is_missing,17,145,0.0,0.0,0.058823529411764705,0.020689655172413793,0.242535625036333,0.14283661593084146,1279.5,0.3444399404439684,0.03813387423935091,negligible,0.0,0.03813387423935091,1.0,False,False,0.03813387423935091
boostnsift,txt_fine_grained_reasoning_is_missing,17,145,0.0,0.0,0.058823529411764705,0.020689655172413793,0.242535625036333,0.14283661593084146,1279.5,0.3444399404439684,0.03813387423935091,negligible,0.0,0.03813387423935091,1.0,False,False,0.03813387423935091
boostnsift,cat_is_missing,17,145,0.0,0.0,0.0,0.0,0.0,0.0,1232.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
boostnsift,txt_title_is_missing,17,145,0.0,0.0,0.0,0.0,0.0,0.0,1232.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
boostnsift,txt_reasoning_is_missing,17,145,0.0,0.0,0.0,0.0,0.0,0.0,1232.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
boostnsift,txt_likely_impacted_code_concepts_is_missing,17,145,0.0,0.0,0.0,0.0,0.0,0.0,1232.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
buglocator,fg_cat_is_missing,11,151,0.0,0.0,0.0,0.026490066225165563,0.0,0.1611218945415621,808.5,0.5943640980132334,-0.026490066225165563,negligible,0.0,-0.026490066225165563,1.0,False,False,0.026490066225165563
buglocator,txt_fine_grained_reasoning_is_missing,11,151,0.0,0.0,0.0,0.026490066225165563,0.0,0.1611218945415621,808.5,0.5943640980132334,-0.026490066225165563,negligible,0.0,-0.026490066225165563,1.0,False,False,0.026490066225165563
buglocator,concept_is_missing,11,151,0.0,0.0,0.45454545454545453,0.46357615894039733,0.5222329678670934,0.5003310162560528,823.0,0.9569676312145476,-0.009030704394942806,negligible,0.0,-0.009030704394942801,1.0,False,False,0.009030704394942806
buglocator,cat_is_missing,11,151,0.0,0.0,0.0,0.0,0.0,0.0,830.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
buglocator,txt_title_is_missing,11,151,0.0,0.0,0.0,0.0,0.0,0.0,830.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
buglocator,txt_reasoning_is_missing,11,151,0.0,0.0,0.0,0.0,0.0,0.0,830.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
buglocator,txt_likely_impacted_code_concepts_is_missing,11,151,0.0,0.0,0.0,0.0,0.0,0.0,830.5,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
locus,concept_is_missing,16,146,0.0,0.0,0.375,0.4726027397260274,0.5,0.5009674155478757,1054.0,0.460663388185204,-0.0976027397260274,negligible,0.0,-0.0976027397260274,1.0,False,False,0.0976027397260274
locus,fg_cat_is_missing,16,146,0.0,0.0,0.0,0.0273972602739726,0.0,0.16379994018996233,1136.0,0.5106037119580806,-0.0273972602739726,negligible,0.0,-0.0273972602739726,1.0,False,False,0.0273972602739726
locus,txt_fine_grained_reasoning_is_missing,16,146,0.0,0.0,0.0,0.0273972602739726,0.0,0.16379994018996233,1136.0,0.5106037119580806,-0.0273972602739726,negligible,0.0,-0.0273972602739726,1.0,False,False,0.0273972602739726
locus,cat_is_missing,16,146,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
locus,txt_title_is_missing,16,146,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
locus,txt_reasoning_is_missing,16,146,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
locus,txt_likely_impacted_code_concepts_is_missing,16,146,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,1.0,0.0,negligible,0.0,0.0,1.0,False,False,0.0
