tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
FlexFL,ambiguity,118,44,0.0,0.0034662149173394496,0.002952881011844348,0.006193362721884093,0.0053019480292044304,0.00864464070589068,1949.5,0.005837877452838498,-0.24903697996918336,small,-0.0034662149173394496,-0.0032404817100397452,0.32108325990611736,False,False,0.24903697996918336
FlexFL,automated_readability_index,113,44,32.2,26.1,38.30530973451327,30.15454545454546,27.88212061745703,12.782627282906272,3034.0,0.032364340711308656,0.22043443282381336,small,6.100000000000001,8.150764279967813,1.0,False,False,0.22043443282381336
FlexFL,coleman_liau_index,113,44,31.46,26.77,37.41159292035398,29.887045454545447,27.313088554180773,12.315687213175298,3029.5,0.033815724298162285,0.21862429605792438,small,4.690000000000001,7.524547465808535,1.0,False,False,0.21862429605792438
FlexFL,actionability,118,44,0.0,3.5,1.9745762711864407,2.7954545454545454,2.114103493115479,2.141283525696847,2051.5,0.029275805931288222,-0.2097457627118644,small,-3.5,-0.8208782742681047,1.0,False,False,0.2097457627118644
FlexFL,specificity,118,44,0.0,3.5,1.9745762711864407,2.7954545454545454,2.122173794436051,2.141283525696847,2059.0,0.031580652221180366,-0.2068567026194145,small,-3.5,-0.8208782742681047,1.0,False,False,0.2068567026194145
FlexFL,clarity,118,44,0.0,4.0,2.1186440677966103,2.9318181818181817,2.2117382711165834,2.1929880568156666,2066.0,0.03271303390567835,-0.2041602465331279,small,-4.0,-0.8131741140215714,1.0,False,False,0.2041602465331279
FlexFL,technical_depth,118,44,0.0,3.0,1.7033898305084745,2.409090909090909,1.8824848192207424,1.9328035044701717,2084.5,0.04110874146816571,-0.19703389830508475,small,-3.0,-0.7057010785824347,1.0,False,False,0.19703389830508475
FlexFL,description_length,118,44,20.0,874.5,857.2881355932203,1035.909090909091,1367.1530097855634,994.7532782386777,2096.5,0.04772624537032919,-0.19241140215716487,small,-854.5,-178.62095531587067,1.0,False,False,0.19241140215716487
FlexFL,n_words,118,44,95.0,107.5,139.67796610169492,144.22727272727272,151.3111291378004,104.58708703173808,2112.0,0.06863988236335905,-0.1864406779661017,small,-12.5,-4.549306625577799,1.0,False,False,0.1864406779661017
FlexFL,causal_reasoning_quality,118,44,0.0,3.5,1.9576271186440677,2.6363636363636362,2.0812310122708104,2.0808194840395364,2122.0,0.05743480716847327,-0.18258859784283513,small,-3.5,-0.6787365177195686,1.0,False,False,0.18258859784283513
FlexFL,repair_difficulty,118,44,5.0,3.0,3.76271186440678,3.272727272727273,1.3629904659554242,1.4364626508008753,3061.0,0.060440139989753845,0.17912172573189522,small,2.0,0.4899845916795069,1.0,False,False,0.17912172573189522
FlexFL,confidence,118,44,1.0,5.0,2.9661016949152543,3.6363636363636362,2.0082403037920735,1.9179799098168069,2161.0,0.05816995231698162,-0.16756548536209553,small,-4.0,-0.6702619414483819,1.0,False,False,0.16756548536209553
FlexFL,summary_chars,118,44,12.0,12.0,23.56779661016949,32.84090909090909,29.112947985436367,35.349381220082286,2181.0,0.033764976579367646,-0.1598613251155624,small,0.0,-9.273112480739602,1.0,False,False,0.1598613251155624
FlexFL,n_tokens,118,44,182.5,211.0,242.61864406779662,261.65909090909093,219.18348553937284,173.02828686364634,2205.5,0.14192888159076314,-0.1504237288135593,small,-28.5,-19.04044684129431,1.0,False,False,0.1504237288135593
FlexFL,expected_observed_alignment,118,44,0.0,4.0,2.2542372881355934,2.9545454545454546,2.3467979300335333,2.240790407210952,2208.0,0.1144840161581142,-0.14946070878274267,small,-4.0,-0.7003081664098612,1.0,False,False,0.14946070878274267
