tool,feature,unique_count,all_count,unique_median,all_median,unique_mean,all_mean,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta
FlexFL,concept_is_missing,147,69,0.0,0.0,0.23129251700680273,0.0,6244.5,1.423921429839738e-05,0.23129251700680273,small,9.967450008878166e-05,True,True,0.23129251700680273
FlexFL,fg_cat_is_missing,147,69,0.0,0.0,0.02040816326530612,0.043478260869565216,4954.5,0.33924041536317395,-0.023070097604259095,negligible,1.0,False,False,0.023070097604259095
FlexFL,txt_fine_grained_reasoning_is_missing,147,69,0.0,0.0,0.02040816326530612,0.043478260869565216,4954.5,0.33924041536317395,-0.023070097604259095,negligible,1.0,False,False,0.023070097604259095
FlexFL,cat_is_missing,147,69,0.0,0.0,0.0,0.0,5071.5,1.0,0.0,negligible,1.0,False,False,0.0
FlexFL,txt_title_is_missing,147,69,0.0,0.0,0.0,0.0,5071.5,1.0,0.0,negligible,1.0,False,False,0.0
FlexFL,txt_reasoning_is_missing,147,69,0.0,0.0,0.0,0.0,5071.5,1.0,0.0,negligible,1.0,False,False,0.0
FlexFL,txt_likely_impacted_code_concepts_is_missing,147,69,0.0,0.0,0.0,0.0,5071.5,1.0,0.0,negligible,1.0,False,False,0.0
boostnsift,concept_is_missing,17,69,0.0,0.0,0.11764705882352941,0.0,655.5,0.004437114703146104,0.11764705882352941,negligible,0.031059802922022726,True,True,0.11764705882352941
boostnsift,fg_cat_is_missing,17,69,0.0,0.0,0.0,0.043478260869565216,561.0,0.3936791749451698,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
boostnsift,txt_fine_grained_reasoning_is_missing,17,69,0.0,0.0,0.0,0.043478260869565216,561.0,0.3936791749451698,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
boostnsift,cat_is_missing,17,69,0.0,0.0,0.0,0.0,586.5,1.0,0.0,negligible,1.0,False,False,0.0
boostnsift,txt_title_is_missing,17,69,0.0,0.0,0.0,0.0,586.5,1.0,0.0,negligible,1.0,False,False,0.0
boostnsift,txt_reasoning_is_missing,17,69,0.0,0.0,0.0,0.0,586.5,1.0,0.0,negligible,1.0,False,False,0.0
boostnsift,txt_likely_impacted_code_concepts_is_missing,17,69,0.0,0.0,0.0,0.0,586.5,1.0,0.0,negligible,1.0,False,False,0.0
buglocator,concept_is_missing,19,69,0.0,0.0,0.15789473684210525,0.0,759.0,0.0008899369467231673,0.15789473684210525,small,0.006229558627062171,True,True,0.15789473684210525
buglocator,fg_cat_is_missing,19,69,0.0,0.0,0.0,0.043478260869565216,627.0,0.3663179098292423,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
buglocator,txt_fine_grained_reasoning_is_missing,19,69,0.0,0.0,0.0,0.043478260869565216,627.0,0.3663179098292423,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
buglocator,cat_is_missing,19,69,0.0,0.0,0.0,0.0,655.5,1.0,0.0,negligible,1.0,False,False,0.0
buglocator,txt_title_is_missing,19,69,0.0,0.0,0.0,0.0,655.5,1.0,0.0,negligible,1.0,False,False,0.0
buglocator,txt_reasoning_is_missing,19,69,0.0,0.0,0.0,0.0,655.5,1.0,0.0,negligible,1.0,False,False,0.0
buglocator,txt_likely_impacted_code_concepts_is_missing,19,69,0.0,0.0,0.0,0.0,655.5,1.0,0.0,negligible,1.0,False,False,0.0
locus,concept_is_missing,13,69,0.0,0.0,0.23076923076923078,0.0,552.0,5.793961876397874e-05,0.23076923076923078,small,0.00040557733134785113,True,True,0.23076923076923078
locus,fg_cat_is_missing,13,69,0.0,0.0,0.0,0.043478260869565216,429.0,0.4582407276164998,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
locus,txt_fine_grained_reasoning_is_missing,13,69,0.0,0.0,0.0,0.043478260869565216,429.0,0.4582407276164998,-0.043478260869565216,negligible,1.0,False,False,0.043478260869565216
locus,cat_is_missing,13,69,0.0,0.0,0.0,0.0,448.5,1.0,0.0,negligible,1.0,False,False,0.0
locus,txt_title_is_missing,13,69,0.0,0.0,0.0,0.0,448.5,1.0,0.0,negligible,1.0,False,False,0.0
locus,txt_reasoning_is_missing,13,69,0.0,0.0,0.0,0.0,448.5,1.0,0.0,negligible,1.0,False,False,0.0
locus,txt_likely_impacted_code_concepts_is_missing,13,69,0.0,0.0,0.0,0.0,448.5,1.0,0.0,negligible,1.0,False,False,0.0
